sector,year,value
Agriculture,1990,1597.14
Agriculture,1991,2669.49
Agriculture,1992,14345.27
Agriculture,1993,58534.42
Agriculture,1994,105011.96
Agriculture,1995,212002.1
Agriculture,1996,283958.98
Agriculture,1997,300746.34
Agriculture,1998,306644.91
Agriculture,1999,342505.23
Agriculture,2000,335668.79
Agriculture,2001,319698.93
Agriculture,2002,293361.83
Agriculture,2003,337272.09
Agriculture,2004,472934.46
Agriculture,2005,602136.31
Agriculture,2006,710609.19
Agriculture,2007,913409.23
Agriculture,2008,1259660.83
Agriculture,2009,1177380.29
Agriculture,2010,1144697.86
Agriculture,2011,1357866.8
Agriculture,2012,1878786.37
Agriculture,2013,2572044.9
Agriculture,2014,2965360.5
Agriculture,2015,3223402.72
Agriculture,2016,3022012.54
Agriculture,2017,3119618.18
Agriculture,2018,3723544.32
Agriculture,2019,4373602.54
Agriculture,2020,4856063.0
Agriculture,2021,5733284.28
Agriculture,2022,7015700.27
Agriculture,2023,6988223.0
Agriculture,2024,5881104.41
Agriculture,2025,8039329.45
Construction,1990,735.57
Construction,1991,1072.22
Construction,1992,1285.15
Construction,1993,3821.77
Construction,1994,8386.69
Construction,1995,13088.55
Construction,1996,24992.57
Construction,1997,25687.1
Construction,1998,28095.75
Construction,1999,32159.55
Construction,2000,27254.93
Construction,2001,30738.57
Construction,2002,42858.82
Construction,2003,69683.82
Construction,2004,69429.03
Construction,2005,81408.37
Construction,2006,86792.3
Construction,2007,106421.12
Construction,2008,122051.03
Construction,2009,86238.66
Construction,2010,250230.7
Construction,2011,402828.29
Construction,2012,837487.47
Construction,2013,979689.0
Construction,2014,988960.7
Construction,2015,918316.62
Construction,2016,902883.62
Construction,2017,905587.14
Construction,2018,985716.25
Construction,2019,1328925.99
Construction,2020,1367522.8
Construction,2021,1368827.87
Construction,2022,1783826.56
Construction,2023,2269770.11
Construction,2024,2696383.17
Construction,2025,3450418.23
Manufacturing,1990,2607.99
Manufacturing,1991,3834.58
Manufacturing,1992,10435.55
Manufacturing,1993,37075.42
Manufacturing,1994,64103.81
Manufacturing,1995,112581.03
Manufacturing,1996,56653.92
Manufacturing,1997,78899.85
Manufacturing,1998,66929.98
Manufacturing,1999,75925.8
Manufacturing,2000,82040.78
Manufacturing,2001,114828.11
Manufacturing,2002,99138.59
Manufacturing,2003,121551.45
Manufacturing,2004,130576.26
Manufacturing,2005,175155.91
Manufacturing,2006,218885.57
Manufacturing,2007,309500.42
Manufacturing,2008,430179.37
Manufacturing,2009,425000.65
Manufacturing,2010,664815.26
Manufacturing,2011,931377.51
Manufacturing,2012,1248666.3
Manufacturing,2013,1672313.0
Manufacturing,2014,1950933.7
Manufacturing,2015,1606184.69
Manufacturing,2016,1595623.61
Manufacturing,2017,1932245.54
Manufacturing,2018,2298123.56
Manufacturing,2019,2675065.06
Manufacturing,2020,2904937.7
Manufacturing,2021,3096438.7
Manufacturing,2022,3832703.06
Manufacturing,2023,4436468.27
Manufacturing,2024,4495483.47
Manufacturing,2025,5284027.69
Mining,1990,1599.3
Mining,1991,2359.83
Mining,1992,6411.22
Mining,1993,22747.86
Mining,1994,39348.39
Mining,1995,73841.54
Mining,1996,76197.77
Mining,1997,132390.3
Mining,1998,81274.07
Mining,1999,94909.29
Mining,2000,132400.1
Mining,2001,117076.12
Mining,2002,144753.7
Mining,2003,206557.84
Mining,2004,391597.57
Mining,2005,642089.04
Mining,2006,1145733.91
Mining,2007,1340854.37
Mining,2008,1324247.71
Mining,2009,1285899.7
Mining,2010,2102157.94
Mining,2011,2536239.6
Mining,2012,2742750.5
Mining,2013,2849415.3
Mining,2014,3661031.2
Mining,2015,4150464.29
Mining,2016,4822677.54
Mining,2017,7007876.15
Mining,2018,8370789.17
Mining,2019,9590129.54
Mining,2020,8722066.6
Mining,2021,10753722.63
Mining,2022,12402469.0
Mining,2023,19814080.28
Mining,2024,21980612.94
Mining,2025,22747077.61
Trade,1990,2090.51
Trade,1991,3774.92
Trade,1992,5819.3
Trade,1993,36320.69
Trade,1994,43338.84
Trade,1995,59632.69
Trade,1996,69525.26
Trade,1997,96650.65
Trade,1998,110681.25
Trade,1999,112438.52
Trade,2000,115903.09
Trade,2001,129544.67
Trade,2002,162803.42
Trade,2003,185210.82
Trade,2004,202639.88
Trade,2005,227478.16
Trade,2006,271511.62
Trade,2007,313204.36
Trade,2008,472226.49
Trade,2009,432646.15
Trade,2010,1199007.2
Trade,2011,1973260.4
Trade,2012,2231148.45
Trade,2013,2267231.1
Trade,2014,2544761.3
Trade,2015,2664772.42
Trade,2016,2621290.71
Trade,2017,2867791.27
Trade,2018,3090221.77
Trade,2019,3644111.22
Trade,2020,3436809.1
Trade,2021,4069619.4
Trade,2022,5677897.87
Trade,2023,7316253.17
Trade,2024,8793230.75
Trade,2025,8969213.13
Transport,1990,1044.8
Transport,1991,1057.85
Transport,1992,2139.98
Transport,1993,11467.04
Transport,1994,24327.46
Transport,1995,29924.29
Transport,1996,40001.14
Transport,1997,53652.08
Transport,1998,64110.6
Transport,1999,70804.25
Transport,2000,92556.51
Transport,2001,118884.88
Transport,2002,149765.41
Transport,2003,166101.25
Transport,2004,198897.01
Transport,2005,256726.38
Transport,2006,287501.52
Transport,2007,322307.02
Transport,2008,419323.18
Transport,2009,546745.46
Transport,2010,677906.16
Transport,2011,802897.08
Transport,2012,894427.58
Transport,2013,843617.4
Transport,2014,1109154.6
Transport,2015,1202359.1
Transport,2016,1274385.28
Transport,2017,1318695.48
Transport,2018,1538733.26
Transport,2019,1686897.28
Transport,2020,1411794.3
Transport,2021,1597051.18
Transport,2022,2510913.1
Transport,2023,3919987.64
Transport,2024,4439528.88
Transport,2025,4276301.79
