year,value
1990,3317079.87
1991,788303.94
1992,1403256.63
1993,746336.47
1994,933667.03
1995,1455344.24
1996,1344819.5
1997,1181323.0
1998,1125415.05
1999,1057468.61
2000,1137107.46
2001,1267937.29
2002,1396543.27
2003,1595311.27
2004,1992201.27
2005,2523359.94
2006,3414342.68
2007,4235002.72
2008,5621790.03
2009,4583515.64
2010,7192790.28
2011,10409680.81
2012,12276312.75
2013,12567340.4
2014,12224219.76
2015,11617823.92
2016,11142569.7
2017,11476836.13
2018,13177103.71
2019,14204233.34
2020,13311845.01
2021,15286434.31
2022,17123833.2
2023,20324866.5
2024,23793357.51
