Indicators,Year,value
Gross generation,2025,18631.9
Gross generation,2024,17382.7
Gross generation,2023,16393.6
Gross generation,2022,15643.0
Gross generation,2021,14972.9
Gross generation,2020,14121.5
Gross generation,2019,13277.3
Gross generation,2018,12504.8
Gross generation,2017,11296.4
Gross generation,2016,10798.8
Gross generation,2015,10679.5
Gross generation,2014,10032.3
Gross generation,2013,9511.7
Gross generation,2012,9321.8
Gross generation,2011,8682.9
Gross generation,2010,8362.5
Gross generation,2009,8320.5
Gross generation,2008,7759.6
Gross generation,2007,7723.5
Gross generation,2006,7850.4
Gross generation,2005,7805.6
Gross generation,2004,7746.6
Gross generation,2003,7133.3
Gross generation,2002,6867.6
Gross generation,2001,6597.2
Gross generation,2000,6885.4
Gross generation,1999,6761.6
Gross generation,1998,6722.2
Gross generation,1997,6550.6
Gross generation,1996,6497.1
Gross generation,1995,6831.7
 Power and thermal stationsi nternal use,2025,1508.6
 Power and thermal stationsi nternal use,2024,1529.6
 Power and thermal stationsi nternal use,2023,1483.3
 Power and thermal stationsi nternal use,2022,1484.8
 Power and thermal stationsi nternal use,2021,1405.0
 Power and thermal stationsi nternal use,2020,1311.7
 Power and thermal stationsi nternal use,2019,1602.5
 Power and thermal stationsi nternal use,2018,1374.8
 Power and thermal stationsi nternal use,2017,552.0
 Power and thermal stationsi nternal use,2016,565.4
 Power and thermal stationsi nternal use,2015,647.3
 Power and thermal stationsi nternal use,2014,536.6
 Power and thermal stationsi nternal use,2013,522.5
 Power and thermal stationsi nternal use,2012,378.7
 Power and thermal stationsi nternal use,2011,366.0
 Power and thermal stationsi nternal use,2010,338.4
 Power and thermal stationsi nternal use,2009,335.3
 Power and thermal stationsi nternal use,2008,396.6
 Power and thermal stationsi nternal use,2007,414.8
 Power and thermal stationsi nternal use,2006,434.8
 Power and thermal stationsi nternal use,2005,446.7
 Power and thermal stationsi nternal use,2004,479.7
 Power and thermal stationsi nternal use,2003,335.5
 Power and thermal stationsi nternal use,2002,144.9
 Power and thermal stationsi nternal use,2001,59.6
 Power and thermal stationsi nternal use,2000,138.0
 Power and thermal stationsi nternal use,1999,74.8
 Power and thermal stationsi nternal use,1998,733.1
 Power and thermal stationsi nternal use,1997,527.5
 Power and thermal stationsi nternal use,1996,316.2
 Power and thermal stationsi nternal use,1995,41.3
 Distributed to establishments and households,2025,16565.5
 Distributed to establishments and households,2024,15314.0
 Distributed to establishments and households,2023,14354.4
 Distributed to establishments and households,2022,13595.7
 Distributed to establishments and households,2021,13011.5
 Distributed to establishments and households,2020,12190.5
