Үзүүлэлтүүд,Он,value
Үйлдвэрлэсэн,2025,18631.9
Үйлдвэрлэсэн,2024,17382.7
Үйлдвэрлэсэн,2023,16393.6
Үйлдвэрлэсэн,2022,15643.0
Үйлдвэрлэсэн,2021,14972.9
Үйлдвэрлэсэн,2020,14121.5
Үйлдвэрлэсэн,2019,13277.3
Үйлдвэрлэсэн,2018,12504.8
Үйлдвэрлэсэн,2017,11296.4
Үйлдвэрлэсэн,2016,10798.8
Үйлдвэрлэсэн,2015,10679.5
Үйлдвэрлэсэн,2014,10032.3
Үйлдвэрлэсэн,2013,9511.7
Үйлдвэрлэсэн,2012,9321.8
Үйлдвэрлэсэн,2011,8682.9
Үйлдвэрлэсэн,2010,8362.5
Үйлдвэрлэсэн,2009,8320.5
Үйлдвэрлэсэн,2008,7759.6
Үйлдвэрлэсэн,2007,7723.5
Үйлдвэрлэсэн,2006,7850.4
Үйлдвэрлэсэн,2005,7805.6
Үйлдвэрлэсэн,2004,7746.6
Үйлдвэрлэсэн,2003,7133.3
Үйлдвэрлэсэн,2002,6867.6
Үйлдвэрлэсэн,2001,6597.2
Үйлдвэрлэсэн,2000,6885.4
Үйлдвэрлэсэн,1999,6761.6
Үйлдвэрлэсэн,1998,6722.2
Үйлдвэрлэсэн,1997,6550.6
Үйлдвэрлэсэн,1996,6497.1
Үйлдвэрлэсэн,1995,6831.7
Дулааны цахилгаан станцын дотоод хэрэглээ,2025,1508.6
Дулааны цахилгаан станцын дотоод хэрэглээ,2024,1529.6
Дулааны цахилгаан станцын дотоод хэрэглээ,2023,1483.3
Дулааны цахилгаан станцын дотоод хэрэглээ,2022,1484.8
Дулааны цахилгаан станцын дотоод хэрэглээ,2021,1405.0
Дулааны цахилгаан станцын дотоод хэрэглээ,2020,1311.7
Дулааны цахилгаан станцын дотоод хэрэглээ,2019,1602.5
Дулааны цахилгаан станцын дотоод хэрэглээ,2018,1374.8
Дулааны цахилгаан станцын дотоод хэрэглээ,2017,552.0
Дулааны цахилгаан станцын дотоод хэрэглээ,2016,565.4
Дулааны цахилгаан станцын дотоод хэрэглээ,2015,647.3
Дулааны цахилгаан станцын дотоод хэрэглээ,2014,536.6
Дулааны цахилгаан станцын дотоод хэрэглээ,2013,522.5
Дулааны цахилгаан станцын дотоод хэрэглээ,2012,378.7
Дулааны цахилгаан станцын дотоод хэрэглээ,2011,366.0
Дулааны цахилгаан станцын дотоод хэрэглээ,2010,338.4
Дулааны цахилгаан станцын дотоод хэрэглээ,2009,335.3
Дулааны цахилгаан станцын дотоод хэрэглээ,2008,396.6
Дулааны цахилгаан станцын дотоод хэрэглээ,2007,414.8
Дулааны цахилгаан станцын дотоод хэрэглээ,2006,434.8
Дулааны цахилгаан станцын дотоод хэрэглээ,2005,446.7
Дулааны цахилгаан станцын дотоод хэрэглээ,2004,479.7
Дулааны цахилгаан станцын дотоод хэрэглээ,2003,335.5
Дулааны цахилгаан станцын дотоод хэрэглээ,2002,144.9
Дулааны цахилгаан станцын дотоод хэрэглээ,2001,59.6
Дулааны цахилгаан станцын дотоод хэрэглээ,2000,138.0
Дулааны цахилгаан станцын дотоод хэрэглээ,1999,74.8
Дулааны цахилгаан станцын дотоод хэрэглээ,1998,733.1
Дулааны цахилгаан станцын дотоод хэрэглээ,1997,527.5
Дулааны цахилгаан станцын дотоод хэрэглээ,1996,316.2
Дулааны цахилгаан станцын дотоод хэрэглээ,1995,41.3
ААНБ болон өрхөд түгээсэн-Бүгд,2025,16565.5
ААНБ болон өрхөд түгээсэн-Бүгд,2024,15314.0
ААНБ болон өрхөд түгээсэн-Бүгд,2023,14354.4
ААНБ болон өрхөд түгээсэн-Бүгд,2022,13595.7
ААНБ болон өрхөд түгээсэн-Бүгд,2021,13011.5
ААНБ болон өрхөд түгээсэн-Бүгд,2020,12190.5
ААНБ болон өрхөд түгээсэн-Бүгд,2019,11107.5
ААНБ болон өрхөд түгээсэн-Бүгд,2018,10639.8
ААНБ болон өрхөд түгээсэн-Бүгд,2017,10254.1
ААНБ болон өрхөд түгээсэн-Бүгд,2016,9914.7
ААНБ болон өрхөд түгээсэн-Бүгд,2015,9706.9
ААНБ болон өрхөд түгээсэн-Бүгд,2014,9163.1
ААНБ болон өрхөд түгээсэн-Бүгд,2013,8671.7
ААНБ болон өрхөд түгээсэн-Бүгд,2012,8692.7
ААНБ болон өрхөд түгээсэн-Бүгд,2011,8032.6
ААНБ болон өрхөд түгээсэн-Бүгд,2010,7820.2
ААНБ болон өрхөд түгээсэн-Бүгд,2009,7828.5
ААНБ болон өрхөд түгээсэн-Бүгд,2008,7237.9
ААНБ болон өрхөд түгээсэн-Бүгд,2007,7165.0
ААНБ болон өрхөд түгээсэн-Бүгд,2006,7270.6
ААНБ болон өрхөд түгээсэн-Бүгд,2005,7180.2
ААНБ болон өрхөд түгээсэн-Бүгд,2004,7087.3
ААНБ болон өрхөд түгээсэн-Бүгд,2003,6583.4
ААНБ болон өрхөд түгээсэн-Бүгд,2002,6569.2
ААНБ болон өрхөд түгээсэн-Бүгд,2001,6419.1
ААНБ болон өрхөд түгээсэн-Бүгд,2000,6514.0
ААНБ болон өрхөд түгээсэн-Бүгд,1999,6409.9
ААНБ болон өрхөд түгээсэн-Бүгд,1998,5769.4
ААНБ болон өрхөд түгээсэн-Бүгд,1997,5996.6
ААНБ болон өрхөд түгээсэн-Бүгд,1996,6115.2
ААНБ болон өрхөд түгээсэн-Бүгд,1995,6772.3
"Үйлдвэр, барилга",2025,3758.0
"Үйлдвэр, барилга",2024,3529.9
"Үйлдвэр, барилга",2023,3601.5
"Үйлдвэр, барилга",2022,3471.7
"Үйлдвэр, барилга",2021,3410.0
"Үйлдвэр, барилга",2020,3177.6
"Үйлдвэр, барилга",2019,2914.0
"Үйлдвэр, барилга",2018,2912.3
"Үйлдвэр, барилга",2017,2498.4
"Үйлдвэр, барилга",2016,2365.0
"Үйлдвэр, барилга",2015,2358.5
"Үйлдвэр, барилга",2014,2176.6
"Үйлдвэр, барилга",2013,2161.8
"Үйлдвэр, барилга",2012,2108.7
"Үйлдвэр, барилга",2011,2067.1
"Үйлдвэр, барилга",2010,2082.9
"Үйлдвэр, барилга",2009,2002.2
"Үйлдвэр, барилга",2008,2167.6
"Үйлдвэр, барилга",2007,2068.4
"Үйлдвэр, барилга",2006,2019.2
"Үйлдвэр, барилга",2005,2275.9
"Үйлдвэр, барилга",2004,2149.9
"Үйлдвэр, барилга",2003,1831.0
"Үйлдвэр, барилга",2002,2428.5
"Үйлдвэр, барилга",2001,2343.7
"Үйлдвэр, барилга",2000,2620.1
"Үйлдвэр, барилга",1999,1994.7
"Үйлдвэр, барилга",1998,1729.7
"Үйлдвэр, барилга",1997,1778.0
"Үйлдвэр, барилга",1996,1784.4
"Үйлдвэр, барилга",1995,2708.9
"Тээвэр, холбоо",2025,513.3
"Тээвэр, холбоо",2024,474.4
"Тээвэр, холбоо",2023,436.9
"Тээвэр, холбоо",2022,427.6
"Тээвэр, холбоо",2021,403.3
"Тээвэр, холбоо",2020,384.0
"Тээвэр, холбоо",2019,326.5
"Тээвэр, холбоо",2018,349.8
"Тээвэр, холбоо",2017,348.1
"Тээвэр, холбоо",2016,357.7
"Тээвэр, холбоо",2015,316.7
"Тээвэр, холбоо",2014,299.9
"Тээвэр, холбоо",2013,309.1
"Тээвэр, холбоо",2012,281.1
"Тээвэр, холбоо",2011,278.7
"Тээвэр, холбоо",2010,281.7
"Тээвэр, холбоо",2009,264.4
"Тээвэр, холбоо",2008,278.6
"Тээвэр, холбоо",2007,285.5
"Тээвэр, холбоо",2006,289.3
"Тээвэр, холбоо",2005,407.5
"Тээвэр, холбоо",2004,391.0
"Тээвэр, холбоо",2003,420.7
"Тээвэр, холбоо",2002,419.6
"Тээвэр, холбоо",2001,485.6
"Тээвэр, холбоо",2000,410.6
"Тээвэр, холбоо",1999,435.0
"Тээвэр, холбоо",1998,201.9
"Тээвэр, холбоо",1997,250.4
"Тээвэр, холбоо",1996,248.6
"Тээвэр, холбоо",1995,446.3
Хөдөө аж ахуй,2025,90.1
Хөдөө аж ахуй,2024,85.7
Хөдөө аж ахуй,2023,65.0
Хөдөө аж ахуй,2022,70.5
Хөдөө аж ахуй,2021,58.1
Хөдөө аж ахуй,2020,57.3
Хөдөө аж ахуй,2019,53.2
Хөдөө аж ахуй,2018,54.7
Хөдөө аж ахуй,2017,51.2
Хөдөө аж ахуй,2016,48.3
Хөдөө аж ахуй,2015,47.6
Хөдөө аж ахуй,2014,43.3
Хөдөө аж ахуй,2013,49.0
Хөдөө аж ахуй,2012,33.4
Хөдөө аж ахуй,2011,42.7
Хөдөө аж ахуй,2010,40.5
Хөдөө аж ахуй,2009,37.8
Хөдөө аж ахуй,2008,39.7
Хөдөө аж ахуй,2007,38.3
Хөдөө аж ахуй,2006,39.5
Хөдөө аж ахуй,2005,70.5
Хөдөө аж ахуй,2004,77.2
Хөдөө аж ахуй,2003,74.2
Хөдөө аж ахуй,2002,36.2
Хөдөө аж ахуй,2001,36.5
Хөдөө аж ахуй,2000,33.3
Хөдөө аж ахуй,1999,49.3
Хөдөө аж ахуй,1998,326.5
Хөдөө аж ахуй,1997,45.7
Хөдөө аж ахуй,1996,102.5
Хөдөө аж ахуй,1995,146.5
"Өрх, орон сууц, нийтийн аж ахуй",2025,5481.6
"Өрх, орон сууц, нийтийн аж ахуй",2024,5459.7
"Өрх, орон сууц, нийтийн аж ахуй",2023,5173.8
"Өрх, орон сууц, нийтийн аж ахуй",2022,4682.5
"Өрх, орон сууц, нийтийн аж ахуй",2021,4260.9
"Өрх, орон сууц, нийтийн аж ахуй",2020,4516.5
"Өрх, орон сууц, нийтийн аж ахуй",2019,4073.2
"Өрх, орон сууц, нийтийн аж ахуй",2018,4103.7
"Өрх, орон сууц, нийтийн аж ахуй",2017,3868.1
"Өрх, орон сууц, нийтийн аж ахуй",2016,4109.9
"Өрх, орон сууц, нийтийн аж ахуй",2015,4039.6
"Өрх, орон сууц, нийтийн аж ахуй",2014,3930.2
"Өрх, орон сууц, нийтийн аж ахуй",2013,3818.5
"Өрх, орон сууц, нийтийн аж ахуй",2012,3737.0
"Өрх, орон сууц, нийтийн аж ахуй",2011,3473.9
"Өрх, орон сууц, нийтийн аж ахуй",2010,3361.8
