Location,Types of expenditure,Year,value
National average,Total expenditure,2025,3141317.0
National average,Total expenditure,2024,2638159.0
National average,Total expenditure,2023,2196615.0
National average,Total expenditure,2022,1851637.0
National average,Total expenditure,2021,1499180.0
National average,Total expenditure,2020,1519398.0
National average,Total expenditure,2019,1416640.0
National average,Total expenditure,2018,1240731.0
National average,Total expenditure,2017,1092384.0
National average,Total expenditure,2016,966197.0
National average,Total expenditure,2015,1064808.0
National average,Total expenditure,2014,1076557.0
National average,Total expenditure,2013,961677.0
National average,Total expenditure,2012,820263.0
National average,Total expenditure,2011,577406.0
National average,Total expenditure,2010,450206.0
National average,Total expenditure,2009,437602.0
National average,Total expenditure,2008,367466.0
National average,Total expenditure,2007,292488.0
National average,Total expenditure,2006,228172.0
National average,Total expenditure,2005,194078.0
National average,Total expenditure,2004,182630.0
National average,Total expenditure,2003,165552.0
National average,Total expenditure,2002,163654.0
National average,Total expenditure,2001,111119.0
National average,Total expenditure,2000,108011.0
National average,Total expenditure,1999,71804.0
National average,Total expenditure,1998,69098.0
National average,Total expenditure,1997,56311.0
National average,1. Monetary expenditure,2025,2965165.0
National average,1. Monetary expenditure,2024,2477802.0
National average,1. Monetary expenditure,2023,2056225.0
National average,1. Monetary expenditure,2022,1719972.0
National average,1. Monetary expenditure,2021,1378721.0
National average,1. Monetary expenditure,2020,1404697.0
National average,1. Monetary expenditure,2019,1303512.0
National average,1. Monetary expenditure,2018,1142036.0
National average,1. Monetary expenditure,2017,993065.0
National average,1. Monetary expenditure,2016,885303.0
National average,1. Monetary expenditure,2015,962671.0
National average,1. Monetary expenditure,2014,970804.0
National average,1. Monetary expenditure,2013,864941.0
National average,1. Monetary expenditure,2012,742184.0
National average,1. Monetary expenditure,2011,507801.0
National average,1. Monetary expenditure,2010,389278.0
National average,1. Monetary expenditure,2009,390044.0
National average,1. Monetary expenditure,2008,329142.0
National average,1. Monetary expenditure,2007,267986.0
National average,1. Monetary expenditure,2006,201470.0
National average,1. Monetary expenditure,2005,171865.0
National average,1. Monetary expenditure,2004,140768.0
National average,1. Monetary expenditure,2003,131040.0
National average,1. Monetary expenditure,2002,132425.0
National average,1. Monetary expenditure,2001,102133.0
National average,1. Monetary expenditure,2000,101375.0
National average,1. Monetary expenditure,1999,71804.0
National average,1. Monetary expenditure,1998,69098.0
National average,1. Monetary expenditure,1997,56311.0
National average,    Food expenses,2025,516078.0
National average,    Food expenses,2024,461711.0
National average,    Food expenses,2023,426456.0
National average,    Food expenses,2022,373641.0
National average,    Food expenses,2021,310010.0
National average,    Food expenses,2020,302220.0
National average,    Food expenses,2019,275082.0
National average,    Food expenses,2018,248186.0
National average,    Food expenses,2017,227385.0
National average,    Food expenses,2016,213122.0
National average,    Food expenses,2015,239436.0
National average,    Food expenses,2014,249905.0
National average,    Food expenses,2013,226031.0
National average,    Food expenses,2012,207858.0
National average,    Food expenses,2011,155482.0
National average,    Food expenses,2010,131940.0
National average,    Food expenses,2009,147906.0
National average,    Food expenses,2008,119533.0
National average,    Food expenses,2007,92480.0
National average,    Food expenses,2006,69293.0
National average,    Food expenses,2005,59305.0
National average,    Food expenses,2004,56665.0
National average,    Food expenses,2003,53056.0
