Байршил,Зарлагын төрөл,Он,value
Улсын дундаж,Нийт зарлага,2025,3141317.0
Улсын дундаж,Нийт зарлага,2024,2638159.0
Улсын дундаж,Нийт зарлага,2023,2196615.0
Улсын дундаж,Нийт зарлага,2022,1851637.0
Улсын дундаж,Нийт зарлага,2021,1499180.0
Улсын дундаж,Нийт зарлага,2020,1519398.0
Улсын дундаж,Нийт зарлага,2019,1416640.0
Улсын дундаж,Нийт зарлага,2018,1240731.0
Улсын дундаж,Нийт зарлага,2017,1092384.0
Улсын дундаж,Нийт зарлага,2016,966197.0
Улсын дундаж,Нийт зарлага,2015,1064808.0
Улсын дундаж,Нийт зарлага,2014,1076557.0
Улсын дундаж,Нийт зарлага,2013,961677.0
Улсын дундаж,Нийт зарлага,2012,820263.0
Улсын дундаж,Нийт зарлага,2011,577406.0
Улсын дундаж,Нийт зарлага,2010,450206.0
Улсын дундаж,Нийт зарлага,2009,437602.0
Улсын дундаж,Нийт зарлага,2008,367466.0
Улсын дундаж,Нийт зарлага,2007,292488.0
Улсын дундаж,Нийт зарлага,2006,228172.0
Улсын дундаж,Нийт зарлага,2005,194078.0
Улсын дундаж,Нийт зарлага,2004,182630.0
Улсын дундаж,Нийт зарлага,2003,165552.0
Улсын дундаж,Нийт зарлага,2002,163654.0
Улсын дундаж,Нийт зарлага,2001,111119.0
Улсын дундаж,Нийт зарлага,2000,108011.0
Улсын дундаж,Нийт зарлага,1999,71804.0
Улсын дундаж,Нийт зарлага,1998,69098.0
Улсын дундаж,Нийт зарлага,1997,56311.0
Улсын дундаж,1. Мөнгөн зарлага,2025,2965165.0
Улсын дундаж,1. Мөнгөн зарлага,2024,2477802.0
Улсын дундаж,1. Мөнгөн зарлага,2023,2056225.0
Улсын дундаж,1. Мөнгөн зарлага,2022,1719972.0
Улсын дундаж,1. Мөнгөн зарлага,2021,1378721.0
Улсын дундаж,1. Мөнгөн зарлага,2020,1404697.0
Улсын дундаж,1. Мөнгөн зарлага,2019,1303512.0
Улсын дундаж,1. Мөнгөн зарлага,2018,1142036.0
Улсын дундаж,1. Мөнгөн зарлага,2017,993065.0
Улсын дундаж,1. Мөнгөн зарлага,2016,885303.0
Улсын дундаж,1. Мөнгөн зарлага,2015,962671.0
Улсын дундаж,1. Мөнгөн зарлага,2014,970804.0
Улсын дундаж,1. Мөнгөн зарлага,2013,864941.0
Улсын дундаж,1. Мөнгөн зарлага,2012,742184.0
Улсын дундаж,1. Мөнгөн зарлага,2011,507801.0
Улсын дундаж,1. Мөнгөн зарлага,2010,389278.0
Улсын дундаж,1. Мөнгөн зарлага,2009,390044.0
Улсын дундаж,1. Мөнгөн зарлага,2008,329142.0
Улсын дундаж,1. Мөнгөн зарлага,2007,267986.0
Улсын дундаж,1. Мөнгөн зарлага,2006,201470.0
Улсын дундаж,1. Мөнгөн зарлага,2005,171865.0
Улсын дундаж,1. Мөнгөн зарлага,2004,140768.0
Улсын дундаж,1. Мөнгөн зарлага,2003,131040.0
Улсын дундаж,1. Мөнгөн зарлага,2002,132425.0
Улсын дундаж,1. Мөнгөн зарлага,2001,102133.0
Улсын дундаж,1. Мөнгөн зарлага,2000,101375.0
Улсын дундаж,1. Мөнгөн зарлага,1999,71804.0
Улсын дундаж,1. Мөнгөн зарлага,1998,69098.0
Улсын дундаж,1. Мөнгөн зарлага,1997,56311.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,2025,516078.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,2024,461711.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,2023,426456.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,2022,373641.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,2021,310010.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,2020,302220.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,2019,275082.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,2018,248186.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,2017,227385.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,2016,213122.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,2015,239436.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,2014,249905.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,2013,226031.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,2012,207858.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,2011,155482.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,2010,131940.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,2009,147906.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,2008,119533.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,2007,92480.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,2006,69293.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,2005,59305.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,2004,56665.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,2003,53056.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,2002,52204.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,2001,43417.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,2000,42269.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,1999,29487.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,1998,29610.0
Улсын дундаж,    Хүнсний зүйлийн зарлага,1997,26733.0
Улсын дундаж,"    Хүнсний бус бараа, үйлчилгээний зарлага",2025,2389617.0
Улсын дундаж,"    Хүнсний бус бараа, үйлчилгээний зарлага",2024,1965743.0
Улсын дундаж,"    Хүнсний бус бараа, үйлчилгээний зарлага",2023,1588216.0
Улсын дундаж,"    Хүнсний бус бараа, үйлчилгээний зарлага",2022,1309271.0
Улсын дундаж,"    Хүнсний бус бараа, үйлчилгээний зарлага",2021,1038156.0
Улсын дундаж,"    Хүнсний бус бараа, үйлчилгээний зарлага",2020,1074155.0
Улсын дундаж,"    Хүнсний бус бараа, үйлчилгээний зарлага",2019,999818.0
Улсын дундаж,"    Хүнсний бус бараа, үйлчилгээний зарлага",2018,867251.0
