Type,Country,Year,value
"Motor vehicles for the transport of ten or more persons, including the driver",Total,2025,1188.0
"Motor vehicles for the transport of ten or more persons, including the driver",Total,2024,2383.0
"Motor vehicles for the transport of ten or more persons, including the driver",Total,2023,1731.0
"Motor vehicles for the transport of ten or more persons, including the driver",Total,2022,1082.0
"Motor vehicles for the transport of ten or more persons, including the driver",Total,2021,1095.0
"Motor vehicles for the transport of ten or more persons, including the driver",Total,2020,1359.0
"Motor vehicles for the transport of ten or more persons, including the driver",Total,2019,1543.0
"Motor vehicles for the transport of ten or more persons, including the driver",Total,2018,1363.0
"Motor vehicles for the transport of ten or more persons, including the driver",Total,2017,1201.0
"Motor vehicles for the transport of ten or more persons, including the driver",Total,2016,964.0
"Motor vehicles for the transport of ten or more persons, including the driver",Total,2015,870.0
"Motor vehicles for the transport of ten or more persons, including the driver",Total,2014,1291.0
"Motor vehicles for the transport of ten or more persons, including the driver",Total,2013,1800.0
"Motor vehicles for the transport of ten or more persons, including the driver",Total,2012,2432.0
"Motor vehicles for the transport of ten or more persons, including the driver",Total,2011,2807.0
"Motor vehicles for the transport of ten or more persons, including the driver",Total,2010,1634.0
"Motor vehicles for the transport of ten or more persons, including the driver",Total,2009,1178.0
"Motor vehicles for the transport of ten or more persons, including the driver",Total,2008,3172.0
"Motor vehicles for the transport of ten or more persons, including the driver",Total,2007,2791.0
"Motor vehicles for the transport of ten or more persons, including the driver",Australia,2025,
"Motor vehicles for the transport of ten or more persons, including the driver",Australia,2024,
"Motor vehicles for the transport of ten or more persons, including the driver",Australia,2023,
"Motor vehicles for the transport of ten or more persons, including the driver",Australia,2022,
"Motor vehicles for the transport of ten or more persons, including the driver",Australia,2021,1.0
"Motor vehicles for the transport of ten or more persons, including the driver",Australia,2020,
"Motor vehicles for the transport of ten or more persons, including the driver",Australia,2019,
"Motor vehicles for the transport of ten or more persons, including the driver",Australia,2018,
"Motor vehicles for the transport of ten or more persons, including the driver",Australia,2017,
"Motor vehicles for the transport of ten or more persons, including the driver",Australia,2016,
"Motor vehicles for the transport of ten or more persons, including the driver",Australia,2015,
"Motor vehicles for the transport of ten or more persons, including the driver",Australia,2014,
"Motor vehicles for the transport of ten or more persons, including the driver",Australia,2013,
"Motor vehicles for the transport of ten or more persons, including the driver",Australia,2012,
"Motor vehicles for the transport of ten or more persons, including the driver",Australia,2011,
"Motor vehicles for the transport of ten or more persons, including the driver",Australia,2010,
"Motor vehicles for the transport of ten or more persons, including the driver",Australia,2009,
"Motor vehicles for the transport of ten or more persons, including the driver",Australia,2008,
"Motor vehicles for the transport of ten or more persons, including the driver",Australia,2007,
"Motor vehicles for the transport of ten or more persons, including the driver",Austria,2025,
"Motor vehicles for the transport of ten or more persons, including the driver",Austria,2024,
"Motor vehicles for the transport of ten or more persons, including the driver",Austria,2023,
"Motor vehicles for the transport of ten or more persons, including the driver",Austria,2022,
"Motor vehicles for the transport of ten or more persons, including the driver",Austria,2021,
"Motor vehicles for the transport of ten or more persons, including the driver",Austria,2020,
"Motor vehicles for the transport of ten or more persons, including the driver",Austria,2019,
"Motor vehicles for the transport of ten or more persons, including the driver",Austria,2018,
"Motor vehicles for the transport of ten or more persons, including the driver",Austria,2017,
"Motor vehicles for the transport of ten or more persons, including the driver",Austria,2016,
"Motor vehicles for the transport of ten or more persons, including the driver",Austria,2015,
"Motor vehicles for the transport of ten or more persons, including the driver",Austria,2014,
"Motor vehicles for the transport of ten or more persons, including the driver",Austria,2013,
"Motor vehicles for the transport of ten or more persons, including the driver",Austria,2012,
"Motor vehicles for the transport of ten or more persons, including the driver",Austria,2011,
"Motor vehicles for the transport of ten or more persons, including the driver",Austria,2010,
"Motor vehicles for the transport of ten or more persons, including the driver",Austria,2009,
"Motor vehicles for the transport of ten or more persons, including the driver",Austria,2008,
"Motor vehicles for the transport of ten or more persons, including the driver",Austria,2007,
"Motor vehicles for the transport of ten or more persons, including the driver",United States of America,2025,3.0
"Motor vehicles for the transport of ten or more persons, including the driver",United States of America,2024,3.0
"Motor vehicles for the transport of ten or more persons, including the driver",United States of America,2023,4.0
"Motor vehicles for the transport of ten or more persons, including the driver",United States of America,2022,1.0
"Motor vehicles for the transport of ten or more persons, including the driver",United States of America,2021,4.0
"Motor vehicles for the transport of ten or more persons, including the driver",United States of America,2020,
"Motor vehicles for the transport of ten or more persons, including the driver",United States of America,2019,2.0
"Motor vehicles for the transport of ten or more persons, including the driver",United States of America,2018,1.0
"Motor vehicles for the transport of ten or more persons, including the driver",United States of America,2017,1.0
"Motor vehicles for the transport of ten or more persons, including the driver",United States of America,2016,5.0
"Motor vehicles for the transport of ten or more persons, including the driver",United States of America,2015,1.0
