subdivision,date,value
Mining and quarrying,2026-07,5967.6
Mining and quarrying,2026-06,5760.1
Mining and quarrying,2026-05,5562.2
Mining and quarrying,2026-04,4641.1
Mining and quarrying,2026-03,4997.2
Mining and quarrying,2026-02,4431.2
Mining and quarrying,2026-01,4224.5
Mining and quarrying,2025-12,4774.1
Mining and quarrying,2025-11,4284.3
Mining and quarrying,2025-10,4206.2
Mining and quarrying,2025-09,3850.4
Mining and quarrying,2025-08,3791.7
Mining and quarrying,2025-07,3559.1
Mining and quarrying,2025-06,2924.0
Mining and quarrying,2025-05,3575.0
Mining and quarrying,2025-04,3249.5
Mining and quarrying,2025-03,2744.8
Mining and quarrying,2025-02,2461.3
Mining and quarrying,2025-01,2651.9
Mining and quarrying,2024-12,3191.4
Mining and quarrying,2024-11,3239.0
Mining and quarrying,2024-10,3702.1
Mining and quarrying,2024-09,3353.2
Mining and quarrying,2024-08,3268.0
Mining and quarrying,2024-07,3303.8
Mining and quarrying,2024-06,3815.6
Mining and quarrying,2024-05,3944.4
Mining and quarrying,2024-04,3693.5
Mining and quarrying,2024-03,3622.6
Mining and quarrying,2024-02,3056.5
Mining and quarrying,2024-01,2878.5
Mining and quarrying,2023-12,2912.3
Mining and quarrying,2023-11,2990.2
Mining and quarrying,2023-10,2857.9
Mining and quarrying,2023-09,2979.3
Mining and quarrying,2023-08,2952.7
Mining and quarrying,2023-07,2251.5
Mining and quarrying,2023-06,2325.7
Mining and quarrying,2023-05,2329.5
Mining and quarrying,2023-04,2457.3
Mining and quarrying,2023-03,2471.9
Mining and quarrying,2023-02,2073.2
Mining and quarrying,2023-01,2304.7
Mining and quarrying,2022-12,2075.7
Mining and quarrying,2022-11,2059.7
Mining and quarrying,2022-10,2175.3
Mining and quarrying,2022-09,2026.4
Mining and quarrying,2022-08,1979.1
Mining and quarrying,2022-07,1397.7
Mining and quarrying,2022-06,1388.4
Mining and quarrying,2022-05,1224.1
Mining and quarrying,2022-04,1209.3
Mining and quarrying,2022-03,981.0
Mining and quarrying,2022-02,900.3
Mining and quarrying,2022-01,1120.7
Mining and quarrying,2021-12,901.0
Mining and quarrying,2021-11,1005.9
Mining and quarrying,2021-10,1150.5
Mining and quarrying,2021-09,1033.6
Mining and quarrying,2021-08,1060.6
Mining and quarrying,2021-07,1045.3
Mining and quarrying,2021-06,1082.1
Mining and quarrying,2021-05,1136.3
Mining and quarrying,2021-04,1035.4
Mining and quarrying,2021-03,1106.1
Mining and quarrying,2021-02,899.2
Mining and quarrying,2021-01,945.3
Mining and quarrying,2020-12,1390.6
Mining and quarrying,2020-11,1363.5
Mining and quarrying,2020-10,1479.7
Mining and quarrying,2020-09,1285.5
Mining and quarrying,2020-08,1020.2
Mining and quarrying,2020-07,1043.8
Mining and quarrying,2020-06,1012.0
Mining and quarrying,2020-05,837.8
Mining and quarrying,2020-04,621.1
Mining and quarrying,2020-03,697.8
Mining and quarrying,2020-02,684.9
Mining and quarrying,2020-01,796.2
Mining and quarrying,2019-12,862.5
Mining and quarrying,2019-11,1112.5
Mining and quarrying,2019-10,1227.1
Mining and quarrying,2019-09,1180.7
Mining and quarrying,2019-08,1271.3
Mining and quarrying,2019-07,1152.9
Mining and quarrying,2019-06,1066.2
Mining and quarrying,2019-05,1217.6
Mining and quarrying,2019-04,1070.9
Mining and quarrying,2019-03,1070.7
Mining and quarrying,2019-02,950.8
Mining and quarrying,2019-01,976.1
Mining and quarrying,2018-12,1024.6
Mining and quarrying,2018-11,1018.1
Mining and quarrying,2018-10,1166.6
Mining and quarrying,2018-09,1067.6
Mining and quarrying,2018-08,933.7
Mining and quarrying,2018-07,892.6
Mining and quarrying,2018-06,1069.4
Mining and quarrying,2018-05,1101.0
Mining and quarrying,2018-04,911.2
Mining and quarrying,2018-03,902.5
Mining and quarrying,2018-02,688.0
Mining and quarrying,2018-01,815.1
Mining and quarrying,2017-12,771.6
Mining and quarrying,2017-11,783.9
Mining and quarrying,2017-10,957.1
Mining and quarrying,2017-09,972.2
Manufacturing,2026-07,809.4
Manufacturing,2026-06,1014.9
Manufacturing,2026-05,814.1
Manufacturing,2026-04,664.4
Manufacturing,2026-03,557.9
Manufacturing,2026-02,483.2
Manufacturing,2026-01,557.3
Manufacturing,2025-12,760.8
Manufacturing,2025-11,703.8
Manufacturing,2025-10,849.0
Manufacturing,2025-09,927.1
Manufacturing,2025-08,896.6
Manufacturing,2025-07,638.8
Manufacturing,2025-06,755.4
Manufacturing,2025-05,674.0
Manufacturing,2025-04,532.9
Manufacturing,2025-03,457.0
Manufacturing,2025-02,553.0
Manufacturing,2025-01,543.3
Manufacturing,2024-12,627.3
Manufacturing,2024-11,618.6
Manufacturing,2024-10,650.0
Manufacturing,2024-09,664.5
Manufacturing,2024-08,674.0
Manufacturing,2024-07,664.1
Manufacturing,2024-06,741.2
Manufacturing,2024-05,699.8
Manufacturing,2024-04,513.5
Manufacturing,2024-03,477.6
Manufacturing,2024-02,391.3
Manufacturing,2024-01,544.6
Manufacturing,2023-12,712.8
Manufacturing,2023-11,615.6
Manufacturing,2023-10,656.7
Manufacturing,2023-09,628.7
Manufacturing,2023-08,724.0
Manufacturing,2023-07,630.2
Manufacturing,2023-06,697.1
Manufacturing,2023-05,611.1
Manufacturing,2023-04,437.3
Manufacturing,2023-03,457.0
Manufacturing,2023-02,403.6
Manufacturing,2023-01,431.0
Manufacturing,2022-12,516.8
Manufacturing,2022-11,410.5
Manufacturing,2022-10,502.5
Manufacturing,2022-09,453.1
Manufacturing,2022-08,486.4
Manufacturing,2022-07,414.7
Manufacturing,2022-06,566.4
Manufacturing,2022-05,526.4
Manufacturing,2022-04,365.6
Manufacturing,2022-03,296.7
Manufacturing,2022-02,241.7
Manufacturing,2022-01,371.1
Manufacturing,2021-12,464.4
Manufacturing,2021-11,379.7
Manufacturing,2021-10,342.0
Manufacturing,2021-09,320.1
Manufacturing,2021-08,336.1
Manufacturing,2021-07,298.6
Manufacturing,2021-06,444.8
Manufacturing,2021-05,442.3
Manufacturing,2021-04,304.3
Manufacturing,2021-03,315.9
Manufacturing,2021-02,257.6
Manufacturing,2021-01,283.1
Manufacturing,2020-12,268.6
Manufacturing,2020-11,238.8
Manufacturing,2020-10,318.6
Manufacturing,2020-09,299.1
Manufacturing,2020-08,319.0
Manufacturing,2020-07,281.2
Manufacturing,2020-06,284.5
Manufacturing,2020-05,275.5
Manufacturing,2020-04,217.6
Manufacturing,2020-03,206.1
Manufacturing,2020-02,228.0
Manufacturing,2020-01,233.7
Manufacturing,2019-12,281.6
Manufacturing,2019-11,276.3
Manufacturing,2019-10,288.0
Manufacturing,2019-09,281.6
Manufacturing,2019-08,267.1
Manufacturing,2019-07,262.8
Manufacturing,2019-06,318.1
Manufacturing,2019-05,387.3
Manufacturing,2019-04,288.9
Manufacturing,2019-03,223.6
Manufacturing,2019-02,167.1
Manufacturing,2019-01,237.9
Manufacturing,2018-12,280.0
Manufacturing,2018-11,257.7
Manufacturing,2018-10,302.7
Manufacturing,2018-09,251.1
Manufacturing,2018-08,256.0
Manufacturing,2018-07,254.9
Manufacturing,2018-06,304.1
Manufacturing,2018-05,280.4
Manufacturing,2018-04,221.5
Manufacturing,2018-03,175.6
Manufacturing,2018-02,163.6
Manufacturing,2018-01,189.9
Manufacturing,2017-12,231.7
Manufacturing,2017-11,212.4
Manufacturing,2017-10,219.6
Manufacturing,2017-09,208.9
"Electricity, gas, steam and air conditioning supply",2026-07,202.1
"Electricity, gas, steam and air conditioning supply",2026-06,191.4
"Electricity, gas, steam and air conditioning supply",2026-05,194.9
"Electricity, gas, steam and air conditioning supply",2026-04,238.0
"Electricity, gas, steam and air conditioning supply",2026-03,267.4
"Electricity, gas, steam and air conditioning supply",2026-02,272.0
"Electricity, gas, steam and air conditioning supply",2026-01,288.4
"Electricity, gas, steam and air conditioning supply",2025-12,299.9
"Electricity, gas, steam and air conditioning supply",2025-11,269.9
"Electricity, gas, steam and air conditioning supply",2025-10,236.8
"Electricity, gas, steam and air conditioning supply",2025-09,179.5
