Commodities,Year,value
Electricity /mln.k.W.h/,2025,9576.9
Electricity /mln.k.W.h/,2024,8692.8
Electricity /mln.k.W.h/,2023,8487.4
Electricity /mln.k.W.h/,2022,8035.0
Electricity /mln.k.W.h/,2021,7825.3
Electricity /mln.k.W.h/,2020,7069.7
Electricity /mln.k.W.h/,2019,6900.4
Electricity /mln.k.W.h/,2018,6535.3
Electricity /mln.k.W.h/,2017,6027.3
Electricity /mln.k.W.h/,2016,5667.1
Electricity /mln.k.W.h/,2015,5513.2
Electricity /mln.k.W.h/,2014,5375.8
Electricity /mln.k.W.h/,2013,5019.5
Electricity /mln.k.W.h/,2012,4815.6
Electricity /mln.k.W.h/,2011,4536.4
Electricity /mln.k.W.h/,2010,4312.8
Electricity /mln.k.W.h/,2009,4038.8
Electricity /mln.k.W.h/,2008,4000.6
Electricity /mln.k.W.h/,2007,3700.7
Electricity /mln.k.W.h/,2006,3544.2
Electricity /mln.k.W.h/,2005,3418.9
Electricity /mln.k.W.h/,2004,3303.4
Electricity /mln.k.W.h/,2003,3137.7
Electricity /mln.k.W.h/,2002,3111.7
Electricity /mln.k.W.h/,2001,3017.0
Electricity /mln.k.W.h/,2000,2946.0
Electricity /mln.k.W.h/,1999,2842.0
Electricity /mln.k.W.h/,1998,2675.0
Electricity /mln.k.W.h/,1997,2662.0
Electricity /mln.k.W.h/,1996,2614.0
Electricity /mln.k.W.h/,1995,2628.0
Electricity /mln.k.W.h/,1994,2122.7
Electricity /mln.k.W.h/,1993,2131.7
Electricity /mln.k.W.h/,1992,2928.6
Electricity /mln.k.W.h/,1991,3228.6
Electricity /mln.k.W.h/,1990,3347.9
Electricity /mln.k.W.h/,1989,3568.3
    Thermal energy / thous.Gkal/,2025,18631.9
    Thermal energy / thous.Gkal/,2024,17382.7
    Thermal energy / thous.Gkal/,2023,16393.6
    Thermal energy / thous.Gkal/,2022,15643.0
    Thermal energy / thous.Gkal/,2021,14972.9
    Thermal energy / thous.Gkal/,2020,14121.5
    Thermal energy / thous.Gkal/,2019,13277.3
    Thermal energy / thous.Gkal/,2018,12504.8
    Thermal energy / thous.Gkal/,2017,11296.4
    Thermal energy / thous.Gkal/,2016,10798.8
    Thermal energy / thous.Gkal/,2015,10679.5
    Thermal energy / thous.Gkal/,2014,10032.3
    Thermal energy / thous.Gkal/,2013,9511.7
    Thermal energy / thous.Gkal/,2012,9321.8
    Thermal energy / thous.Gkal/,2011,8682.9
    Thermal energy / thous.Gkal/,2010,8362.5
    Thermal energy / thous.Gkal/,2009,8320.5
    Thermal energy / thous.Gkal/,2008,7759.6
    Thermal energy / thous.Gkal/,2007,7723.5
    Thermal energy / thous.Gkal/,2006,7850.4
    Thermal energy / thous.Gkal/,2005,7805.6
    Thermal energy / thous.Gkal/,2004,7746.6
    Thermal energy / thous.Gkal/,2003,7133.3
    Thermal energy / thous.Gkal/,2002,6867.6
    Thermal energy / thous.Gkal/,2001,6597.2
    Thermal energy / thous.Gkal/,2000,6885.4
    Thermal energy / thous.Gkal/,1999,6420.9
    Thermal energy / thous.Gkal/,1998,6521.8
    Thermal energy / thous.Gkal/,1997,6456.8
    Thermal energy / thous.Gkal/,1996,6403.6
    Thermal energy / thous.Gkal/,1995,6816.8
    Thermal energy / thous.Gkal/,1994,6696.8
    Thermal energy / thous.Gkal/,1993,6264.7
    Thermal energy / thous.Gkal/,1992,7977.4
    Thermal energy / thous.Gkal/,1991,8054.0
    Thermal energy / thous.Gkal/,1990,7311.4
    Thermal energy / thous.Gkal/,1989,6803.9
    Distribution of water /thous.m3/,2025,74271.4
    Distribution of water /thous.m3/,2024,70547.7
    Distribution of water /thous.m3/,2023,68162.8
    Distribution of water /thous.m3/,2022,65362.7
    Distribution of water /thous.m3/,2021,64001.5
    Distribution of water /thous.m3/,2020,61877.4
    Distribution of water /thous.m3/,2019,63366.7
    Distribution of water /thous.m3/,2018,63095.5
    Distribution of water /thous.m3/,2017,62735.8
    Distribution of water /thous.m3/,2016,61029.5
    Distribution of water /thous.m3/,2015,62581.8
    Distribution of water /thous.m3/,2014,65513.3
    Distribution of water /thous.m3/,2013,64597.7
    Distribution of water /thous.m3/,2012,62821.1
    Distribution of water /thous.m3/,2011,61998.2
    Distribution of water /thous.m3/,2010,61742.0
    Distribution of water /thous.m3/,2009,63282.3
    Distribution of water /thous.m3/,2008,65391.4
    Distribution of water /thous.m3/,2007,64743.0
    Distribution of water /thous.m3/,2006,60137.7
    Distribution of water /thous.m3/,2005,62253.5
    Distribution of water /thous.m3/,2004,63594.8
    Distribution of water /thous.m3/,2003,60499.7
    Distribution of water /thous.m3/,2002,59533.6
    Distribution of water /thous.m3/,2001,62148.0
    Distribution of water /thous.m3/,2000,53518.8
    Distribution of water /thous.m3/,1999,44800.0
    Distribution of water /thous.m3/,1998,25700.0
    Distribution of water /thous.m3/,1997,28300.0
    Distribution of water /thous.m3/,1996,28300.0
    Distribution of water /thous.m3/,1995,29700.0
    Distribution of water /thous.m3/,1994,35600.0
    Distribution of water /thous.m3/,1993,34900.0
    Distribution of water /thous.m3/,1992,34900.0
    Distribution of water /thous.m3/,1991,33600.0
    Distribution of water /thous.m3/,1990,43100.0
    Distribution of water /thous.m3/,1989,47500.0
    Coal (thous.t),2025,95540.0
    Coal (thous.t),2024,95055.8
    Coal (thous.t),2023,74283.7
    Coal (thous.t),2022,34708.1
    Coal (thous.t),2021,28645.0
    Coal (thous.t),2020,42863.6
    Coal (thous.t),2019,55799.4
    Coal (thous.t),2018,51401.3
    Coal (thous.t),2017,48145.1
    Coal (thous.t),2016,35522.3
    Coal (thous.t),2015,24205.9
    Coal (thous.t),2014,25287.8
    Coal (thous.t),2013,30123.3
    Coal (thous.t),2012,29926.1
    Coal (thous.t),2011,32029.7
    Coal (thous.t),2010,25161.9
    Coal (thous.t),2009,14442.1
    Coal (thous.t),2008,10071.9
    Coal (thous.t),2007,9237.6
    Coal (thous.t),2006,8074.1
    Coal (thous.t),2005,7517.1
    Coal (thous.t),2004,6865.0
    Coal (thous.t),2003,5666.1
    Coal (thous.t),2002,5544.4
    Coal (thous.t),2001,5141.0
    Coal (thous.t),2000,5185.0
    Coal (thous.t),1999,4964.0
    Coal (thous.t),1998,5057.0
    Coal (thous.t),1997,4924.0
    Coal (thous.t),1996,5110.6
    Coal (thous.t),1995,5019.0
    Coal (thous.t),1994,5158.0
    Coal (thous.t),1993,5617.0
    Coal (thous.t),1992,6247.3
    Coal (thous.t),1991,7037.0
    Coal (thous.t),1990,7157.0
    Coal (thous.t),1989,8044.5
    Crude oil /thous.barrel/,2025,3775.1
    Crude oil /thous.barrel/,2024,4188.3
    Crude oil /thous.barrel/,2023,4888.9
    Crude oil /thous.barrel/,2022,2565.4
    Crude oil /thous.barrel/,2021,4667.1
    Crude oil /thous.barrel/,2020,4105.9
    Crude oil /thous.barrel/,2019,6876.1
    Crude oil /thous.barrel/,2018,6388.6
    Crude oil /thous.barrel/,2017,7624.1
    Crude oil /thous.barrel/,2016,8249.8
    Crude oil /thous.barrel/,2015,8769.3
    Crude oil /thous.barrel/,2014,7405.3
    Crude oil /thous.barrel/,2013,5128.9
    Crude oil /thous.barrel/,2012,3636.0
    Crude oil /thous.barrel/,2011,2548.9
    Crude oil /thous.barrel/,2010,2181.4
    Crude oil /thous.barrel/,2009,1870.0
    Crude oil /thous.barrel/,2008,1174.2
    Crude oil /thous.barrel/,2007,833.2
    Crude oil /thous.barrel/,2006,366.8
    Crude oil /thous.barrel/,2005,200.7
    Crude oil /thous.barrel/,2004,215.7
    Crude oil /thous.barrel/,2003,183.0
    Crude oil /thous.barrel/,2002,139.2
    Crude oil /thous.barrel/,2001,73.7
    Crude oil /thous.barrel/,2000,65.5
    Crude oil /thous.barrel/,1999,71.9
    Crude oil /thous.barrel/,1998,44.8
    Crude oil /thous.barrel/,1997,
    Crude oil /thous.barrel/,1996,
    Crude oil /thous.barrel/,1995,
    Crude oil /thous.barrel/,1994,
    Crude oil /thous.barrel/,1993,
    Crude oil /thous.barrel/,1992,
    Crude oil /thous.barrel/,1991,
    Crude oil /thous.barrel/,1990,
    Crude oil /thous.barrel/,1989,
    Copper concentrate with 35% /thous.t/,2025,0.0
    Copper concentrate with 35% /thous.t/,2024,0.0
    Copper concentrate with 35% /thous.t/,2023,0.0
    Copper concentrate with 35% /thous.t/,2022,0.0
    Copper concentrate with 35% /thous.t/,2021,0.0
    Copper concentrate with 35% /thous.t/,2020,0.0
    Copper concentrate with 35% /thous.t/,2019,377.0
    Copper concentrate with 35% /thous.t/,2018,388.4
    Copper concentrate with 35% /thous.t/,2017,397.2
    Copper concentrate with 35% /thous.t/,2016,400.4
    Copper concentrate with 35% /thous.t/,2015,890.7
    Copper concentrate with 35% /thous.t/,2014,712.0
    Copper concentrate with 35% /thous.t/,2013,533.3
    Copper concentrate with 35% /thous.t/,2012,347.6
    Copper concentrate with 35% /thous.t/,2011,347.4
    Copper concentrate with 35% /thous.t/,2010,357.1
    Copper concentrate with 35% /thous.t/,2009,370.9
    Copper concentrate with 35% /thous.t/,2008,362.3
    Copper concentrate with 35% /thous.t/,2007,371.9
    Copper concentrate with 35% /thous.t/,2006,370.5
    Copper concentrate with 35% /thous.t/,2005,361.6
    Copper concentrate with 35% /thous.t/,2004,371.4
    Copper concentrate with 35% /thous.t/,2003,372.2
    Copper concentrate with 35% /thous.t/,2002,376.3
    Copper concentrate with 35% /thous.t/,2001,381.4
    Copper concentrate with 35% /thous.t/,2000,357.8
    Copper concentrate with 35% /thous.t/,1999,361.9
    Copper concentrate with 35% /thous.t/,1998,358.4
    Copper concentrate with 35% /thous.t/,1997,357.9
    Copper concentrate with 35% /thous.t/,1996,351.5
    Copper concentrate with 35% /thous.t/,1995,346.4
    Copper concentrate with 35% /thous.t/,1994,343.3
    Copper concentrate with 35% /thous.t/,1993,334.3
    Copper concentrate with 35% /thous.t/,1992,300.2
    Copper concentrate with 35% /thous.t/,1991,257.4
    Copper concentrate with 35% /thous.t/,1990,354.1
    Copper concentrate with 35% /thous.t/,1989,352.9
"        Copper, with concentrate /thous.t/",2025,2126.6
"        Copper, with concentrate /thous.t/",2024,1562.2
"        Copper, with concentrate /thous.t/",2023,1395.3
"        Copper, with concentrate /thous.t/",2022,1189.8
"        Copper, with concentrate /thous.t/",2021,1326.3
"        Copper, with concentrate /thous.t/",2020,1276.7
"        Copper, with concentrate /thous.t/",2019,1262.6
"        Copper, with concentrate /thous.t/",2018,1310.8
"        Copper, with concentrate /thous.t/",2017,1317.6
"        Copper, with concentrate /thous.t/",2016,1445.1
"        Copper, with concentrate /thous.t/",2015,1334.7
"        Copper, with concentrate /thous.t/",2014,1080.4
