Region,Month,value
Total,2026-07,12.0
Total,2026-06,12.0
Total,2026-05,11.0
Total,2026-04,11.0
Total,2026-03,17.0
Total,2026-02,11.0
Total,2026-01,13.0
Total,2025-12,13.0
Total,2025-11,13.0
Total,2025-10,11.0
Total,2025-09,14.0
Total,2025-08,16.0
Total,2016-01,12.0
Total,2016-02,13.0
Total,2016-03,14.0
Total,2016-04,15.0
Total,2016-05,15.0
Total,2016-06,14.0
Total,2016-07,14.0
Total,2016-08,15.0
Total,2016-09,12.0
Total,2016-10,12.0
Total,2016-11,12.0
Total,2016-12,11.0
Total,2017-01,11.0
Total,2017-02,11.0
Total,2017-03,14.0
Total,2017-04,13.0
Total,2017-05,12.0
Total,2017-06,13.0
Total,2017-07,11.0
Total,2017-08,11.0
Total,2017-09,13.0
Total,2017-10,14.0
Total,2017-11,14.0
Total,2017-12,13.0
Total,2018-01,11.0
Total,2018-02,11.0
Total,2018-03,10.0
Total,2018-04,13.0
Total,2018-05,12.0
Total,2018-06,11.0
Total,2018-07,14.0
Total,2018-08,13.0
Total,2018-09,13.0
Total,2018-10,13.0
Total,2018-11,15.0
Total,2018-12,14.0
Total,2019-01,12.0
Total,2019-02,12.0
Total,2019-03,11.0
Total,2019-04,10.0
Total,2019-05,12.0
Total,2019-06,13.0
Total,2019-07,14.0
Total,2019-08,12.0
Total,2019-09,10.0
Total,2019-10,9.0
Total,2019-11,14.0
Total,2019-12,11.0
Total,2020-01,13.0
Total,2020-02,11.0
Total,2020-03,12.0
Total,2020-04,12.0
Total,2020-05,13.0
Total,2020-06,10.0
Total,2020-07,13.0
Total,2020-08,12.0
Total,2020-09,10.0
Total,2020-10,12.0
Total,2020-11,11.0
Total,2020-12,10.0
Total,2021-01,11.0
Total,2021-02,13.0
Total,2021-03,10.0
Total,2021-04,10.0
Total,2021-05,13.0
Total,2021-06,12.0
Total,2021-07,14.0
Total,2021-08,12.0
Total,2021-09,12.0
Total,2021-10,14.0
Total,2021-11,15.0
Total,2021-12,14.0
Total,2022-01,12.0
Total,2022-02,14.0
Total,2022-03,12.0
Total,2022-04,11.0
