Бүс,Насны бүлэг,Хүйс,Он,value
Улсын дүн,Бүгд,Нийт,2025,61.1
Улсын дүн,Бүгд,Нийт,2024,61.3
Улсын дүн,Бүгд,Нийт,2023,59.5
Улсын дүн,Бүгд,Нийт,2022,60.3
Улсын дүн,Бүгд,Нийт,2021,59.1
Улсын дүн,Бүгд,Нийт,2020,61.1
Улсын дүн,Бүгд,Нийт,2019,62.8
Улсын дүн,Бүгд,Нийт,2018,61.0
Улсын дүн,Бүгд,Нийт,2017,61.1
Улсын дүн,Бүгд,Нийт,2016,60.5
Улсын дүн,Бүгд,Нийт,2015,61.5
Улсын дүн,Бүгд,Нийт,2014,62.2
Улсын дүн,Бүгд,Нийт,2013,61.9
Улсын дүн,Бүгд,Нийт,2012,63.5
Улсын дүн,Бүгд,Нийт,2011,62.5
Улсын дүн,Бүгд,Нийт,2010,61.6
Улсын дүн,Бүгд,Нийт,2009,61.4
Улсын дүн,Бүгд,Эрэгтэй,2025,69.7
Улсын дүн,Бүгд,Эрэгтэй,2024,69.7
Улсын дүн,Бүгд,Эрэгтэй,2023,67.9
Улсын дүн,Бүгд,Эрэгтэй,2022,68.1
Улсын дүн,Бүгд,Эрэгтэй,2021,67.1
Улсын дүн,Бүгд,Эрэгтэй,2020,68.7
Улсын дүн,Бүгд,Эрэгтэй,2019,70.4
Улсын дүн,Бүгд,Эрэгтэй,2018,69.5
Улсын дүн,Бүгд,Эрэгтэй,2017,67.5
Улсын дүн,Бүгд,Эрэгтэй,2016,67.3
Улсын дүн,Бүгд,Эрэгтэй,2015,68.1
Улсын дүн,Бүгд,Эрэгтэй,2014,68.6
Улсын дүн,Бүгд,Эрэгтэй,2013,68.1
Улсын дүн,Бүгд,Эрэгтэй,2012,69.1
Улсын дүн,Бүгд,Эрэгтэй,2011,68.7
Улсын дүн,Бүгд,Эрэгтэй,2010,67.2
Улсын дүн,Бүгд,Эрэгтэй,2009,66.7
Улсын дүн,Бүгд,Эмэгтэй,2025,52.9
Улсын дүн,Бүгд,Эмэгтэй,2024,53.5
Улсын дүн,Бүгд,Эмэгтэй,2023,51.9
Улсын дүн,Бүгд,Эмэгтэй,2022,53.1
Улсын дүн,Бүгд,Эмэгтэй,2021,51.8
Улсын дүн,Бүгд,Эмэгтэй,2020,54.1
Улсын дүн,Бүгд,Эмэгтэй,2019,55.7
Улсын дүн,Бүгд,Эмэгтэй,2018,53.4
Улсын дүн,Бүгд,Эмэгтэй,2017,55.2
Улсын дүн,Бүгд,Эмэгтэй,2016,54.2
Улсын дүн,Бүгд,Эмэгтэй,2015,55.4
Улсын дүн,Бүгд,Эмэгтэй,2014,56.2
Улсын дүн,Бүгд,Эмэгтэй,2013,56.3
Улсын дүн,Бүгд,Эмэгтэй,2012,58.4
Улсын дүн,Бүгд,Эмэгтэй,2011,56.8
Улсын дүн,Бүгд,Эмэгтэй,2010,56.2
Улсын дүн,Бүгд,Эмэгтэй,2009,56.5
Улсын дүн,15-19,Нийт,2025,7.7
Улсын дүн,15-19,Нийт,2024,8.6
Улсын дүн,15-19,Нийт,2023,9.7
Улсын дүн,15-19,Нийт,2022,9.7
Улсын дүн,15-19,Нийт,2021,10.5
Улсын дүн,15-19,Нийт,2020,12.4
Улсын дүн,15-19,Нийт,2019,12.1
Улсын дүн,15-19,Нийт,2018,10.6
Улсын дүн,15-19,Нийт,2017,10.0
Улсын дүн,15-19,Нийт,2016,9.5
Улсын дүн,15-19,Нийт,2015,10.8
Улсын дүн,15-19,Нийт,2014,11.7
Улсын дүн,15-19,Нийт,2013,13.7
Улсын дүн,15-19,Нийт,2012,27.9
Улсын дүн,15-19,Нийт,2011,17.8
Улсын дүн,15-19,Нийт,2010,16.0
Улсын дүн,15-19,Нийт,2009,17.8
Улсын дүн,15-19,Эрэгтэй,2025,10.6
Улсын дүн,15-19,Эрэгтэй,2024,11.5
Улсын дүн,15-19,Эрэгтэй,2023,13.9
Улсын дүн,15-19,Эрэгтэй,2022,12.4
Улсын дүн,15-19,Эрэгтэй,2021,14.9
Улсын дүн,15-19,Эрэгтэй,2020,17.3
Улсын дүн,15-19,Эрэгтэй,2019,17.6
Улсын дүн,15-19,Эрэгтэй,2018,15.8
Улсын дүн,15-19,Эрэгтэй,2017,12.9
Улсын дүн,15-19,Эрэгтэй,2016,12.0
Улсын дүн,15-19,Эрэгтэй,2015,13.7
Улсын дүн,15-19,Эрэгтэй,2014,14.9
Улсын дүн,15-19,Эрэгтэй,2013,16.6
Улсын дүн,15-19,Эрэгтэй,2012,30.8
Улсын дүн,15-19,Эрэгтэй,2011,21.8
Улсын дүн,15-19,Эрэгтэй,2010,18.8
Улсын дүн,15-19,Эрэгтэй,2009,21.6
Улсын дүн,15-19,Эмэгтэй,2025,4.5
Улсын дүн,15-19,Эмэгтэй,2024,5.7
Улсын дүн,15-19,Эмэгтэй,2023,5.3
Улсын дүн,15-19,Эмэгтэй,2022,6.5
Улсын дүн,15-19,Эмэгтэй,2021,5.5
Улсын дүн,15-19,Эмэгтэй,2020,7.4
Улсын дүн,15-19,Эмэгтэй,2019,6.2
Улсын дүн,15-19,Эмэгтэй,2018,5.3
Улсын дүн,15-19,Эмэгтэй,2017,6.9
Улсын дүн,15-19,Эмэгтэй,2016,6.9
Улсын дүн,15-19,Эмэгтэй,2015,7.7
Улсын дүн,15-19,Эмэгтэй,2014,8.4
Улсын дүн,15-19,Эмэгтэй,2013,10.7
Улсын дүн,15-19,Эмэгтэй,2012,25.0
Улсын дүн,15-19,Эмэгтэй,2011,13.8
Улсын дүн,15-19,Эмэгтэй,2010,13.0
Улсын дүн,15-19,Эмэгтэй,2009,13.7
Улсын дүн,20-24,Нийт,2025,54.8
Улсын дүн,20-24,Нийт,2024,52.7
Улсын дүн,20-24,Нийт,2023,49.9
Улсын дүн,20-24,Нийт,2022,53.6
Улсын дүн,20-24,Нийт,2021,47.1
Улсын дүн,20-24,Нийт,2020,54.3
