хүйс,он,дундаж_наслалт_жил
Эмэгтэй,1992,64.9
Эрэгтэй,1992,60.7
Эмэгтэй,1995,65.4
Эрэгтэй,1995,62.1
Эмэгтэй,1997,67.7
Эрэгтэй,1997,61.1
Эмэгтэй,1998,67.6
Эрэгтэй,1998,62.7
Эмэгтэй,2000,66.1
Эрэгтэй,2000,60.4
Эмэгтэй,2001,66.3
Эрэгтэй,2001,60.7
Эмэгтэй,2002,66.5
Эрэгтэй,2002,60.8
Эмэгтэй,2003,66.5
Эрэгтэй,2003,60.8
Эмэгтэй,2004,67.8
Эрэгтэй,2004,61.6
Эмэгтэй,2005,68.6
Эрэгтэй,2005,62.1
Эмэгтэй,2006,69.4
Эрэгтэй,2006,62.6
Эмэгтэй,2007,70.2
Эрэгтэй,2007,63.1
Эмэгтэй,2008,71.0
Эрэгтэй,2008,63.7
Эмэгтэй,2009,71.8
Эрэгтэй,2009,64.3
Эмэгтэй,2010,72.3
Эрэгтэй,2010,64.9
Эмэгтэй,2011,73.8
Эрэгтэй,2011,64.7
Эмэгтэй,2012,74.3
Эрэгтэй,2012,64.9
Эмэгтэй,2013,75.0
Эрэгтэй,2013,65.4
Эмэгтэй,2014,75.5
Эрэгтэй,2014,65.9
Эмэгтэй,2015,75.8
Эрэгтэй,2015,66.0
Эмэгтэй,2016,75.1
Эрэгтэй,2016,65.6
Эмэгтэй,2017,75.4
Эрэгтэй,2017,65.9
Эмэгтэй,2018,75.8
Эрэгтэй,2018,66.1
Эмэгтэй,2019,76.0
Эрэгтэй,2019,66.4
Эмэгтэй,2020,76.2
Эрэгтэй,2020,66.7
Эмэгтэй,2021,76.5
Эрэгтэй,2021,67.1
Эмэгтэй,2022,76.7
Эрэгтэй,2022,67.3
Эмэгтэй,2023,76.9
Эрэгтэй,2023,67.6
Эмэгтэй,2024,77.1
Эрэгтэй,2024,67.9
Эмэгтэй,2025,77.3
Эрэгтэй,2025,68.2
