year,region,value
2010,Zavkhan,1011
2010,Govi-Altai,738.2
2010,Bayan-Ulgii,150.9
2010,Khovd,444.4
2010,Uvs,666.2
2010,Orkhon,30
2010,Uvurkhangai,1664.3
2010,Bulgan,223.8
2010,Bayankhongor,634.5
2010,Arkhangai,1084.2
2010,Khuvsgul,698.7
2010,Tuv,560.9
2010,Govisumber,15.3
2010,Selenge,102.7
2010,Dornogovi,51.3
2010,Darkhan-Uul,46.1
2010,Umnugovi,618.8
2010,Dundgovi,878.2
2010,Dornod,314.7
2010,Sukhbaatar,60.9
2010,Khentii,250.7
2010,Ulaanbaatar,73.9
2011,Zavkhan,32.8
2011,Govi-Altai,53.8
2011,Bayan-Ulgii,14
2011,Khovd,59.6
2011,Uvs,40.7
2011,Orkhon,0.9
2011,Uvurkhangai,22
2011,Bulgan,75
2011,Bayankhongor,41.3
2011,Arkhangai,88.3
2011,Khuvsgul,67
2011,Tuv,22.7
2011,Govisumber,0.3
2011,Selenge,7.3
2011,Dornogovi,5.3
2011,Darkhan-Uul,2.3
2011,Umnugovi,9.4
2011,Dundgovi,4.3
2011,Dornod,10.9
2011,Sukhbaatar,54.7
2011,Khentii,36
2011,Ulaanbaatar,2.7
2012,Zavkhan,20.2
2012,Govi-Altai,34.2
2012,Bayan-Ulgii,9.2
2012,Khovd,23.9
2012,Uvs,49
2012,Orkhon,1.8
2012,Uvurkhangai,8.1
2012,Bulgan,26.2
2012,Bayankhongor,18.1
2012,Arkhangai,59.7
2012,Khuvsgul,44.5
2012,Tuv,22.1
2012,Govisumber,0.9
2012,Selenge,9.3
2012,Dornogovi,12.2
2012,Darkhan-Uul,2.1
2012,Umnugovi,8.8
2012,Dundgovi,3.5
2012,Dornod,14.2
2012,Sukhbaatar,20.9
2012,Khentii,38
2012,Ulaanbaatar,2.1
2013,Zavkhan,60.4
2013,Govi-Altai,36.8
2013,Bayan-Ulgii,11.1
2013,Khovd,23.4
2013,Uvs,35.7
2013,Orkhon,2.1
2013,Uvurkhangai,19.7
2013,Bulgan,37
2013,Bayankhongor,59.4
2013,Arkhangai,196.2
2013,Khuvsgul,117.5
2013,Tuv,42.1
2013,Govisumber,1.8
2013,Selenge,6.5
2013,Dornogovi,9.2
2013,Darkhan-Uul,3.4
2013,Umnugovi,9.8
2013,Dundgovi,4.3
2013,Dornod,47.9
2013,Sukhbaatar,26
2013,Khentii,38.5
2013,Ulaanbaatar,3.6
2014,Zavkhan,25.479
2014,Govi-Altai,35.093
2014,Bayan-Ulgii,5.164
2014,Khovd,27.288
2014,Uvs,13.964
2014,Orkhon,0.631
2014,Uvurkhangai,8.863
2014,Bulgan,16.271
2014,Bayankhongor,45.746
2014,Arkhangai,94.084
2014,Khuvsgul,27.002
2014,Tuv,21.259
2014,Govisumber,1.642
2014,Selenge,2.995
2014,Dornogovi,7.327
2014,Darkhan-Uul,1.645
2014,Umnugovi,11.128
2014,Dundgovi,1.822
2014,Dornod,8.792
2014,Sukhbaatar,10.779
2014,Khentii,32.268
2014,Ulaanbaatar,2.128
2015,Zavkhan,33.634
2015,Govi-Altai,16.223
2015,Bayan-Ulgii,5.519
2015,Khovd,17.242
2015,Uvs,17.965
2015,Orkhon,0.827
2015,Uvurkhangai,64.646
2015,Bulgan,72.482
2015,Bayankhongor,63.218
2015,Arkhangai,100.341
2015,Khuvsgul,54.818
2015,Tuv,61.33
2015,Govisumber,1.987
2015,Selenge,8.235
2015,Dornogovi,14.447
2015,Darkhan-Uul,3.724
2015,Umnugovi,17.326
2015,Dundgovi,3.8
2015,Dornod,7.133
2015,Sukhbaatar,15.094
2015,Khentii,42.874
2015,Ulaanbaatar,2.738
2016,Zavkhan,131.224
2016,Govi-Altai,35.131
2016,Bayan-Ulgii,30.853
2016,Khovd,57.078
2016,Uvs,198.052
2016,Orkhon,0.528
2016,Uvurkhangai,37.833
2016,Bulgan,58.212
2016,Bayankhongor,120.508
2016,Arkhangai,147.394
2016,Khuvsgul,42.604
2016,Tuv,121.633
2016,Govisumber,14.686
2016,Selenge,3.347
2016,Dornogovi,117.989
2016,Darkhan-Uul,1.617
2016,Umnugovi,10.089
2016,Dundgovi,69.724
2016,Dornod,13.615
2016,Sukhbaatar,185.646
2016,Khentii,47.972
2016,Ulaanbaatar,6.413
2017,Zavkhan,40.599
2017,Govi-Altai,10.9
2017,Bayan-Ulgii,17.8
2017,Khovd,30.323
2017,Uvs,30.578
2017,Orkhon,5.396
2017,Uvurkhangai,29.315
2017,Bulgan,85.437
2017,Bayankhongor,22.402
2017,Arkhangai,129.47
2017,Khuvsgul,200.261
2017,Tuv,72.414
2017,Govisumber,2.89
2017,Selenge,69.61
2017,Dornogovi,5.637
2017,Darkhan-Uul,19.075
2017,Umnugovi,11.251
2017,Dundgovi,3.362
2017,Dornod,9.111
2017,Sukhbaatar,12.941
2017,Khentii,70.928
2017,Ulaanbaatar,8.314
2018,Zavkhan,181.039
2018,Govi-Altai,151.21
2018,Bayan-Ulgii,71.049
2018,Khovd,175.295
2018,Uvs,127.75
2018,Orkhon,6.356
2018,Uvurkhangai,352.294
2018,Bulgan,115.945
2018,Bayankhongor,338.396
2018,Arkhangai,319.397
2018,Khuvsgul,73.932
2018,Tuv,221.577
2018,Govisumber,39.535
2018,Selenge,14.608
2018,Dornogovi,18.933
2018,Darkhan-Uul,3.711
2018,Umnugovi,61.994
2018,Dundgovi,75.419
2018,Dornod,6.588
2018,Sukhbaatar,75.983
2018,Khentii,189.242
2018,Ulaanbaatar,15.139
2019,Zavkhan,22.525
2019,Govi-Altai,57.682
2019,Bayan-Ulgii,60.425
2019,Khovd,131.88
2019,Uvs,145.019
2019,Orkhon,0.53
2019,Uvurkhangai,103.574
2019,Bulgan,26.193
2019,Bayankhongor,40.972
2019,Arkhangai,63.754
2019,Khuvsgul,93.795
2019,Tuv,68.077
2019,Govisumber,5.666
2019,Selenge,6.725
2019,Dornogovi,8.651
2019,Darkhan-Uul,0.903
2019,Umnugovi,8.12
2019,Dundgovi,14.185
2019,Dornod,7.413
2019,Sukhbaatar,46.619
2019,Khentii,200.175
2019,Ulaanbaatar,4.693
2020,Zavkhan,97.115
2020,Govi-Altai,30.486
2020,Bayan-Ulgii,9.738
2020,Khovd,18.453
2020,Uvs,29.827
2020,Orkhon,1.155
2020,Uvurkhangai,210.428
2020,Bulgan,171.998
2020,Bayankhongor,123.754
2020,Arkhangai,416.719
2020,Khuvsgul,376.522
2020,Tuv,115.571
2020,Govisumber,14.663
2020,Selenge,5.926
2020,Dornogovi,10.958
2020,Darkhan-Uul,2.308
2020,Umnugovi,20.981
2020,Dundgovi,33.056
2020,Dornod,16.374
2020,Sukhbaatar,49.153
2020,Khentii,297.66
2020,Ulaanbaatar,11.229
2021,Zavkhan,48.956
2021,Govi-Altai,278.121
2021,Bayan-Ulgii,10.058
2021,Khovd,35.462
2021,Uvs,13.84
2021,Orkhon,0.575
2021,Uvurkhangai,328.73
2021,Bulgan,29.617
2021,Bayankhongor,812.618
2021,Arkhangai,171.878
2021,Khuvsgul,67.558
2021,Tuv,200.351
2021,Govisumber,39.72
2021,Selenge,13.774
2021,Dornogovi,37.391
2021,Darkhan-Uul,3.042
2021,Umnugovi,129.688
2021,Dundgovi,491.076
2021,Dornod,8.556
2021,Sukhbaatar,43.43
2021,Khentii,232.396
2021,Ulaanbaatar,15.491
2022,Zavkhan,16.945
2022,Govi-Altai,15.366
2022,Bayan-Ulgii,15.108
2022,Khovd,39.812
2022,Uvs,64.574
2022,Orkhon,0.798
2022,Uvurkhangai,11.735
2022,Bulgan,33.703
2022,Bayankhongor,10.091
2022,Arkhangai,73.336
2022,Khuvsgul,66.689
2022,Tuv,41.803
2022,Govisumber,2.514
2022,Selenge,13.372
2022,Dornogovi,5.611
2022,Darkhan-Uul,2.883
2022,Umnugovi,10.66
2022,Dundgovi,4.576
2022,Dornod,10.401
2022,Sukhbaatar,15.803
2022,Khentii,204.749
2022,Ulaanbaatar,7.005
2023,Zavkhan,235.312
2023,Govi-Altai,157.021
2023,Bayan-Ulgii,110.632
2023,Khovd,294.411
2023,Uvs,413.825
2023,Orkhon,3.172
2023,Uvurkhangai,178.733
2023,Bulgan,263.818
2023,Bayankhongor,42.739
2023,Arkhangai,682.28
2023,Khuvsgul,283.197
2023,Tuv,198.285
2023,Govisumber,4.902
2023,Selenge,67.606
2023,Dornogovi,158.67
2023,Darkhan-Uul,28.537
2023,Umnugovi,169.64
2023,Dundgovi,48.273
2023,Dornod,100.833
2023,Sukhbaatar,578.448
2023,Khentii,858.344
2023,Ulaanbaatar,42.814
2024,Zavkhan,245.65
2024,Govi-Altai,131.593
2024,Bayan-Ulgii,78.844
2024,Khovd,79.615
2024,Uvs,261.702
2024,Orkhon,8.499
2024,Uvurkhangai,115.236
2024,Bulgan,606.511
2024,Bayankhongor,310.735
2024,Arkhangai,993.317
2024,Khuvsgul,466.282
2024,Tuv,843.125
2024,Govisumber,144.718
2024,Selenge,71.866
2024,Dornogovi,682.705
2024,Darkhan-Uul,6.378
2024,Umnugovi,81.791
2024,Dundgovi,437.573
2024,Dornod,433.315
2024,Sukhbaatar,1824.993
2024,Khentii,1506.234
2024,Ulaanbaatar,33.401
2025,Zavkhan,9.108
2025,Govi-Altai,23.522
2025,Bayan-Ulgii,17.34
2025,Khovd,38.126
2025,Uvs,40.403
2025,Orkhon,0.51
2025,Uvurkhangai,28.723
2025,Bulgan,18.895
2025,Bayankhongor,11.027
2025,Arkhangai,39.129
2025,Khuvsgul,42.795
2025,Tuv,21.262
2025,Govisumber,0.096
2025,Selenge,12.288
2025,Dornogovi,3.108
2025,Darkhan-Uul,2.837
2025,Umnugovi,4.674
2025,Dundgovi,1.995
2025,Dornod,11.397
2025,Sukhbaatar,3.478
2025,Khentii,23.716
2025,Ulaanbaatar,4.513
