он,бүс,утга
2010,Завхан,1011
2010,Говь-Алтай,738.2
2010,Баян-Өлгий,150.9
2010,Ховд,444.4
2010,Увс,666.2
2010,Орхон,30
2010,Өвөрхангай,1664.3
2010,Булган,223.8
2010,Баянхонгор,634.5
2010,Архангай,1084.2
2010,Хөвсгөл,698.7
2010,Төв,560.9
2010,Говьсүмбэр,15.3
2010,Сэлэнгэ,102.7
2010,Дорноговь,51.3
2010,Дархан-Уул,46.1
2010,Өмнөговь,618.8
2010,Дундговь,878.2
2010,Дорнод,314.7
2010,Сүхбаатар,60.9
2010,Хэнтий,250.7
2010,Улаанбаатар,73.9
2011,Завхан,32.8
2011,Говь-Алтай,53.8
2011,Баян-Өлгий,14
2011,Ховд,59.6
2011,Увс,40.7
2011,Орхон,0.9
2011,Өвөрхангай,22
2011,Булган,75
2011,Баянхонгор,41.3
2011,Архангай,88.3
2011,Хөвсгөл,67
2011,Төв,22.7
2011,Говьсүмбэр,0.3
2011,Сэлэнгэ,7.3
2011,Дорноговь,5.3
2011,Дархан-Уул,2.3
2011,Өмнөговь,9.4
2011,Дундговь,4.3
2011,Дорнод,10.9
2011,Сүхбаатар,54.7
2011,Хэнтий,36
2011,Улаанбаатар,2.7
2012,Завхан,20.2
2012,Говь-Алтай,34.2
2012,Баян-Өлгий,9.2
2012,Ховд,23.9
2012,Увс,49
2012,Орхон,1.8
2012,Өвөрхангай,8.1
2012,Булган,26.2
2012,Баянхонгор,18.1
2012,Архангай,59.7
2012,Хөвсгөл,44.5
2012,Төв,22.1
2012,Говьсүмбэр,0.9
2012,Сэлэнгэ,9.3
2012,Дорноговь,12.2
2012,Дархан-Уул,2.1
2012,Өмнөговь,8.8
2012,Дундговь,3.5
2012,Дорнод,14.2
2012,Сүхбаатар,20.9
2012,Хэнтий,38
2012,Улаанбаатар,2.1
2013,Завхан,60.4
2013,Говь-Алтай,36.8
2013,Баян-Өлгий,11.1
2013,Ховд,23.4
2013,Увс,35.7
2013,Орхон,2.1
2013,Өвөрхангай,19.7
2013,Булган,37
2013,Баянхонгор,59.4
2013,Архангай,196.2
2013,Хөвсгөл,117.5
2013,Төв,42.1
2013,Говьсүмбэр,1.8
