малын_төрөл,бүс,он,утга
Бүгд,Улсын дүн,1970,22574.72
Бүгд,Улсын дүн,1971,22692.57
Бүгд,Улсын дүн,1972,23108.06
Бүгд,Улсын дүн,1973,23538.01
Бүгд,Улсын дүн,1974,24313.47
Бүгд,Улсын дүн,1975,24351.58
Бүгд,Улсын дүн,1976,23683.96
Бүгд,Улсын дүн,1977,22942.12
Бүгд,Улсын дүн,1978,24025.67
Бүгд,Улсын дүн,1979,24201.2
Бүгд,Улсын дүн,1980,23771.48
Бүгд,Улсын дүн,1981,24263.07
Бүгд,Улсын дүн,1982,24764.65
Бүгд,Улсын дүн,1983,23570.32
Бүгд,Улсын дүн,1984,22591.93
Бүгд,Улсын дүн,1985,22485.49
Бүгд,Улсын дүн,1986,22590.51
Бүгд,Улсын дүн,1987,22741.1
Бүгд,Улсын дүн,1988,23122.25
Бүгд,Улсын дүн,1989,24674.93
Бүгд,Улсын дүн,1990,25856.9
Бүгд,Улсын дүн,1991,25527.91
Бүгд,Улсын дүн,1992,25694.09
Бүгд,Улсын дүн,1993,24688.34
Бүгд,Улсын дүн,1994,26778.42
Бүгд,Улсын дүн,1995,28572.34
Бүгд,Улсын дүн,1996,29300.14
Бүгд,Улсын дүн,1997,31292.32
Бүгд,Улсын дүн,1998,32897.54
Бүгд,Улсын дүн,1999,33568.9
Бүгд,Улсын дүн,2000,30227.5
Бүгд,Улсын дүн,2001,26075.35
Бүгд,Улсын дүн,2002,23897.58
Бүгд,Улсын дүн,2003,25427.71
Бүгд,Улсын дүн,2004,28027.96
Бүгд,Улсын дүн,2005,30398.84
Бүгд,Улсын дүн,2006,34802.95
Бүгд,Улсын дүн,2007,40263.86
Бүгд,Улсын дүн,2008,43288.53
Бүгд,Улсын дүн,2009,43981.02
Бүгд,Улсын дүн,2010,32729.52
Бүгд,Улсын дүн,2011,36335.8
Бүгд,Улсын дүн,2012,40920.92
Бүгд,Улсын дүн,2013,45144.32
Бүгд,Улсын дүн,2014,51982.58
Бүгд,Улсын дүн,2015,55979.78
Бүгд,Улсын дүн,2016,61549.24
Бүгд,Улсын дүн,2017,66218.96
Бүгд,Улсын дүн,2018,66460.18
Бүгд,Улсын дүн,2019,70969.32
Бүгд,Улсын дүн,2020,67068.49
Бүгд,Улсын дүн,2021,67343.76
Бүгд,Улсын дүн,2022,71121.45
Бүгд,Улсын дүн,2023,64681.88
Бүгд,Улсын дүн,2024,57649.66
Бүгд,Улсын дүн,2025,58104.21
