Үзүүлэлт,"Аймаг, нийслэл",Он,value
"Арьс, мян.шир",Улсын дүн,2025,12657.888
"Арьс, мян.шир",Улсын дүн,2024,11009.5
"Арьс, мян.шир",Улсын дүн,2023,14428.2
"Арьс, мян.шир",Улсын дүн,2022,13017.8
"Арьс, мян.шир",Улсын дүн,2021,11752.5
"Арьс, мян.шир",Улсын дүн,2020,15648.8
"Арьс, мян.шир",Улсын дүн,2019,11238.2
"Арьс, мян.шир",Улсын дүн,2018,14874.0
"Арьс, мян.шир",Улсын дүн,2017,12122.4
"Арьс, мян.шир",Улсын дүн,2016,11295.9
"Арьс, мян.шир",Улсын дүн,2015,12877.6
"Арьс, мян.шир",Улсын дүн,2014,10217.9
"Арьс, мян.шир",Улсын дүн,2013,10894.5
"Арьс, мян.шир",Улсын дүн,2012,8766.5
"Арьс, мян.шир",Улсын дүн,2011,8743.8
"Арьс, мян.шир",Улсын дүн,2010,16778.3
"Арьс, мян.шир",Баруун бүс,2025,3752.486
"Арьс, мян.шир",Баруун бүс,2024,2388.9
"Арьс, мян.шир",Баруун бүс,2023,3277.9
"Арьс, мян.шир",Баруун бүс,2022,4061.5
"Арьс, мян.шир",Баруун бүс,2021,2845.1
"Арьс, мян.шир",Баруун бүс,2020,3645.9
"Арьс, мян.шир",Баруун бүс,2019,2842.3
"Арьс, мян.шир",Баруун бүс,2018,4031.5
"Арьс, мян.шир",Баруун бүс,2017,3219.2
"Арьс, мян.шир",Баруун бүс,2016,2587.0
"Арьс, мян.шир",Баруун бүс,2015,3077.4
"Арьс, мян.шир",Баруун бүс,2014,2485.49
"Арьс, мян.шир",Баруун бүс,2013,2485.4
"Арьс, мян.шир",Баруун бүс,2012,1982.4
"Арьс, мян.шир",Баруун бүс,2011,1868.0
"Арьс, мян.шир",Баруун бүс,2010,4415.3
"Арьс, мян.шир",    Баян-Өлгий,2025,619.012
"Арьс, мян.шир",    Баян-Өлгий,2024,394.4
"Арьс, мян.шир",    Баян-Өлгий,2023,531.6
"Арьс, мян.шир",    Баян-Өлгий,2022,647.7
"Арьс, мян.шир",    Баян-Өлгий,2021,443.2
"Арьс, мян.шир",    Баян-Өлгий,2020,485.4
"Арьс, мян.шир",    Баян-Өлгий,2019,470.3
"Арьс, мян.шир",    Баян-Өлгий,2018,664.0
"Арьс, мян.шир",    Баян-Өлгий,2017,601.5
"Арьс, мян.шир",    Баян-Өлгий,2016,551.4
"Арьс, мян.шир",    Баян-Өлгий,2015,571.8
"Арьс, мян.шир",    Баян-Өлгий,2014,386.78
"Арьс, мян.шир",    Баян-Өлгий,2013,367.0
"Арьс, мян.шир",    Баян-Өлгий,2012,333.7
"Арьс, мян.шир",    Баян-Өлгий,2011,310.2
"Арьс, мян.шир",    Баян-Өлгий,2010,503.7
"Арьс, мян.шир",    Говь-Алтай,2025,738.414
"Арьс, мян.шир",    Говь-Алтай,2024,541.0
"Арьс, мян.шир",    Говь-Алтай,2023,643.9
"Арьс, мян.шир",    Говь-Алтай,2022,738.8
"Арьс, мян.шир",    Говь-Алтай,2021,599.6
"Арьс, мян.шир",    Говь-Алтай,2020,1007.7
"Арьс, мян.шир",    Говь-Алтай,2019,675.2
"Арьс, мян.шир",    Говь-Алтай,2018,950.5
"Арьс, мян.шир",    Говь-Алтай,2017,710.0
"Арьс, мян.шир",    Говь-Алтай,2016,423.5
"Арьс, мян.шир",    Говь-Алтай,2015,506.4
"Арьс, мян.шир",    Говь-Алтай,2014,469.04
"Арьс, мян.шир",    Говь-Алтай,2013,391.1
"Арьс, мян.шир",    Говь-Алтай,2012,315.5
"Арьс, мян.шир",    Говь-Алтай,2011,266.1
"Арьс, мян.шир",    Говь-Алтай,2010,734.1
"Арьс, мян.шир",    Завхан,2025,570.781
"Арьс, мян.шир",    Завхан,2024,385.0
"Арьс, мян.шир",    Завхан,2023,710.0
"Арьс, мян.шир",    Завхан,2022,785.2
"Арьс, мян.шир",    Завхан,2021,613.2
"Арьс, мян.шир",    Завхан,2020,823.5
"Арьс, мян.шир",    Завхан,2019,559.9
"Арьс, мян.шир",    Завхан,2018,775.5
"Арьс, мян.шир",    Завхан,2017,689.9
"Арьс, мян.шир",    Завхан,2016,572.3
"Арьс, мян.шир",    Завхан,2015,674.3
"Арьс, мян.шир",    Завхан,2014,615.89
"Арьс, мян.шир",    Завхан,2013,577.0
"Арьс, мян.шир",    Завхан,2012,476.3
"Арьс, мян.шир",    Завхан,2011,353.0
"Арьс, мян.шир",    Завхан,2010,1204.4
"Арьс, мян.шир",    Увс,2025,855.795
"Арьс, мян.шир",    Увс,2024,521.9
"Арьс, мян.шир",    Увс,2023,687.6
"Арьс, мян.шир",    Увс,2022,956.8
"Арьс, мян.шир",    Увс,2021,601.6
"Арьс, мян.шир",    Увс,2020,674.6
"Арьс, мян.шир",    Увс,2019,543.5
"Арьс, мян.шир",    Увс,2018,736.9
"Арьс, мян.шир",    Увс,2017,528.5
"Арьс, мян.шир",    Увс,2016,488.0
"Арьс, мян.шир",    Увс,2015,685.0
"Арьс, мян.шир",    Увс,2014,522.25
"Арьс, мян.шир",    Увс,2013,574.9
"Арьс, мян.шир",    Увс,2012,461.3
"Арьс, мян.шир",    Увс,2011,461.2
"Арьс, мян.шир",    Увс,2010,1055.8
"Арьс, мян.шир",    Ховд,2025,968.484
"Арьс, мян.шир",    Ховд,2024,546.6
"Арьс, мян.шир",    Ховд,2023,704.7
"Арьс, мян.шир",    Ховд,2022,932.9
"Арьс, мян.шир",    Ховд,2021,587.5
"Арьс, мян.шир",    Ховд,2020,654.7
"Арьс, мян.шир",    Ховд,2019,593.4
"Арьс, мян.шир",    Ховд,2018,904.6
"Арьс, мян.шир",    Ховд,2017,689.3
"Арьс, мян.шир",    Ховд,2016,551.8
"Арьс, мян.шир",    Ховд,2015,639.9
"Арьс, мян.шир",    Ховд,2014,491.53
"Арьс, мян.шир",    Ховд,2013,575.4
"Арьс, мян.шир",    Ховд,2012,395.6
"Арьс, мян.шир",    Ховд,2011,477.5
"Арьс, мян.шир",    Ховд,2010,917.3
"Арьс, мян.шир",Хангайн бүс,2025,4297.205
"Арьс, мян.шир",Хангайн бүс,2024,3867.3
"Арьс, мян.шир",Хангайн бүс,2023,4666.7
"Арьс, мян.шир",Хангайн бүс,2022,3815.8
"Арьс, мян.шир",Хангайн бүс,2021,3687.3
"Арьс, мян.шир",Хангайн бүс,2020,6267.1
"Арьс, мян.шир",Хангайн бүс,2019,3926.2
"Арьс, мян.шир",Хангайн бүс,2018,4877.0
"Арьс, мян.шир",Хангайн бүс,2017,4561.4
"Арьс, мян.шир",Хангайн бүс,2016,3723.3
"Арьс, мян.шир",Хангайн бүс,2015,4583.8
"Арьс, мян.шир",Хангайн бүс,2014,3684.41
"Арьс, мян.шир",Хангайн бүс,2013,4010.9
"Арьс, мян.шир",Хангайн бүс,2012,2966.8
"Арьс, мян.шир",Хангайн бүс,2011,3066.9
"Арьс, мян.шир",Хангайн бүс,2010,6467.9
"Арьс, мян.шир",    Архангай,2025,681.505
"Арьс, мян.шир",    Архангай,2024,735.3
"Арьс, мян.шир",    Архангай,2023,1236.2
"Арьс, мян.шир",    Архангай,2022,917.3
"Арьс, мян.шир",    Архангай,2021,907.1
"Арьс, мян.шир",    Архангай,2020,1297.5
"Арьс, мян.шир",    Архангай,2019,690.5
"Арьс, мян.шир",    Архангай,2018,965.7
"Арьс, мян.шир",    Архангай,2017,1033.1
"Арьс, мян.шир",    Архангай,2016,790.3
"Арьс, мян.шир",    Архангай,2015,1121.3
"Арьс, мян.шир",    Архангай,2014,822.17
"Арьс, мян.шир",    Архангай,2013,853.2
"Арьс, мян.шир",    Архангай,2012,679.1
"Арьс, мян.шир",    Архангай,2011,608.6
"Арьс, мян.шир",    Архангай,2010,1381.4
"Арьс, мян.шир",    Баянхонгор,2025,799.354
"Арьс, мян.шир",    Баянхонгор,2024,609.4
"Арьс, мян.шир",    Баянхонгор,2023,592.5
"Арьс, мян.шир",    Баянхонгор,2022,565.1
"Арьс, мян.шир",    Баянхонгор,2021,348.2
"Арьс, мян.шир",    Баянхонгор,2020,1493.1
"Арьс, мян.шир",    Баянхонгор,2019,661.1
"Арьс, мян.шир",    Баянхонгор,2018,670.1
"Арьс, мян.шир",    Баянхонгор,2017,826.6
"Арьс, мян.шир",    Баянхонгор,2016,514.1
"Арьс, мян.шир",    Баянхонгор,2015,720.0
"Арьс, мян.шир",    Баянхонгор,2014,543.29
"Арьс, мян.шир",    Баянхонгор,2013,585.2
"Арьс, мян.шир",    Баянхонгор,2012,408.9
"Арьс, мян.шир",    Баянхонгор,2011,420.5
"Арьс, мян.шир",    Баянхонгор,2010,869.7
"Арьс, мян.шир",    Булган,2025,705.803
"Арьс, мян.шир",    Булган,2024,750.5
"Арьс, мян.шир",    Булган,2023,815.4
"Арьс, мян.шир",    Булган,2022,620.9
"Арьс, мян.шир",    Булган,2021,649.9
"Арьс, мян.шир",    Булган,2020,757.0
"Арьс, мян.шир",    Булган,2019,524.7
"Арьс, мян.шир",    Булган,2018,886.9
"Арьс, мян.шир",    Булган,2017,867.4
"Арьс, мян.шир",    Булган,2016,759.6
"Арьс, мян.шир",    Булган,2015,838.2
"Арьс, мян.шир",    Булган,2014,736.97
"Арьс, мян.шир",    Булган,2013,808.8
"Арьс, мян.шир",    Булган,2012,680.3
"Арьс, мян.шир",    Булган,2011,806.6
"Арьс, мян.шир",    Булган,2010,1084.5
"Арьс, мян.шир",    Өвөрхангай,2025,1150.063
"Арьс, мян.шир",    Өвөрхангай,2024,746.0
"Арьс, мян.шир",    Өвөрхангай,2023,747.6
"Арьс, мян.шир",    Өвөрхангай,2022,707.7
"Арьс, мян.шир",    Өвөрхангай,2021,832.1
"Арьс, мян.шир",    Өвөрхангай,2020,1506.9
"Арьс, мян.шир",    Өвөрхангай,2019,1104.3
"Арьс, мян.шир",    Өвөрхангай,2018,1141.8
"Арьс, мян.шир",    Өвөрхангай,2017,991.9
"Арьс, мян.шир",    Өвөрхангай,2016,845.3
"Арьс, мян.шир",    Өвөрхангай,2015,874.7
"Арьс, мян.шир",    Өвөрхангай,2014,685.81
"Арьс, мян.шир",    Өвөрхангай,2013,607.6
"Арьс, мян.шир",    Өвөрхангай,2012,341.8
"Арьс, мян.шир",    Өвөрхангай,2011,373.5
"Арьс, мян.шир",    Өвөрхангай,2010,1452.1
"Арьс, мян.шир",    Хөвсгөл,2025,910.562
"Арьс, мян.шир",    Хөвсгөл,2024,990.6
"Арьс, мян.шир",    Хөвсгөл,2023,1238.5
"Арьс, мян.шир",    Хөвсгөл,2022,975.0
"Арьс, мян.шир",    Хөвсгөл,2021,924.2
"Арьс, мян.шир",    Хөвсгөл,2020,1189.4
"Арьс, мян.шир",    Хөвсгөл,2019,922.5
"Арьс, мян.шир",    Хөвсгөл,2018,1179.8
"Арьс, мян.шир",    Хөвсгөл,2017,806.9
"Арьс, мян.шир",    Хөвсгөл,2016,787.1
"Арьс, мян.шир",    Хөвсгөл,2015,987.2
"Арьс, мян.шир",    Хөвсгөл,2014,800.27
"Арьс, мян.шир",    Хөвсгөл,2013,1073.8
"Арьс, мян.шир",    Хөвсгөл,2012,806.8
"Арьс, мян.шир",    Хөвсгөл,2011,793.3
"Арьс, мян.шир",    Хөвсгөл,2010,1536.1
"Арьс, мян.шир",    Орхон,2025,49.918
"Арьс, мян.шир",    Орхон,2024,35.5
"Арьс, мян.шир",    Орхон,2023,36.4
"Арьс, мян.шир",    Орхон,2022,29.8
"Арьс, мян.шир",    Орхон,2021,25.8
"Арьс, мян.шир",    Орхон,2020,23.1
"Арьс, мян.шир",    Орхон,2019,23.0
"Арьс, мян.шир",    Орхон,2018,32.7
"Арьс, мян.шир",    Орхон,2017,35.5
"Арьс, мян.шир",    Орхон,2016,26.9
"Арьс, мян.шир",    Орхон,2015,42.4
"Арьс, мян.шир",    Орхон,2014,95.9
"Арьс, мян.шир",    Орхон,2013,82.3
"Арьс, мян.шир",    Орхон,2012,49.9
"Арьс, мян.шир",    Орхон,2011,64.4
"Арьс, мян.шир",    Орхон,2010,144.1
"Арьс, мян.шир",Төвийн бүс,2025,2958.041
"Арьс, мян.шир",Төвийн бүс,2024,2665.1
"Арьс, мян.шир",Төвийн бүс,2023,3468.8
"Арьс, мян.шир",Төвийн бүс,2022,2952.9
"Арьс, мян.шир",Төвийн бүс,2021,3133.3
"Арьс, мян.шир",Төвийн бүс,2020,3307.9
"Арьс, мян.шир",Төвийн бүс,2019,2414.1
"Арьс, мян.шир",Төвийн бүс,2018,3498.0
"Арьс, мян.шир",Төвийн бүс,2017,2873.4
"Арьс, мян.шир",Төвийн бүс,2016,2896.0
"Арьс, мян.шир",Төвийн бүс,2015,3195.8
"Арьс, мян.шир",Төвийн бүс,2014,2358.62
"Арьс, мян.шир",Төвийн бүс,2013,2510.3
"Арьс, мян.шир",Төвийн бүс,2012,2066.7
"Арьс, мян.шир",Төвийн бүс,2011,2048.7
"Арьс, мян.шир",Төвийн бүс,2010,4056.0
"Арьс, мян.шир",    Дорноговь,2025,223.459
"Арьс, мян.шир",    Дорноговь,2024,365.2
"Арьс, мян.шир",    Дорноговь,2023,595.0
"Арьс, мян.шир",    Дорноговь,2022,408.9
"Арьс, мян.шир",    Дорноговь,2021,384.9
"Арьс, мян.шир",    Дорноговь,2020,381.4
"Арьс, мян.шир",    Дорноговь,2019,291.0
"Арьс, мян.шир",    Дорноговь,2018,444.9
"Арьс, мян.шир",    Дорноговь,2017,312.6
"Арьс, мян.шир",    Дорноговь,2016,403.7
"Арьс, мян.шир",    Дорноговь,2015,399.7
"Арьс, мян.шир",    Дорноговь,2014,352.48
"Арьс, мян.шир",    Дорноговь,2013,306.4
"Арьс, мян.шир",    Дорноговь,2012,274.1
"Арьс, мян.шир",    Дорноговь,2011,241.4
"Арьс, мян.шир",    Дорноговь,2010,286.1
"Арьс, мян.шир",    Дундговь,2025,714.377
"Арьс, мян.шир",    Дундговь,2024,563.0
"Арьс, мян.шир",    Дундговь,2023,734.0
