Type,Year,value
"Meat, slaughter weight",1992,251.2
"Meat, slaughter weight",1991,281.2
"Meat, slaughter weight",1990,248.9
"Meat, slaughter weight",1989,239.6
"Meat, slaughter weight",1988,225.3
"Meat, slaughter weight",1987,235.3
"Meat, slaughter weight",1986,240.3
"Meat, slaughter weight",1985,225.9
"Meat, slaughter weight",1984,233.4
"Meat, slaughter weight",1983,230.3
"Meat, slaughter weight",1982,234.2
"Meat, slaughter weight",1981,235.7
"Meat, slaughter weight",1980,226.8
"Meat, slaughter weight",1979,237.1
"Meat, slaughter weight",1978,243.4
"Meat, slaughter weight",1977,205.7
"Meat, slaughter weight",1976,225.5
"Meat, slaughter weight",1975,234.6
"Meat, slaughter weight",1974,215.5
"Meat, slaughter weight",1973,188.9
"Meat, slaughter weight",1972,197.8
"Meat, slaughter weight",1971,176.1
"Meat, slaughter weight",1970,179.8
"Meat, slaughter weight",1969,180.7
"Meat, slaughter weight",1968,163.3
"Meat, slaughter weight",1967,183.1
"Meat, slaughter weight",1966,171.1
"Meat, slaughter weight",1965,169.0
"Meat, slaughter weight",1964,141.6
"Meat, slaughter weight",1963,146.1
"Meat, slaughter weight",1962,168.2
"Meat, slaughter weight",1961,186.1
"Meat, slaughter weight",1960,184.5
"Meat, slaughter weight",1950,157.3
"Meat, slaughter weight",1940,111.0
 Beef,1992,75.7
 Beef,1991,83.8
 Beef,1990,66.2
 Beef,1989,72.8
 Beef,1988,73.3
 Beef,1987,72.7
 Beef,1986,75.3
 Beef,1985,68.1
 Beef,1984,68.2
 Beef,1983,68.1
 Beef,1982,65.5
 Beef,1981,69.9
 Beef,1980,70.6
 Beef,1979,75.2
 Beef,1978,70.7
 Beef,1977,62.5
 Beef,1976,68.2
 Beef,1975,60.6
 Beef,1974,59.1
 Beef,1973,55.7
 Beef,1972,65.1
 Beef,1971,51.5
 Beef,1970,51.7
 Beef,1969,54.2
 Beef,1968,52.0
 Beef,1967,57.8
 Beef,1966,53.1
 Beef,1965,47.7
 Beef,1964,42.6
 Beef,1963,40.6
 Beef,1962,46.8
 Beef,1961,62.5
 Beef,1960,62.3
 Beef,1950,48.7
 Beef,1940,38.8
 Pork,1992,1.8
 Pork,1991,3.8
 Pork,1990,7.9
 Pork,1989,5.5
 Pork,1988,4.0
 Pork,1987,3.1
 Pork,1986,2.4
 Pork,1985,2.2
 Pork,1984,1.9
 Pork,1983,1.5
 Pork,1982,1.3
 Pork,1981,1.4
 Pork,1980,1.0
 Pork,1979,0.9
 Pork,1978,0.6
 Pork,1977,0.4
 Pork,1976,0.5
 Pork,1975,0.6
 Pork,1974,0.5
 Pork,1973,0.5
 Pork,1972,0.4
 Pork,1971,0.4
 Pork,1970,0.3
 Pork,1969,0.4
 Pork,1968,0.4
 Pork,1967,0.3
 Pork,1966,0.5
 Pork,1965,0.5
 Pork,1964,0.3
 Pork,1963,0.3
 Pork,1962,0.1
 Pork,1961,0.4
 Pork,1960,0.2
 Pork,1950,
 Pork,1940,
 Mutton and goat meat,1992,116.3
 Mutton and goat meat,1991,135.9
 Mutton and goat meat,1990,132.3
 Mutton and goat meat,1989,121.9
 Mutton and goat meat,1988,112.4
 Mutton and goat meat,1987,120.8
 Mutton and goat meat,1986,132.8
 Mutton and goat meat,1985,116.2
 Mutton and goat meat,1984,126.3
 Mutton and goat meat,1983,123.7
 Mutton and goat meat,1982,132.0
 Mutton and goat meat,1981,126.8
 Mutton and goat meat,1980,115.8
 Mutton and goat meat,1979,118.1
 Mutton and goat meat,1978,120.6
 Mutton and goat meat,1977,96.7
 Mutton and goat meat,1976,116.9
 Mutton and goat meat,1975,132.1
 Mutton and goat meat,1974,116.2
 Mutton and goat meat,1973,98.9
 Mutton and goat meat,1972,99.6
 Mutton and goat meat,1971,94.4
 Mutton and goat meat,1970,95.8
 Mutton and goat meat,1969,92.6
 Mutton and goat meat,1968,86.5
 Mutton and goat meat,1967,98.4
 Mutton and goat meat,1966,93.1
 Mutton and goat meat,1965,95.5
 Mutton and goat meat,1964,78.3
 Mutton and goat meat,1963,80.7
 Mutton and goat meat,1962,80.4
 Mutton and goat meat,1961,91.9
 Mutton and goat meat,1960,96.2
 Mutton and goat meat,1950,76.4
 Mutton and goat meat,1940,69.1
 Sheeps wool,1992,21.0
 Sheeps wool,1991,21.5
 Sheeps wool,1990,21.1
 Sheeps wool,1989,19.4
 Sheeps wool,1988,18.7
 Sheeps wool,1987,18.0
 Sheeps wool,1986,18.9
 Sheeps wool,1985,18.9
 Sheeps wool,1984,19.5
 Sheeps wool,1983,20.2
 Sheeps wool,1982,21.4
 Sheeps wool,1981,20.9
 Sheeps wool,1980,20.1
 Sheeps wool,1979,20.5
 Sheeps wool,1978,19.5
 Sheeps wool,1977,18.8
 Sheeps wool,1976,19.6
 Sheeps wool,1975,21.1
 Sheeps wool,1974,21.1
 Sheeps wool,1973,20.1
 Sheeps wool,1972,19.0
 Sheeps wool,1971,19.6
 Sheeps wool,1970,19.0
 Sheeps wool,1969,17.4
 Sheeps wool,1968,16.9
 Sheeps wool,1967,18.0
 Sheeps wool,1966,18.7
 Sheeps wool,1965,18.7
 Sheeps wool,1964,18.0
 Sheeps wool,1963,16.8
 Sheeps wool,1962,15.6
 Sheeps wool,1961,14.8
 Sheeps wool,1960,15.2
 Sheeps wool,1950,15.0
 Sheeps wool,1940,18.4
