Төрөл,Он,value
"Мах, нядалгааны жингээр-бүгд",1992,251.2
"Мах, нядалгааны жингээр-бүгд",1991,281.2
"Мах, нядалгааны жингээр-бүгд",1990,248.9
"Мах, нядалгааны жингээр-бүгд",1989,239.6
"Мах, нядалгааны жингээр-бүгд",1988,225.3
"Мах, нядалгааны жингээр-бүгд",1987,235.3
"Мах, нядалгааны жингээр-бүгд",1986,240.3
"Мах, нядалгааны жингээр-бүгд",1985,225.9
"Мах, нядалгааны жингээр-бүгд",1984,233.4
"Мах, нядалгааны жингээр-бүгд",1983,230.3
"Мах, нядалгааны жингээр-бүгд",1982,234.2
"Мах, нядалгааны жингээр-бүгд",1981,235.7
"Мах, нядалгааны жингээр-бүгд",1980,226.8
"Мах, нядалгааны жингээр-бүгд",1979,237.1
"Мах, нядалгааны жингээр-бүгд",1978,243.4
"Мах, нядалгааны жингээр-бүгд",1977,205.7
"Мах, нядалгааны жингээр-бүгд",1976,225.5
"Мах, нядалгааны жингээр-бүгд",1975,234.6
"Мах, нядалгааны жингээр-бүгд",1974,215.5
"Мах, нядалгааны жингээр-бүгд",1973,188.9
"Мах, нядалгааны жингээр-бүгд",1972,197.8
"Мах, нядалгааны жингээр-бүгд",1971,176.1
"Мах, нядалгааны жингээр-бүгд",1970,179.8
"Мах, нядалгааны жингээр-бүгд",1969,180.7
"Мах, нядалгааны жингээр-бүгд",1968,163.3
"Мах, нядалгааны жингээр-бүгд",1967,183.1
"Мах, нядалгааны жингээр-бүгд",1966,171.1
"Мах, нядалгааны жингээр-бүгд",1965,169.0
"Мах, нядалгааны жингээр-бүгд",1964,141.6
"Мах, нядалгааны жингээр-бүгд",1963,146.1
"Мах, нядалгааны жингээр-бүгд",1962,168.2
"Мах, нядалгааны жингээр-бүгд",1961,186.1
"Мах, нядалгааны жингээр-бүгд",1960,184.5
"Мах, нядалгааны жингээр-бүгд",1950,157.3
"Мах, нядалгааны жингээр-бүгд",1940,111.0
Үхрийн мах,1992,75.7
Үхрийн мах,1991,83.8
Үхрийн мах,1990,66.2
Үхрийн мах,1989,72.8
Үхрийн мах,1988,73.3
Үхрийн мах,1987,72.7
Үхрийн мах,1986,75.3
Үхрийн мах,1985,68.1
Үхрийн мах,1984,68.2
Үхрийн мах,1983,68.1
Үхрийн мах,1982,65.5
Үхрийн мах,1981,69.9
Үхрийн мах,1980,70.6
Үхрийн мах,1979,75.2
Үхрийн мах,1978,70.7
Үхрийн мах,1977,62.5
Үхрийн мах,1976,68.2
Үхрийн мах,1975,60.6
Үхрийн мах,1974,59.1
Үхрийн мах,1973,55.7
Үхрийн мах,1972,65.1
Үхрийн мах,1971,51.5
Үхрийн мах,1970,51.7
Үхрийн мах,1969,54.2
Үхрийн мах,1968,52.0
Үхрийн мах,1967,57.8
Үхрийн мах,1966,53.1
Үхрийн мах,1965,47.7
Үхрийн мах,1964,42.6
Үхрийн мах,1963,40.6
Үхрийн мах,1962,46.8
Үхрийн мах,1961,62.5
Үхрийн мах,1960,62.3
Үхрийн мах,1950,48.7
Үхрийн мах,1940,38.8
Гахайн мах,1992,1.8
Гахайн мах,1991,3.8
Гахайн мах,1990,7.9
Гахайн мах,1989,5.5
Гахайн мах,1988,4.0
Гахайн мах,1987,3.1
Гахайн мах,1986,2.4
Гахайн мах,1985,2.2
Гахайн мах,1984,1.9
Гахайн мах,1983,1.5
Гахайн мах,1982,1.3
Гахайн мах,1981,1.4
Гахайн мах,1980,1.0
Гахайн мах,1979,0.9
Гахайн мах,1978,0.6
Гахайн мах,1977,0.4
Гахайн мах,1976,0.5
