Indicator,Region,Year,value
"Hide, thousand.pcs",Total,2024,16312.5
"Hide, thousand.pcs",Total,2023,22676.1
"Hide, thousand.pcs",Total,2022,21707.0
"Hide, thousand.pcs",Total,2021,18312.7
"Hide, thousand.pcs",Total,2020,25946.7
"Hide, thousand.pcs",Total,2019,16164.2
"Hide, thousand.pcs",Total,2018,14874.0
"Hide, thousand.pcs",Total,2017,12122.4
"Hide, thousand.pcs",Total,2016,11295.9
"Hide, thousand.pcs",Total,2015,12877.6
"Hide, thousand.pcs",Total,2014,10217.9
"Hide, thousand.pcs",Total,2013,10894.5
"Hide, thousand.pcs",Total,2012,8766.5
"Hide, thousand.pcs",Total,2011,8743.8
"Hide, thousand.pcs",Total,2010,16778.3
"Hide, thousand.pcs", Western region,2024,3289.7
"Hide, thousand.pcs", Western region,2023,4479.9
"Hide, thousand.pcs", Western region,2022,5866.9
"Hide, thousand.pcs", Western region,2021,3958.4
"Hide, thousand.pcs", Western region,2020,5445.2
"Hide, thousand.pcs", Western region,2019,3818.7
"Hide, thousand.pcs", Western region,2018,4031.5
"Hide, thousand.pcs", Western region,2017,3219.2
"Hide, thousand.pcs", Western region,2016,2587.0
"Hide, thousand.pcs", Western region,2015,3077.4
"Hide, thousand.pcs", Western region,2014,2485.5
"Hide, thousand.pcs", Western region,2013,2485.4
"Hide, thousand.pcs", Western region,2012,1982.4
"Hide, thousand.pcs", Western region,2011,1868.0
"Hide, thousand.pcs", Western region,2010,4415.3
"Hide, thousand.pcs", Bayan-Ulgii,2024,562.9
"Hide, thousand.pcs", Bayan-Ulgii,2023,756.0
"Hide, thousand.pcs", Bayan-Ulgii,2022,945.6
"Hide, thousand.pcs", Bayan-Ulgii,2021,640.7
"Hide, thousand.pcs", Bayan-Ulgii,2020,769.4
"Hide, thousand.pcs", Bayan-Ulgii,2019,650.6
"Hide, thousand.pcs", Bayan-Ulgii,2018,664.0
"Hide, thousand.pcs", Bayan-Ulgii,2017,601.5
"Hide, thousand.pcs", Bayan-Ulgii,2016,551.4
