огноо,хадгаламжийн_хүү_хувь
2008-12-01,13.56
2009-03-01,13.5
2009-06-01,13.17
2009-09-01,13.2
2009-12-01,12.9
2010-03-01,12.35
2010-06-01,11.86
2010-09-01,11.81
2010-12-01,10.71
2011-01-01,10.74
2011-02-01,10.6
2011-03-01,10.51
2011-04-01,10.65
2011-05-01,10.45
2011-06-01,10.33
2011-07-01,10.4
2011-08-01,10.35
2011-09-01,10.25
2011-10-01,10.39
2011-11-01,10.5
2011-12-01,10.54
2012-01-01,10.77
2012-02-01,10.84
2012-03-01,10.84
2012-04-01,10.96
2012-05-01,11.16
2012-06-01,11.02
2012-07-01,11.24
2012-08-01,11.39
2012-09-01,11.5
2012-10-01,11.79
2012-11-01,12.03
2012-12-01,11.75
2013-01-01,11.74
2013-02-01,11.46
2013-03-01,12.28
2013-04-01,12.06
2013-05-01,12.2
2013-06-01,12.1
2013-07-01,11.8
2013-08-01,12.2
2013-09-01,12.1
2013-10-01,12.2
2013-11-01,12.3
2013-12-01,12.1
2014-01-01,12.2
2014-02-01,12.2
2014-03-01,12.2
2014-04-01,12.2
2014-05-01,12.23
2014-06-01,12.24
2014-07-01,12.2
2014-08-01,12.2
2014-09-01,12.29
2014-10-01,12.64
2014-11-01,12.68
2014-12-01,12.5
2015-01-01,12.73
2015-02-01,12.79
2015-03-01,12.85
2015-04-01,12.87
2015-05-01,12.79
2015-06-01,12.91
2015-07-01,12.88
2015-08-01,13.01
2015-09-01,13.08
2015-10-01,13.26
2015-11-01,13.26
2015-12-01,13.3
2016-01-01,13.47
2016-02-01,13.51
2016-03-01,13.3
2016-04-01,13.4
2016-05-01,13.25
2016-06-01,13.25
2016-07-01,13.17
2016-08-01,13.12
2016-09-01,13.17
2016-10-01,13.28
2016-11-01,13.28
2016-12-01,13.07
2017-01-01,13.4
2017-02-01,13.28
2017-03-01,12.99
2017-04-01,12.97
2017-05-01,12.81
2017-06-01,12.9
2017-07-01,12.76
2017-08-01,12.54
2017-09-01,12.95
2017-10-01,13.07
2017-11-01,12.98
2017-12-01,12.87
2018-01-01,12.61
2018-02-01,12.92
2018-03-01,12.76
2018-04-01,12.76
2018-05-01,12.58
2018-06-01,12.28
2018-07-01,12.26
2018-08-01,12.29
2018-09-01,10.24
2018-10-01,12.27
2018-11-01,12.18
2018-12-01,11.97
2019-01-01,12.11
2019-02-01,12.01
2019-03-01,12.06
2019-04-01,11.83
2019-05-01,11.65
2019-06-01,11.48
2019-07-01,11.44
2019-08-01,11.42
2019-09-01,11.46
2019-10-01,11.48
2019-11-01,11.49
2019-12-01,11.29
2020-01-01,11.42
2020-02-01,11.33
2020-03-01,11.4
2020-04-01,11.32
2020-05-01,11.2
2020-06-01,10.96
2020-07-01,10.91
2020-08-01,10.84
2020-09-01,10.8
2020-10-01,10.6
2020-11-01,10.6
2020-12-01,10.2
2021-01-01,9.8
2021-02-01,8.6
2021-03-01,7.9
2021-04-01,8.0
2021-05-01,7.82
2021-06-01,7.58
2021-07-01,7.42
2021-08-01,7.26
2021-09-01,7.24
2021-10-01,7.19
2021-11-01,7.13
2021-12-01,7.04
2022-01-01,7.14
2022-02-01,7.21
2022-03-01,7.23
2022-04-01,7.19
2022-05-01,7.09
2022-06-01,7.25
2022-07-01,7.54
2022-08-01,7.73
2022-09-01,7.89
2022-10-01,8.45
2022-11-01,8.8
2022-12-01,9.04
2023-01-01,10.25
2023-02-01,10.38
2023-03-01,10.55
2023-04-01,10.65
2023-05-01,10.74
2023-06-01,10.89
2023-07-01,10.99
2023-08-01,11.16
2023-09-01,11.27
2023-10-01,11.34
2023-11-01,11.45
2023-12-01,11.35
2024-01-01,11.6
2024-02-01,11.63
2024-03-01,11.76
2024-04-01,11.71
2024-05-01,11.73
2024-06-01,11.63
2024-07-01,11.62
2024-08-01,11.68
2024-09-01,11.76
2024-10-01,11.85
2024-11-01,11.9
2024-12-01,11.8
2025-01-01,11.83
2025-02-01,11.83
2025-03-01,11.82
2025-04-01,11.84
2025-05-01,11.83
2025-06-01,11.79
2025-07-01,11.78
2025-08-01,11.87
2025-09-01,11.86
2025-10-01,11.89
2025-11-01,11.92
2025-12-01,11.89
2026-01-01,12.02
