Currency,Year,Rate (MNT)
US Dollar,1993,295.26
Japanese Yen,1993,3.55
US Dollar,1994,409.25
Chinese Yuan,1994,48.6
Russian Ruble,1994,0.12
Japanese Yen,1994,4.12
US Dollar,1995,447.62
Chinese Yuan,1995,56.94
Russian Ruble,1995,0.1
Japanese Yen,1995,4.63
US Dollar,1996,543.18
Chinese Yuan,1996,72.71
Russian Ruble,1996,0.11
Japanese Yen,1996,5.42
South Korean Won,1996,0.74
US Dollar,1997,789.73
Chinese Yuan,1997,95.78
Russian Ruble,1997,0.14
Japanese Yen,1997,6.56
South Korean Won,1997,0.84
US Dollar,1998,840.1
Chinese Yuan,1998,101.92
Russian Ruble,1998,101.59
Japanese Yen,1998,6.47
South Korean Won,1998,0.61
US Dollar,1999,1021.78
Euro,1999,1090.05
Chinese Yuan,1999,123.06
Russian Ruble,1999,41.28
Japanese Yen,1999,9.1
South Korean Won,1999,0.86
US Dollar,2000,1076.44
Euro,2000,991.41
Chinese Yuan,2000,130.22
Russian Ruble,2000,38.3
Japanese Yen,2000,9.97
South Korean Won,2000,0.95
US Dollar,2001,1097.65
Euro,2001,980.21
Chinese Yuan,2001,132.64
Russian Ruble,2001,37.52
Japanese Yen,2001,9.02
South Korean Won,2001,0.85
US Dollar,2002,1110.31
Euro,2002,1054.87
Chinese Yuan,2002,134.24
Russian Ruble,2002,35.38
Japanese Yen,2002,8.9
South Korean Won,2002,0.89
US Dollar,2003,1146.54
Euro,2003,1300.57
Chinese Yuan,2003,138.76
Russian Ruble,2003,37.55
Japanese Yen,2003,9.96
South Korean Won,2003,0.96
US Dollar,2004,1185.3
Euro,2004,1477.72
Chinese Yuan,2004,143.37
Russian Ruble,2004,41.29
Japanese Yen,2004,10.99
South Korean Won,2004,1.04
US Dollar,2005,1205.25
Euro,2005,1495.21
Chinese Yuan,2005,147.3
Russian Ruble,2005,42.55
Japanese Yen,2005,10.91
South Korean Won,2005,1.18
US Dollar,2006,1179.7
Euro,2006,1484.14
Chinese Yuan,2006,147.88
Russian Ruble,2006,43.48
Japanese Yen,2006,10.13
South Korean Won,2006,1.24
US Dollar,2007,1170.96
Euro,2007,1613.11
Chinese Yuan,2007,154.37
Russian Ruble,2007,45.94
Japanese Yen,2007,9.97
South Korean Won,2007,1.26
US Dollar,2008,1165.8
Euro,2008,1728.53
Chinese Yuan,2008,168.84
Russian Ruble,2008,47.1
Japanese Yen,2008,11.4
South Korean Won,2008,1.08
US Dollar,2009,1437.24
Euro,2009,2005.63
Chinese Yuan,2009,210.88
Russian Ruble,2009,45.27
Japanese Yen,2009,15.47
South Korean Won,2009,1.13
US Dollar,2010,1347.17
Euro,2010,1780.7
Chinese Yuan,2010,199.17
Russian Ruble,2010,44.37
Japanese Yen,2010,15.44
South Korean Won,2010,1.16
US Dollar,2011,1265.52
Euro,2011,1761.1
Chinese Yuan,2011,195.88
Russian Ruble,2011,43.1
Japanese Yen,2011,15.89
South Korean Won,2011,1.14
US Dollar,2012,1359.24
Euro,2012,1748.47
Chinese Yuan,2012,215.47
Russian Ruble,2012,43.79
Japanese Yen,2012,17.05
South Korean Won,2012,1.21
US Dollar,2013,1523.93
Euro,2013,2026.36
Chinese Yuan,2013,248.03
Russian Ruble,2013,47.78
Japanese Yen,2013,15.62
South Korean Won,2013,1.39
US Dollar,2014,1817.94
Euro,2014,2414.81
Chinese Yuan,2014,295.08
Russian Ruble,2014,48.1
Japanese Yen,2014,17.21
South Korean Won,2014,1.73
US Dollar,2015,1970.31
Euro,2015,2187.69
Chinese Yuan,2015,313.53
Russian Ruble,2015,32.45
Japanese Yen,2015,16.29
South Korean Won,2015,1.74
US Dollar,2016,2145.53
Euro,2016,2372.32
Chinese Yuan,2016,322.7
Russian Ruble,2016,32.26
Japanese Yen,2016,19.79
South Korean Won,2016,1.85
US Dollar,2017,2439.78
Euro,2017,2755.73
Chinese Yuan,2017,361.13
Russian Ruble,2017,41.86
Japanese Yen,2017,21.76
South Korean Won,2017,2.16
US Dollar,2018,2472.48
Euro,2018,2919.4
Chinese Yuan,2018,373.93
Russian Ruble,2018,39.51
Japanese Yen,2018,22.39
South Korean Won,2018,2.25
US Dollar,2019,2663.54
Euro,2019,2982.51
Chinese Yuan,2019,385.7
Russian Ruble,2019,41.19
Japanese Yen,2019,24.44
South Korean Won,2019,2.29
US Dollar,2020,2813.29
Euro,2020,3212.67
Chinese Yuan,2020,407.98
Russian Ruble,2020,39.09
Japanese Yen,2020,26.37
South Korean Won,2020,2.39
US Dollar,2021,2849.29
Euro,2021,3371.59
Chinese Yuan,2021,441.73
Russian Ruble,2021,38.7
Japanese Yen,2021,25.97
South Korean Won,2021,2.49
US Dollar,2022,3140.68
Euro,2022,3303.91
Chinese Yuan,2022,466.3
Russian Ruble,2022,47.32
Japanese Yen,2022,23.94
South Korean Won,2022,2.43
US Dollar,2023,3465.74
Euro,2023,3749.39
Chinese Yuan,2023,489.83
Russian Ruble,2023,41.13
Japanese Yen,2023,24.73
South Korean Won,2023,2.65
US Dollar,2024,3389.98
Euro,2024,3667.77
Chinese Yuan,2024,471.06
Russian Ruble,2024,36.68
Japanese Yen,2024,22.41
South Korean Won,2024,2.49
US Dollar,2025,3545.14
Euro,2025,4008.82
Chinese Yuan,2025,493.25
Russian Ruble,2025,42.66
Japanese Yen,2025,23.72
South Korean Won,2025,2.5
US Dollar,2026,3575.12
Euro,2026,4157.14
Chinese Yuan,2026,522.98
Russian Ruble,2026,46.15
Japanese Yen,2026,22.52
South Korean Won,2026,2.43
