Валют,Жил,Ханш (₮)
АНУ-ын доллар,1993,295.26
Японы иен,1993,3.55
АНУ-ын доллар,1994,409.25
Хятадын юань,1994,48.6
Оросын рубль,1994,0.12
Японы иен,1994,4.12
АНУ-ын доллар,1995,447.62
Хятадын юань,1995,56.94
Оросын рубль,1995,0.1
Японы иен,1995,4.63
АНУ-ын доллар,1996,543.18
Хятадын юань,1996,72.71
Оросын рубль,1996,0.11
Японы иен,1996,5.42
БНСУ-ын вон,1996,0.74
АНУ-ын доллар,1997,789.73
Хятадын юань,1997,95.78
Оросын рубль,1997,0.14
Японы иен,1997,6.56
БНСУ-ын вон,1997,0.84
АНУ-ын доллар,1998,840.1
Хятадын юань,1998,101.92
Оросын рубль,1998,101.59
Японы иен,1998,6.47
БНСУ-ын вон,1998,0.61
АНУ-ын доллар,1999,1021.78
Евро,1999,1090.05
Хятадын юань,1999,123.06
Оросын рубль,1999,41.28
Японы иен,1999,9.1
БНСУ-ын вон,1999,0.86
АНУ-ын доллар,2000,1076.44
Евро,2000,991.41
Хятадын юань,2000,130.22
Оросын рубль,2000,38.3
Японы иен,2000,9.97
БНСУ-ын вон,2000,0.95
АНУ-ын доллар,2001,1097.65
Евро,2001,980.21
Хятадын юань,2001,132.64
Оросын рубль,2001,37.52
Японы иен,2001,9.02
БНСУ-ын вон,2001,0.85
АНУ-ын доллар,2002,1110.31
Евро,2002,1054.87
Хятадын юань,2002,134.24
Оросын рубль,2002,35.38
Японы иен,2002,8.9
БНСУ-ын вон,2002,0.89
АНУ-ын доллар,2003,1146.54
Евро,2003,1300.57
Хятадын юань,2003,138.76
Оросын рубль,2003,37.55
Японы иен,2003,9.96
БНСУ-ын вон,2003,0.96
АНУ-ын доллар,2004,1185.3
Евро,2004,1477.72
Хятадын юань,2004,143.37
Оросын рубль,2004,41.29
Японы иен,2004,10.99
БНСУ-ын вон,2004,1.04
АНУ-ын доллар,2005,1205.25
Евро,2005,1495.21
Хятадын юань,2005,147.3
Оросын рубль,2005,42.55
Японы иен,2005,10.91
БНСУ-ын вон,2005,1.18
АНУ-ын доллар,2006,1179.7
Евро,2006,1484.14
Хятадын юань,2006,147.88
Оросын рубль,2006,43.48
Японы иен,2006,10.13
БНСУ-ын вон,2006,1.24
АНУ-ын доллар,2007,1170.96
Евро,2007,1613.11
Хятадын юань,2007,154.37
Оросын рубль,2007,45.94
Японы иен,2007,9.97
БНСУ-ын вон,2007,1.26
АНУ-ын доллар,2008,1165.8
Евро,2008,1728.53
Хятадын юань,2008,168.84
Оросын рубль,2008,47.1
Японы иен,2008,11.4
БНСУ-ын вон,2008,1.08
АНУ-ын доллар,2009,1437.24
Евро,2009,2005.63
Хятадын юань,2009,210.88
Оросын рубль,2009,45.27
Японы иен,2009,15.47
БНСУ-ын вон,2009,1.13
АНУ-ын доллар,2010,1347.17
Евро,2010,1780.7
Хятадын юань,2010,199.17
Оросын рубль,2010,44.37
Японы иен,2010,15.44
БНСУ-ын вон,2010,1.16
АНУ-ын доллар,2011,1265.52
Евро,2011,1761.1
Хятадын юань,2011,195.88
Оросын рубль,2011,43.1
Японы иен,2011,15.89
БНСУ-ын вон,2011,1.14
АНУ-ын доллар,2012,1359.24
Евро,2012,1748.47
Хятадын юань,2012,215.47
Оросын рубль,2012,43.79
Японы иен,2012,17.05
БНСУ-ын вон,2012,1.21
АНУ-ын доллар,2013,1523.93
Евро,2013,2026.36
Хятадын юань,2013,248.03
Оросын рубль,2013,47.78
Японы иен,2013,15.62
БНСУ-ын вон,2013,1.39
АНУ-ын доллар,2014,1817.94
Евро,2014,2414.81
Хятадын юань,2014,295.08
Оросын рубль,2014,48.1
Японы иен,2014,17.21
БНСУ-ын вон,2014,1.73
АНУ-ын доллар,2015,1970.31
Евро,2015,2187.69
Хятадын юань,2015,313.53
Оросын рубль,2015,32.45
Японы иен,2015,16.29
БНСУ-ын вон,2015,1.74
АНУ-ын доллар,2016,2145.53
Евро,2016,2372.32
Хятадын юань,2016,322.7
Оросын рубль,2016,32.26
Японы иен,2016,19.79
БНСУ-ын вон,2016,1.85
АНУ-ын доллар,2017,2439.78
Евро,2017,2755.73
Хятадын юань,2017,361.13
Оросын рубль,2017,41.86
Японы иен,2017,21.76
БНСУ-ын вон,2017,2.16
АНУ-ын доллар,2018,2472.48
Евро,2018,2919.4
Хятадын юань,2018,373.93
Оросын рубль,2018,39.51
Японы иен,2018,22.39
БНСУ-ын вон,2018,2.25
АНУ-ын доллар,2019,2663.54
Евро,2019,2982.51
Хятадын юань,2019,385.7
Оросын рубль,2019,41.19
Японы иен,2019,24.44
БНСУ-ын вон,2019,2.29
АНУ-ын доллар,2020,2813.29
Евро,2020,3212.67
Хятадын юань,2020,407.98
Оросын рубль,2020,39.09
Японы иен,2020,26.37
БНСУ-ын вон,2020,2.39
АНУ-ын доллар,2021,2849.29
Евро,2021,3371.59
Хятадын юань,2021,441.73
Оросын рубль,2021,38.7
Японы иен,2021,25.97
БНСУ-ын вон,2021,2.49
АНУ-ын доллар,2022,3140.68
Евро,2022,3303.91
Хятадын юань,2022,466.3
Оросын рубль,2022,47.32
Японы иен,2022,23.94
БНСУ-ын вон,2022,2.43
АНУ-ын доллар,2023,3465.74
Евро,2023,3749.39
Хятадын юань,2023,489.83
Оросын рубль,2023,41.13
Японы иен,2023,24.73
БНСУ-ын вон,2023,2.65
АНУ-ын доллар,2024,3389.98
Евро,2024,3667.77
Хятадын юань,2024,471.06
Оросын рубль,2024,36.68
Японы иен,2024,22.41
БНСУ-ын вон,2024,2.49
АНУ-ын доллар,2025,3545.14
Евро,2025,4008.82
Хятадын юань,2025,493.25
Оросын рубль,2025,42.66
Японы иен,2025,23.72
БНСУ-ын вон,2025,2.5
АНУ-ын доллар,2026,3575.12
Евро,2026,4157.14
Хятадын юань,2026,522.98
Оросын рубль,2026,46.15
Японы иен,2026,22.52
БНСУ-ын вон,2026,2.43
