огноо,валютын_код,валютын_нэр,ханш_төгрөг
2020-01-01,CNY,Хятад юань,392.39
2020-01-01,EUR,Евро,3063.54
2020-01-01,JPY,Японы иен,25.17
2020-01-01,KRW,Солонгосын вон,2.37
2020-01-01,RUB,Оросын рубль,44.06
2020-01-01,USD,Америк доллар,2734.33
2020-01-02,CNY,Хятад юань,392.55
2020-01-02,EUR,Евро,3065.85
2020-01-02,JPY,Японы иен,25.14
2020-01-02,KRW,Солонгосын вон,2.36
2020-01-02,RUB,Оросын рубль,44.24
2020-01-02,USD,Америк доллар,2734.92
2020-01-03,CNY,Хятад юань,392.29
2020-01-03,EUR,Евро,3051.46
2020-01-03,JPY,Японы иен,25.35
2020-01-03,KRW,Солонгосын вон,2.34
2020-01-03,RUB,Оросын рубль,43.98
2020-01-03,USD,Америк доллар,2735.88
2020-01-04,CNY,Хятад юань,392.29
2020-01-04,EUR,Евро,3051.46
2020-01-04,JPY,Японы иен,25.35
2020-01-04,KRW,Солонгосын вон,2.34
2020-01-04,RUB,Оросын рубль,43.98
2020-01-04,USD,Америк доллар,2735.88
2020-01-05,CNY,Хятад юань,392.29
2020-01-05,EUR,Евро,3051.46
2020-01-05,JPY,Японы иен,25.35
2020-01-05,KRW,Солонгосын вон,2.34
2020-01-05,RUB,Оросын рубль,43.98
2020-01-05,USD,Америк доллар,2735.88
2020-01-06,CNY,Хятад юань,392.34
2020-01-06,EUR,Евро,3055.59
2020-01-06,JPY,Японы иен,25.32
2020-01-06,KRW,Солонгосын вон,2.34
2020-01-06,RUB,Оросын рубль,44.0
2020-01-06,USD,Америк доллар,2736.76
2020-01-07,CNY,Хятад юань,394.14
2020-01-07,EUR,Евро,3059.22
2020-01-07,JPY,Японы иен,25.28
2020-01-07,KRW,Солонгосын вон,2.35
2020-01-07,RUB,Оросын рубль,44.31
2020-01-07,USD,Америк доллар,2737.8
2020-01-08,CNY,Хятад юань,394.51
2020-01-08,EUR,Евро,3052.51
2020-01-08,JPY,Японы иен,25.25
2020-01-08,KRW,Солонгосын вон,2.34
2020-01-08,RUB,Оросын рубль,44.31
2020-01-08,USD,Америк доллар,2737.43
2020-01-09,CNY,Хятад юань,395.29
2020-01-09,EUR,Евро,3044.11
2020-01-09,JPY,Японы иен,25.04
2020-01-09,KRW,Солонгосын вон,2.36
2020-01-09,RUB,Оросын рубль,44.78
2020-01-09,USD,Америк доллар,2738.74
2020-01-10,CNY,Хятад юань,395.12
2020-01-10,EUR,Евро,3042.26
2020-01-10,JPY,Японы иен,25.0
2020-01-10,KRW,Солонгосын вон,2.36
2020-01-10,RUB,Оросын рубль,44.66
2020-01-10,USD,Америк доллар,2738.92
2020-01-11,CNY,Хятад юань,395.12
2020-01-11,EUR,Евро,3042.26
2020-01-11,JPY,Японы иен,25.0
2020-01-11,KRW,Солонгосын вон,2.36
2020-01-11,RUB,Оросын рубль,44.66
2020-01-11,USD,Америк доллар,2738.92
2020-01-12,CNY,Хятад юань,395.12
2020-01-12,EUR,Евро,3042.26
2020-01-12,JPY,Японы иен,25.0
2020-01-12,KRW,Солонгосын вон,2.36
2020-01-12,RUB,Оросын рубль,44.66
2020-01-12,USD,Америк доллар,2738.92
2020-01-13,CNY,Хятад юань,397.34
2020-01-13,EUR,Евро,3049.39
2020-01-13,JPY,Японы иен,25.01
2020-01-13,KRW,Солонгосын вон,2.37
2020-01-13,RUB,Оросын рубль,44.99
2020-01-13,USD,Америк доллар,2741.52
2020-01-14,CNY,Хятад юань,398.51
2020-01-14,EUR,Евро,3055.38
2020-01-14,JPY,Японы иен,24.95
2020-01-14,KRW,Солонгосын вон,2.37
2020-01-14,RUB,Оросын рубль,44.66
2020-01-14,USD,Америк доллар,2742.83
2020-01-15,CNY,Хятад юань,398.21
2020-01-15,EUR,Евро,3050.08
2020-01-15,JPY,Японы иен,24.95
2020-01-15,KRW,Солонгосын вон,2.37
2020-01-15,RUB,Оросын рубль,44.63
2020-01-15,USD,Америк доллар,2742.38
2020-01-16,CNY,Хятад юань,398.45
2020-01-16,EUR,Евро,3060.13
2020-01-16,JPY,Японы иен,24.95
2020-01-16,KRW,Солонгосын вон,2.37
2020-01-16,RUB,Оросын рубль,44.52
2020-01-16,USD,Америк доллар,2744.02
2020-01-17,CNY,Хятад юань,400.42
2020-01-17,EUR,Евро,3058.33
2020-01-17,JPY,Японы иен,24.92
2020-01-17,KRW,Солонгосын вон,2.37
2020-01-17,RUB,Оросын рубль,44.67
2020-01-17,USD,Америк доллар,2746.22
2020-01-18,CNY,Хятад юань,400.42
2020-01-18,EUR,Евро,3058.33
2020-01-18,JPY,Японы иен,24.92
2020-01-18,KRW,Солонгосын вон,2.37
2020-01-18,RUB,Оросын рубль,44.67
2020-01-18,USD,Америк доллар,2746.22
2020-01-19,CNY,Хятад юань,400.42
2020-01-19,EUR,Евро,3058.33
2020-01-19,JPY,Японы иен,24.92
2020-01-19,KRW,Солонгосын вон,2.37
2020-01-19,RUB,Оросын рубль,44.67
2020-01-19,USD,Америк доллар,2746.22
2020-01-20,CNY,Хятад юань,400.66
2020-01-20,EUR,Евро,3048.84
2020-01-20,JPY,Японы иен,24.95
2020-01-20,KRW,Солонгосын вон,2.37
2020-01-20,RUB,Оросын рубль,44.69
2020-01-20,USD,Америк доллар,2747.94
2020-01-21,CNY,Хятад юань,398.08
2020-01-21,EUR,Евро,3046.92
2020-01-21,JPY,Японы иен,24.99
2020-01-21,KRW,Солонгосын вон,2.36
2020-01-21,RUB,Оросын рубль,44.45
2020-01-21,USD,Америк доллар,2748.32
2020-01-22,CNY,Хятад юань,398.26
2020-01-22,EUR,Евро,3046.42
2020-01-22,JPY,Японы иен,24.99
2020-01-22,KRW,Солонгосын вон,2.36
2020-01-22,RUB,Оросын рубль,44.44
2020-01-22,USD,Америк доллар,2748.61
2020-01-23,CNY,Хятад юань,396.68
2020-01-23,EUR,Евро,3048.77
2020-01-23,JPY,Японы иен,25.08
2020-01-23,KRW,Солонгосын вон,2.35
2020-01-23,RUB,Оросын рубль,44.38
2020-01-23,USD,Америк доллар,2749.24
2020-01-24,CNY,Хятад юань,396.35
2020-01-24,EUR,Евро,3039.02
2020-01-24,JPY,Японы иен,25.1
2020-01-24,KRW,Солонгосын вон,2.35
2020-01-24,RUB,Оросын рубль,44.5
2020-01-24,USD,Америк доллар,2749.37
2020-01-25,CNY,Хятад юань,396.35
2020-01-25,EUR,Евро,3039.02
2020-01-25,JPY,Японы иен,25.1
2020-01-25,KRW,Солонгосын вон,2.35
2020-01-25,RUB,Оросын рубль,44.5
2020-01-25,USD,Америк доллар,2749.37
2020-01-26,CNY,Хятад юань,396.35
2020-01-26,EUR,Евро,3039.02
2020-01-26,JPY,Японы иен,25.1
2020-01-26,KRW,Солонгосын вон,2.35
2020-01-26,RUB,Оросын рубль,44.5
2020-01-26,USD,Америк доллар,2749.37
2020-01-27,CNY,Хятад юань,396.49
