огноо,валютын_код,валютын_нэр,ханш_төгрөг
2020-01-01,CNY,Хятад юань,396.2248
2020-01-01,EUR,Евро,3047.7123
2020-01-01,JPY,Японы иен,25.1074
2020-01-01,KRW,Солонгосын вон,2.3529
2020-01-01,RUB,Оросын рубль,44.3581
2020-01-01,USD,Америк доллар,2743.5974
2020-02-01,CNY,Хятад юань,394.1017
2020-02-01,EUR,Евро,3007.9597
2020-02-01,JPY,Японы иен,25.0441
2020-02-01,KRW,Солонгосын вон,2.3083
2020-02-01,RUB,Оросын рубль,43.0979
2020-02-01,USD,Америк доллар,2756.9483
2020-03-01,CNY,Хятад юань,394.57
2020-03-01,EUR,Евро,3065.8129
2020-03-01,JPY,Японы иен,25.7558
2020-03-01,KRW,Солонгосын вон,2.2735
2020-03-01,RUB,Оросын рубль,37.5961
2020-03-01,USD,Америк доллар,2768.9529
2020-04-01,CNY,Хятад юань,393.469
2020-04-01,EUR,Евро,3021.5643
2020-04-01,JPY,Японы иен,25.8043
2020-04-01,KRW,Солонгосын вон,2.277
2020-04-01,RUB,Оросын рубль,37.0893
2020-04-01,USD,Америк доллар,2783.048
2020-05-01,CNY,Хятад юань,393.6887
2020-05-01,EUR,Евро,3050.5229
2020-05-01,JPY,Японы иен,26.1119
2020-05-01,KRW,Солонгосын вон,2.2748
2020-05-01,RUB,Оросын рубль,38.3706
2020-05-01,USD,Америк доллар,2797.1452
2020-06-01,CNY,Хятад юань,397.2737
2020-06-01,EUR,Евро,3167.0623
2020-06-01,JPY,Японы иен,26.1753
2020-06-01,KRW,Солонгосын вон,2.3287
2020-06-01,RUB,Оросын рубль,40.6117
2020-06-01,USD,Америк доллар,2815.654
2020-07-01,CNY,Хятад юань,404.1861
2020-07-01,EUR,Евро,3240.3806
2020-07-01,JPY,Японы иен,26.5584
2020-07-01,KRW,Солонгосын вон,2.3645
2020-07-01,RUB,Оросын рубль,39.6987
2020-07-01,USD,Америк доллар,2835.3158
2020-08-01,CNY,Хятад юань,411.0848
2020-08-01,EUR,Евро,3371.3871
2020-08-01,JPY,Японы иен,26.8987
2020-08-01,KRW,Солонгосын вон,2.4
2020-08-01,RUB,Оросын рубль,38.5897
2020-08-01,USD,Америк доллар,2848.9248
2020-09-01,CNY,Хятад юань,418.9777
2020-09-01,EUR,Евро,3366.7413
2020-09-01,JPY,Японы иен,27.037
2020-09-01,KRW,Солонгосын вон,2.4247
2020-09-01,RUB,Оросын рубль,37.657
2020-09-01,USD,Америк доллар,2854.134
2020-10-01,CNY,Хятад юань,424.3942
2020-10-01,EUR,Евро,3357.5384
2020-10-01,JPY,Японы иен,27.1265
2020-10-01,KRW,Солонгосын вон,2.4945
2020-10-01,RUB,Оросын рубль,36.7726
2020-10-01,USD,Америк доллар,2853.6135
2020-11-01,CNY,Хятад юань,431.283
2020-11-01,EUR,Евро,3371.8713
2020-11-01,JPY,Японы иен,27.3157
2020-11-01,KRW,Солонгосын вон,2.5533
2020-11-01,RUB,Оросын рубль,37.0607
2020-11-01,USD,Америк доллар,2849.9577
2020-12-01,CNY,Хятад юань,435.7748
2020-12-01,EUR,Евро,3467.9632
2020-12-01,JPY,Японы иен,27.4587
2020-12-01,KRW,Солонгосын вон,2.6039
2020-12-01,RUB,Оросын рубль,38.4994
2020-12-01,USD,Америк доллар,2849.5319
2021-01-01,CNY,Хятад юань,440.1106
2021-01-01,EUR,Евро,3471.6013
2021-01-01,JPY,Японы иен,27.4745
2021-01-01,KRW,Солонгосын вон,2.5923
