date,individual_loans_billion_mnt
2000-03-01,4.39
2000-06-01,5.15
2000-09-01,6.01
2000-12-01,5.76
2001-03-01,7.41
2001-06-01,11.25
2001-09-01,14.89
2001-12-01,22.26
2002-03-01,32.9
2002-06-01,39.49
2002-09-01,49.32
2002-12-01,61.84
2003-03-01,84.01
2003-06-01,103.46
2003-09-01,113.75
2003-12-01,115.17
2004-03-01,157.23
2004-06-01,178.06
2004-09-01,198.02
2004-12-01,214.0
2005-03-01,232.91
2005-06-01,256.13
2005-09-01,289.08
2005-12-01,318.77
2006-03-01,366.94
2006-06-01,411.02
2006-09-01,457.16
2006-12-01,505.53
2007-03-01,567.26
2007-06-01,609.31
2007-09-01,730.96
2007-12-01,833.98
2008-03-01,987.77
2008-06-01,1037.05
2008-09-01,1105.98
2008-12-01,1030.05
2009-03-01,976.81
2009-06-01,887.32
2009-09-01,939.39
2009-12-01,920.01
2010-03-01,945.22
2010-06-01,1011.74
2010-09-01,1188.67
2010-12-01,1334.14
2011-03-01,1590.63
2011-06-01,1940.92
2011-09-01,2227.82
2011-12-01,2439.6
2012-03-01,2540.56
2012-06-01,2756.42
2012-09-01,3023.61
2012-12-01,3074.55
2013-03-01,3345.89
2013-06-01,3783.14
2013-09-01,4541.48
2013-12-01,4640.39
2014-03-01,5030.63
2014-06-01,5542.36
2014-09-01,5717.97
2014-12-01,5648.91
2015-03-01,5479.35
2015-06-01,5392.01
2015-09-01,5265.06
2015-12-01,4963.95
2016-03-01,5046.99
2016-04-01,4997.43
2016-05-01,5071.86
2016-06-01,5205.64
2016-07-01,5220.71
2016-08-01,5396.24
2016-09-01,5490.57
2016-10-01,5483.88
2016-11-01,5551.85
2016-12-01,5605.06
2017-01-01,5710.95
2017-02-01,5781.18
2017-03-01,5860.81
2017-04-01,5958.16
2017-05-01,5860.81
2017-06-01,6028.24
2017-07-01,6094.72
2017-08-01,6342.83
2017-09-01,6513.91
2017-10-01,6455.02
2017-11-01,6554.2
2017-12-01,6608.51
2018-01-01,6631.41
2018-02-01,6772.89
2018-03-01,6980.43
2018-04-01,7126.23
2018-05-01,7329.96
2018-06-01,7470.65
2018-07-01,7604.56
2018-08-01,7854.17
2018-09-01,8093.54
2018-10-01,8289.57
2018-11-01,8542.32
2018-12-01,8912.46
2019-01-01,8987.79
2019-02-01,8966.06
2019-03-01,9070.55
2019-04-01,9115.11
2019-05-01,9263.26
2019-06-01,9382.46
2019-07-01,9293.61
2019-08-01,9281.2
2019-09-01,9277.32
2019-10-01,9323.89
2019-11-01,9295.02
2019-12-01,9266.39
2020-01-01,9283.1
2020-02-01,8630.82
2020-03-01,8477.33
2020-04-01,8568.36
2020-05-01,8633.31
2020-06-01,8673.59
2020-07-01,8544.68
2020-08-01,8651.58
2020-09-01,8759.74
2020-10-01,8767.43
2020-11-01,8593.82
2020-12-01,8531.55
2021-01-01,8546.17
2021-02-01,8483.54
2021-03-01,8852.43
2021-04-01,8760.2
2021-05-01,8975.77
2021-06-01,9324.59
2021-07-01,9485.47
2021-08-01,9862.41
2021-09-01,10073.2
2021-10-01,10124.02
2021-11-01,10221.94
2021-12-01,10391.66
2022-01-01,10654.56
2022-02-01,10776.57
2022-03-01,11256.98
2022-04-01,11586.29
2022-05-01,11794.33
2022-06-01,12016.1
2022-07-01,11946.06
2022-08-01,11430.45
2022-09-01,11584.46
2022-10-01,11626.41
2022-11-01,11522.1
2022-12-01,11554.96
2023-01-01,11928.37
2023-02-01,11808.56
2023-03-01,12320.67
2023-04-01,12767.52
2023-05-01,13240.86
2023-06-01,13817.98
2023-07-01,13938.49
2023-08-01,14265.19
2023-09-01,14653.06
2023-10-01,14999.68
2023-11-01,15327.32
2023-12-01,15375.95
2024-01-01,16022.67
2024-02-01,16348.81
2024-03-01,16951.26
2024-04-01,17561.41
2024-05-01,18362.31
2024-06-01,19452.01
2024-07-01,19694.58
2024-08-01,20438.77
2024-09-01,20903.61
2024-10-01,21155.89
2024-11-01,21568.29
2024-12-01,21956.35
2025-01-01,22432.75
2025-02-01,23453.64
2025-03-01,23102.71
2025-04-01,23653.51
2025-05-01,24078.7
2025-06-01,24637.13
2025-07-01,25096.85
2025-08-01,24992.07
2025-09-01,25366.85
2025-10-01,25826.02
2025-11-01,25611.22
2025-12-01,25961.9
2026-01-01,26270.97
2026-02-01,26539.04
