date,net_iip_million_usd,total_assets_million_usd,total_liabilities_million_usd
2000-01-01,-4498,360,4858
2000-04-01,-4485,380,4865
2000-07-01,-4470,397,4867
2000-10-01,-4502,410,4912
2001-01-01,-4521,399,4920
2001-04-01,-4519,429,4949
2001-07-01,-4514,440,4954
2001-10-01,-4545,463,5008
2002-01-01,-4581,465,5046
2002-04-01,-4610,470,5079
2002-07-01,-4690,501,5191
2002-10-01,-4709,532,5241
2003-01-01,-4861,529,5390
2003-04-01,-4995,546,5541
2003-07-01,-5113,603,5716
2003-10-01,-5186,534,5720
2004-01-01,-5220,504,5724
2004-04-01,-5174,598,5773
2004-07-01,-5155,642,5796
2004-10-01,-5112,687,5799
2005-01-01,-5141,729,5870
2005-04-01,-5058,768,5826
2005-07-01,-4984,844,5828
2005-10-01,-4926,926,5852
2006-01-01,-4909,987,5896
2006-04-01,-4784,1200,5984
2006-07-01,-4732,1355,6087
2006-10-01,-4653,1590,6243
2007-01-01,-4650,1710,6359
2007-04-01,-4567,1877,6444
2007-07-01,-4712,1986,6699
2007-10-01,-5046,1928,6974
2008-01-01,-5343,1955,7299
2008-04-01,-5608,1993,7601
2008-07-01,-5948,1899,7847
2008-10-01,-6467,1553,8020
2009-01-01,-6614,1464,8079
2009-04-01,-6766,1764,8530
2009-07-01,-6978,2071,9048
2009-10-01,-7152,2371,9523
2010-01-01,-6978,2829,9807
2010-04-01,-6611,3673,10284
2010-07-01,-6225,4586,10811
2010-10-01,-6489.42,6221.23,12710.65
2011-01-01,-7485.11,6677.03,14162.14
2011-04-01,-8864.64,6702.77,15567.41
2011-07-01,-10705.99,5928.8,16634.79
2011-10-01,-12313.83,6126.53,18440.36
2012-01-01,-14092.51,6387.4,20479.92
2012-04-01,-16248.32,5458.5,21706.82
2012-07-01,-18017.63,5525.16,23542.79
2012-10-01,-19238.08,6753.11,25991.19
2013-01-01,-20929.79,5951.06,26880.85
2013-04-01,-22472.53,4905.6,27378.13
2013-07-01,-23562.95,4552,28114.96
2013-10-01,-24641.62,4339.79,28981.41
2014-01-01,-25726.51,4413.19,30139.7
2014-04-01,-26368.18,3847.72,30215.89
2014-07-01,-27207.15,4161.17,31368.32
2014-10-01,-27227.18,4045.46,31272.63
2015-01-01,-27418.32,3670.73,31089.05
2015-04-01,-27768.87,4290.57,32059.43
2015-07-01,-28075.09,3996.8,32071.89
2015-10-01,-28629.41,3907.38,32536.79
2016-01-01,-29069.4,4199.89,33269.29
2016-04-01,-29526.41,4188.5,33714.91
2016-07-01,-29621.16,4328.24,33949.4
2016-10-01,-29350.41,4309.41,33659.81
2017-01-01,-30262.24,3818.61,34080.85
2017-04-01,-30991.92,3888.92,34880.84
2017-07-01,-31331.1,4466.34,35797.44
2017-10-01,-32030.58,5553.45,37584.03
2018-01-01,-32686.08,5627.22,38313.29
2018-04-01,-32767.93,5646.95,38414.87
2018-07-01,-33292.02,5397.37,38689.39
2018-10-01,-33629.6,6155.96,39785.56
2019-01-01,-34384,6541,40925
2019-04-01,-34501,6874,41375
2019-07-01,-34795,6964,41759
2019-10-01,-35831,7140,42971
2020-01-01,-35717.432,7137.057,42854.49
2020-04-01,-36455.406,6896.42,43351.825
2020-07-01,-36807.341,7284.448,44091.789
2020-10-01,-37317.744,7930.007,45247.751
2021-01-01,-37251.976,8320.874,45572.85
2021-04-01,-37914.222,8451.191,46365.413
2021-07-01,-39120.111,7986.812,47106.923
2021-10-01,-39733.309,8193.553,47926.862
2022-01-01,-41295.773,6912.804,48208.577
2022-04-01,-41696.798,6399.357,48096.155
2022-07-01,-41694.517,6211.993,47906.51
2022-10-01,-41935.974,6898.291,48834.265
2023-01-01,-41453.564,7451.589,48905.153
2023-04-01,-41258.13,7466.384,48724.514
2023-07-01,-40815.478,8184.731,49000.209
2023-10-01,-41566.948,8792.201,50359.149
2024-01-01,-42015.888,8999.644,51015.532
2024-04-01,-42362.592,8896.481,51259.073
2024-07-01,-42914.651,9223.345,52137.996
2024-10-01,-43839.052,9859.061,53698.113
2025-01-01,-45167.5,9361.471,54528.972
2025-04-01,-46015.772,10127.953,56143.726
2025-07-01,-45651.362,11889.099,57540.461
2025-10-01,-45905.123,12718.244,58623.367
