Үзүүлэлт,Огноо,Дүн (тэрбум төг)
М2,2000-01,211.33
М1,2000-01,102.56
Бусад хадгаламж,2000-01,108.77
М2,2000-02,207.54
М1,2000-02,94.95
Бусад хадгаламж,2000-02,112.59
М2,2000-03,222.43
М1,2000-03,116.24
Бусад хадгаламж,2000-03,106.2
М2,2000-04,234.59
М1,2000-04,135.69
Бусад хадгаламж,2000-04,98.9
М2,2000-05,242.99
М1,2000-05,139.96
Бусад хадгаламж,2000-05,103.03
М2,2000-06,255.26
М1,2000-06,143.68
Бусад хадгаламж,2000-06,111.57
М2,2000-07,251.84
М1,2000-07,138.55
Бусад хадгаламж,2000-07,113.29
М2,2000-08,256.86
М1,2000-08,140.03
Бусад хадгаламж,2000-08,116.84
М2,2000-09,264.49
М1,2000-09,143.56
Бусад хадгаламж,2000-09,120.93
М2,2000-10,257.53
М1,2000-10,133.37
Бусад хадгаламж,2000-10,124.16
М2,2000-11,245.55
М1,2000-11,120.09
Бусад хадгаламж,2000-11,125.45
М2,2000-12,258.84
М1,2000-12,130.77
Бусад хадгаламж,2000-12,128.07
М2,2001-01,250.0
М1,2001-01,116.27
Бусад хадгаламж,2001-01,133.73
М2,2001-02,258.15
М1,2001-02,120.03
Бусад хадгаламж,2001-02,138.12
М2,2001-03,270.54
М1,2001-03,123.59
Бусад хадгаламж,2001-03,146.95
М2,2001-04,282.75
М1,2001-04,138.23
Бусад хадгаламж,2001-04,144.51
М2,2001-05,299.89
М1,2001-05,150.93
Бусад хадгаламж,2001-05,148.97
М2,2001-06,313.95
М1,2001-06,155.1
Бусад хадгаламж,2001-06,158.85
М2,2001-07,310.98
М1,2001-07,152.48
Бусад хадгаламж,2001-07,158.49
М2,2001-08,321.09
М1,2001-08,150.33
Бусад хадгаламж,2001-08,170.75
М2,2001-09,317.43
М1,2001-09,151.81
Бусад хадгаламж,2001-09,165.62
М2,2001-10,316.1
М1,2001-10,145.79
Бусад хадгаламж,2001-10,170.31
М2,2001-11,315.86
М1,2001-11,146.03
Бусад хадгаламж,2001-11,169.83
М2,2001-12,331.06
М1,2001-12,156.16
Бусад хадгаламж,2001-12,174.91
М2,2002-01,324.74
М1,2002-01,141.03
Бусад хадгаламж,2002-01,183.71
М2,2002-02,375.32
М1,2002-02,138.76
Бусад хадгаламж,2002-02,236.56
М2,2002-03,345.87
М1,2002-03,146.93
Бусад хадгаламж,2002-03,198.94
М2,2002-04,369.43
М1,2002-04,164.2
Бусад хадгаламж,2002-04,205.23
М2,2002-05,388.4
М1,2002-05,178.27
Бусад хадгаламж,2002-05,210.13
М2,2002-06,401.16
М1,2002-06,187.71
Бусад хадгаламж,2002-06,213.46
М2,2002-07,421.87
М1,2002-07,185.36
Бусад хадгаламж,2002-07,236.51
М2,2002-08,431.02
М1,2002-08,189.42
Бусад хадгаламж,2002-08,241.6
М2,2002-09,437.67
М1,2002-09,181.08
Бусад хадгаламж,2002-09,256.59
М2,2002-10,439.86
М1,2002-10,177.71
Бусад хадгаламж,2002-10,262.14
М2,2002-11,447.78
М1,2002-11,175.58
Бусад хадгаламж,2002-11,272.21
М2,2002-12,470.3
М1,2002-12,187.73
Бусад хадгаламж,2002-12,282.57
М2,2003-01,487.74
М1,2003-01,196.58
Бусад хадгаламж,2003-01,291.16
М2,2003-02,490.49
М1,2003-02,176.95
Бусад хадгаламж,2003-02,313.54
М2,2003-03,504.29
М1,2003-03,180.11
Бусад хадгаламж,2003-03,324.18
М2,2003-04,530.57
М1,2003-04,193.6
Бусад хадгаламж,2003-04,336.97
М2,2003-05,542.45
М1,2003-05,200.97
Бусад хадгаламж,2003-05,341.48
М2,2003-06,557.74
М1,2003-06,208.99
Бусад хадгаламж,2003-06,348.76
М2,2003-07,582.41
М1,2003-07,204.71
Бусад хадгаламж,2003-07,377.69
М2,2003-08,588.51
М1,2003-08,217.32
Бусад хадгаламж,2003-08,371.2
М2,2003-09,609.37
М1,2003-09,214.42
Бусад хадгаламж,2003-09,394.95
М2,2003-10,623.41
М1,2003-10,213.16
Бусад хадгаламж,2003-10,410.26
М2,2003-11,627.5
М1,2003-11,203.78
Бусад хадгаламж,2003-11,423.72
М2,2003-12,703.33
М1,2003-12,212.83
Бусад хадгаламж,2003-12,490.5
М2,2004-01,694.24
М1,2004-01,200.43
Бусад хадгаламж,2004-01,493.81
М2,2004-02,721.31
М1,2004-02,198.11
Бусад хадгаламж,2004-02,523.2
М2,2004-03,740.19
М1,2004-03,210.8
