date,m2_billion_mnt
1997-03-01,114.508
1997-04-01,123.396
1997-05-01,133.094
1997-06-01,137.858
1997-07-01,152.846
1997-08-01,150.59
1997-09-01,151.569
1997-10-01,155.751
1997-11-01,156.346
1997-12-01,170.065
1998-01-01,157.332
1998-02-01,161.957
1998-03-01,153.628
1998-04-01,156.14
1998-05-01,166.498
1998-06-01,160.226
1998-07-01,168.529
1998-08-01,165.219
1998-09-01,165.993
1998-10-01,162.604
1998-11-01,160.563
1998-12-01,167.25
1999-01-01,155.207
1999-02-01,161.917
1999-03-01,153.683
1999-04-01,165.555
1999-05-01,175.581
1999-06-01,184.635
1999-07-01,196.173
1999-08-01,196.858
1999-09-01,198.94
1999-10-01,203.016
1999-11-01,207.047
1999-12-01,220.167
2000-01-01,211.33
2000-02-01,207.542
2000-03-01,222.434
2000-04-01,234.587
2000-05-01,242.989
2000-06-01,255.258
2000-07-01,251.841
2000-08-01,256.864
2000-09-01,264.49
2000-10-01,257.529
2000-11-01,245.548
2000-12-01,258.843
2001-01-01,250.001
2001-02-01,258.148
2001-03-01,270.541
2001-04-01,282.745
2001-05-01,299.892
2001-06-01,313.946
2001-07-01,310.976
2001-08-01,321.088
2001-09-01,317.428
2001-10-01,316.102
2001-11-01,315.864
2001-12-01,331.064
2002-01-01,324.736
2002-02-01,375.321
2002-03-01,345.872
2002-04-01,369.435
2002-05-01,388.396
2002-06-01,401.164
2002-07-01,421.873
2002-08-01,431.021
2002-09-01,437.671
2002-10-01,439.856
2002-11-01,447.784
2002-12-01,470.299
2003-01-01,487.742
2003-02-01,490.489
2003-03-01,504.293
2003-04-01,530.569
2003-05-01,542.45
2003-06-01,557.744
2003-07-01,582.405
2003-08-01,588.513
2003-09-01,609.367
2003-10-01,623.413
2003-11-01,627.501
2003-12-01,703.332
2004-01-01,694.243
2004-02-01,721.312
2004-03-01,740.191
2004-04-01,774.876
2004-05-01,789.378
2004-06-01,812.171
2004-07-01,813.572
2004-08-01,842.465
2004-09-01,827.25
2004-10-01,831.122
2004-11-01,839.548
2004-12-01,847.032
2005-01-01,858.735
2005-02-01,860.115
2005-03-01,892.974
2005-04-01,932.476
2005-05-01,972.133
2005-06-01,1009.588
2005-07-01,1040.144
2005-08-01,1081.203
2005-09-01,1112.375
2005-10-01,1112.799
2005-11-01,1110.62
2005-12-01,1140.139
2006-01-01,1146.571
2006-02-01,1145.588
2006-03-01,1191.245
2006-04-01,1251.241
2006-05-01,1403.989
2006-06-01,1454.188
2006-07-01,1478.259
2006-08-01,1495.323
2006-09-01,1542.757
2006-10-01,1548.79
2006-11-01,1586.198
2006-12-01,1536.59
2007-01-01,1556.011
2007-02-01,1627.768
2007-03-01,1746.754
2007-04-01,1883.625
2007-05-01,1966.094
2007-06-01,2016.09
2007-07-01,2094.66
2007-08-01,2195.414
2007-09-01,2191.938
2007-10-01,2264.357
2007-11-01,2235.081
2007-12-01,2401.25
2008-01-01,2306.953
2008-02-01,2417.223
2008-03-01,2454.756
2008-04-01,2466.296
2008-05-01,2516.226
2008-06-01,2564.285
2008-07-01,2595.183
2008-08-01,2576.446
2008-09-01,2522.346
2008-10-01,2355.077
2008-11-01,2239.114
2008-12-01,2267.415
2009-01-01,2199.368
2009-02-01,2312.991
2009-03-01,2350.936
2009-04-01,2340.691
2009-05-01,2403.511
2009-06-01,2438.368
2009-07-01,2509.089
2009-08-01,2563.471
2009-09-01,2652.385
2009-10-01,2669.937
2009-11-01,2714.14
2009-12-01,2879.43
2010-01-01,2870.393
2010-02-01,2981.257
2010-03-01,2973.912
2010-04-01,3162.435
2010-05-01,3251.587
2010-06-01,3521.839
2010-07-01,3540.947
2010-08-01,3655.609
2010-09-01,3850.189
2010-10-01,3871.65
2010-11-01,3938.209
2010-12-01,4678.684
2011-01-01,4804.182
2011-02-01,4866.152
2011-03-01,4953.94
2011-04-01,5349.578
2011-05-01,5428.282
2011-06-01,5771.548
2011-07-01,5919.386
2011-08-01,5902.232
2011-09-01,6049.324
2011-10-01,6073.734
2011-11-01,6112.144
2011-12-01,6411.182
2012-01-01,6146.034
2012-02-01,6236.173
2012-03-01,6102.589
2012-04-01,6360.705
2012-05-01,6727.36
2012-06-01,7048.916
2012-07-01,6951.219
2012-08-01,6995.639
2012-09-01,7110.345
2012-10-01,7130.805
2012-11-01,7031.391
2012-12-01,7611.877
2013-01-01,7338.853
2013-02-01,7236.124
2013-03-01,7298.742
2013-04-01,7182.082
2013-05-01,7906.683
2013-06-01,8001.586
2013-07-01,8086.234
2013-08-01,8406.732
2013-09-01,8476.62
2013-10-01,8712.044
2013-11-01,9099.216
2013-12-01,9452.552
2014-01-01,10019.293
2014-02-01,9845.624
2014-03-01,9947.307
2014-04-01,10201.155
2014-05-01,10238.368
2014-06-01,10104.896
2014-07-01,10076.029
2014-08-01,10133.834
2014-09-01,10072.141
2014-10-01,9972.085
2014-11-01,9926.955
2014-12-01,10634.331
2015-01-01,10313.104
2015-02-01,10228.989
2015-03-01,9902.262
2015-04-01,9703.583
2015-05-01,9844.469
2015-06-01,10039.918
2015-07-01,9860.65
2015-08-01,9963.097
2015-09-01,9933.224
2015-10-01,9899.004
2015-11-01,9808.052
2015-12-01,10048.996
2016-01-01,9849.544
2016-02-01,10011.025
2016-03-01,10112.431
2016-04-01,10517.392
2016-05-01,10657.797
2016-06-01,11186.374
2016-07-01,11308.845
2016-08-01,11379.761
2016-09-01,11556.927
2016-10-01,11612.008
2016-11-01,11726.408
2016-12-01,12158.53
2017-01-01,11973.696
2017-02-01,12324.741
2017-03-01,12259.343
2017-04-01,12467.829
2017-05-01,12989.768
2017-06-01,13483.236
2017-07-01,13999.63
2017-08-01,14526.296
2017-09-01,14749.712
2017-10-01,14520.672
2017-11-01,14821.847
2017-12-01,15861.199
2018-01-01,15762.99
2018-02-01,15913.169
2018-03-01,16073.936
2018-04-01,16240.148
2018-05-01,17045.319
2018-06-01,17342.874
2018-07-01,17211.716
2018-08-01,17440.406
2018-09-01,17920.219
2018-10-01,18332.538
2018-11-01,18651.363
2018-12-01,19474.698
2019-01-01,19843.586
2019-02-01,19796.175
2019-03-01,19972.004
2019-04-01,20146.632
2019-05-01,20523.645
2019-06-01,20441.392
2019-07-01,20497.654
2019-08-01,20685.415
2019-09-01,20644.272
2019-10-01,20682.23
2019-11-01,20699.148
2019-12-01,21063.592
2020-01-01,20776.014
2020-02-01,20839.406
2020-03-01,20692.231
2020-04-01,20476.376
2020-05-01,20880.406
2020-06-01,21592.062
2020-07-01,21705.572
2020-08-01,21747.046
2020-09-01,22674.75
