date,total_loans_billion_mnt
2000-03-01,50.263
2000-06-01,54.235
2000-09-01,56.926
2000-12-01,63.766
2001-03-01,77.322
2001-06-01,92.723
2001-09-01,96.723
2001-12-01,127.484
2002-03-01,151.143
2002-06-01,191.041
2002-09-01,196.615
2002-12-01,231.45
2003-03-01,279.924
2003-06-01,327.926
2003-09-01,352.124
2003-12-01,441.95
2004-03-01,486.592
2004-06-01,525.458
2004-09-01,565.794
2004-12-01,606.178
2005-03-01,640.266
2005-06-01,719.742
2005-09-01,774.238
2005-12-01,859.449
2006-03-01,955.112
2006-06-01,1051.062
2006-09-01,1113.506
2006-12-01,1222.342
2007-03-01,1403.762
2007-06-01,1599.162
2007-09-01,1861.356
2007-12-01,2055.278
2008-03-01,2335.622
2008-06-01,2558.879
2008-09-01,2714.569
2008-12-01,2635.128
2009-03-01,2670.872
2009-06-01,2557.725
2009-09-01,2630.564
2009-12-01,2655.0
2010-03-01,2734.817
2010-06-01,2849.058
2010-09-01,3050.3
2010-12-01,3228.171
2011-03-01,3696.26
2011-06-01,4517.281
2011-09-01,5018.953
2011-12-01,5597.744
2012-03-01,5741.474
2012-06-01,6266.015
2012-09-01,6819.411
2012-12-01,6941.135
2013-03-01,7336.37
2013-06-01,8553.474
2013-09-01,10098.617
2013-12-01,10715.633
2014-03-01,11332.387
2014-06-01,12241.976
2014-09-01,12551.159
2014-12-01,12440.926
2015-03-01,12210.964
2015-06-01,11881.968
2015-09-01,11873.148
2015-12-01,11633.574
2016-03-01,11764.55
2016-04-01,11566.291
2016-05-01,11370.374
2016-06-01,11949.791
2016-07-01,12023.957
2016-08-01,12359.511
2016-09-01,12409.421
2016-10-01,12484.509
2016-11-01,12633.769
2016-12-01,12337.509
2017-01-01,12294.768
2017-02-01,12498.632
2017-03-01,12593.147
2017-04-01,12621.792
2017-05-01,12613.829
2017-06-01,12805.394
2017-07-01,12940.703
2017-08-01,13160.054
2017-09-01,13316.647
2017-10-01,13281.674
2017-11-01,13389.665
2017-12-01,13506.743
2018-01-01,13548.042
2018-02-01,13718.925
2018-03-01,14033.03
2018-04-01,14355.814
2018-05-01,14859.731
2018-06-01,15277.098
2018-07-01,15469.585
2018-08-01,15807.226
2018-09-01,16206.667
2018-10-01,16312.447
2018-11-01,16575.583
2018-12-01,17082.386
2019-01-01,17076.162
2019-02-01,17104.156
2019-03-01,17327.282
2019-04-01,17510.101
2019-05-01,17824.283
2019-06-01,18061.496
2019-07-01,18122.812
2019-08-01,18099.812
2019-09-01,17994.565
2019-10-01,18038.924
2019-11-01,18004.867
2019-12-01,17932.249
2020-01-01,17918.66
2020-02-01,17189.444
2020-03-01,16988.561
2020-04-01,16996.075
2020-05-01,17012.761
2020-06-01,17200.17
2020-07-01,17159.657
2020-08-01,17212.957
2020-09-01,17182.055
2020-10-01,17042.921
2020-11-01,16828.618
2020-12-01,17034.236
2021-01-01,17059.364
2021-02-01,16972.923
2021-03-01,17467.086
2021-04-01,17487.066
2021-05-01,18067.142
2021-06-01,18966.107
2021-07-01,19263.061
2021-08-01,19689.945
2021-09-01,20018.192
2021-10-01,19875.979
2021-11-01,20049.344
2021-12-01,20667.355
2022-01-01,20797.001
2022-02-01,21075.44
2022-03-01,21872.392
2022-04-01,22543.517
2022-05-01,23045.771
2022-06-01,23250.557
2022-07-01,23113.782
2022-08-01,22562.016
2022-09-01,22757.123
2022-10-01,22583.1
2022-11-01,22447.818
2022-12-01,22008.274
2023-01-01,22268.116
2023-02-01,22409.057
2023-03-01,23012.94
2023-04-01,23489.272
2023-05-01,24290.684
2023-06-01,25355.145
2023-07-01,25143.826
2023-08-01,25608.608
2023-09-01,25871.065
2023-10-01,26122.711
2023-11-01,26638.746
2023-12-01,27151.617
2024-01-01,27508.943
2024-02-01,27830.246
2024-03-01,28923.657
2024-04-01,29699.999
2024-05-01,31144.651
2024-06-01,33258.646
2024-07-01,33224.172
2024-08-01,34223.757
2024-09-01,34983.032
2024-10-01,35167.347
2024-11-01,35612.977
2024-12-01,36781.473
2025-01-01,37123.988
2025-02-01,38397.359
2025-03-01,38600.733
2025-04-01,39530.298
2025-05-01,40344.608
2025-06-01,42224.382
2025-07-01,42360.924
2025-08-01,42294.729
2025-09-01,42726.783
2025-10-01,43460.369
2025-11-01,43107.326
2025-12-01,43751.57
2026-01-01,43908.126
2026-02-01,43889.722
2026-03-01,45005.551
2026-04-01,45963.701
2026-05-01,47259.969
2026-06-01,48957.222
2026-07-01,47876.124
