гишүүн,нам,биеэр_оролцсон_хувь,албан_ёсны_цагтаа_ирэлтийн_хувь,товлосон_цагтаа_ирэлтийн_хувь,тайлбаргүй_таслалтын_хувь,хоцролтын_медиан_минут
О.Алтангэрэл,Ардчилсан Нам,78.1,83.3,73.5,2.1,11.0
С.Ганбаатар,Ардчилсан Нам,69.9,56.9,42.9,12.3,19.0
Б.Батцэцэг,Монгол Ардын Нам,61.6,35.6,22.4,5.5,19.0
П.Мөнхтулга,Ардчилсан Нам,61.6,51.1,46.3,7.5,18.5
Г.Тэмүүлэн,Монгол Ардын Нам,93.8,62.8,54.0,1.4,10
Д.Ганбат,Ардчилсан Нам,80.1,26.5,20.3,5.5,18.0
Г.Хосбаяр,Ардчилсан Нам,80.8,84.7,75.0,3.4,13
Д.Жаргалсайхан,Ардчилсан Нам,78.1,32.5,22.9,12.3,32
Дав.Цогтбаатар,Ардчилсан Нам,88.4,89.9,76.5,4.8,6.0
С.Бямбацогт,Монгол Ардын Нам,89.0,90.8,83.3,0.7,24
О.Цогтгэрэл,Ардчилсан Нам,87.0,92.1,87.5,2.7,8
Б.Пүрэвдорж,Ардчилсан Нам,85.6,99.2,97.5,1.4,1
Д.Амарбаясгалан,Монгол Ардын Нам,65.8,85.4,70.2,12.3,46
Б.Чойжилсүрэн,Монгол Ардын Нам,79.5,47.4,36.8,5.5,10.0
Б.Түвшин,Ардчилсан Нам,77.4,59.3,27.9,4.1,16.0
О.Амгаланбаатар,Ардчилсан Нам,84.9,80.6,59.2,7.5,9.5
Б.Заяабал,Монгол Ардын Нам,87.7,70.3,52.4,0.7,6.0
З.Мэндсайхан,Монгол Ардын Нам,80.1,47.0,40.0,5.5,12.5
Э.Болормаа,Монгол Ардын Нам,89.7,64.1,57.1,4.8,37
Х.Жангабыл,Монгол Ардын Нам,87.0,81.1,66.2,1.4,8
Т.Аубакир,Монгол Ардын Нам,80.8,69.5,57.8,8.2,20.5
Б.Бейсен,Ардчилсан Нам,81.5,82.4,59.5,1.4,12
Х.Баттулга,Ардчилсан Нам,22.6,45.5,28.6,28.8,8
Л.Энх-Амгалан,Монгол Ардын Нам,89.0,80.0,76.7,6.8,31.0
