он,сар,бараа,үнэ,нэгж
2021,1,Зэс,7970.5,ам.долл/тн
2021,1,Молибдени,22421.0,ам.долл/тн
2021,1,Хар тугалга,2014.9,ам.долл/тн
2021,1,Цагаан тугалга,21955.5,ам.долл/тн
2021,1,Цайр,2707.7,ам.долл/тн
2021,2,Зэс,9172.5,ам.долл/тн
2021,2,Молибдени,26257.0,ам.долл/тн
2021,2,Хар тугалга,2075.0,ам.долл/тн
2021,2,Цагаан тугалга,24505.0,ам.долл/тн
2021,2,Цайр,2788.5,ам.долл/тн
2021,3,Зэс,8768.0,ам.долл/тн
2021,3,Молибдени,25949.3,ам.долл/тн
2021,3,Хар тугалга,1960.8,ам.долл/тн
2021,3,Цагаан тугалга,27396.3,ам.долл/тн
2021,3,Цайр,2791.7,ам.долл/тн
2021,4,Зэс,9335.6,ам.долл/тн
2021,4,Молибдени,24515.4,ам.долл/тн
2021,4,Хар тугалга,2006.3,ам.долл/тн
2021,4,Цагаан тугалга,28508.1,ам.долл/тн
2021,4,Цайр,2827.4,ам.долл/тн
2021,5,Зэс,10184.0,ам.долл/тн
2021,5,Молибдени,29150.1,ам.долл/тн
2021,5,Хар тугалга,2185.9,ам.долл/тн
2021,5,Цагаан тугалга,32524.3,ам.долл/тн
2021,5,Цайр,2970.3,ам.долл/тн
2021,6,Зэс,9612.4,ам.долл/тн
2021,6,Молибдени,39897.6,ам.долл/тн
2021,6,Хар тугалга,2189.0,ам.долл/тн
2021,6,Цагаан тугалга,32677.6,ам.долл/тн
2021,6,Цайр,2950.1,ам.долл/тн
2021,7,Зэс,9433.6,ам.долл/тн
2021,7,Молибдени,40599.1,ам.долл/тн
2021,7,Хар тугалга,2337.0,ам.долл/тн
2021,7,Цагаан тугалга,34183.0,ам.долл/тн
2021,7,Цайр,2943.0,ам.долл/тн
2021,8,Зэс,9357.2,ам.долл/тн
2021,8,Молибдени,40599.1,ам.долл/тн
2021,8,Хар тугалга,2337.0,ам.долл/тн
2021,8,Цагаан тугалга,34183.0,ам.долл/тн
2021,8,Цайр,2988.9,ам.долл/тн
2021,9,Зэс,9324.1,ам.долл/тн
2021,9,Молибдени,43188.5,ам.долл/тн
2021,9,Хар тугалга,2259.3,ам.долл/тн
2021,9,Цагаан тугалга,35048.2,ам.долл/тн
2021,9,Цайр,3042.0,ам.долл/тн
2021,10,Зэс,9778.5,ам.долл/тн
2021,10,Молибдени,42028.5,ам.долл/тн
2021,10,Хар тугалга,2339.5,ам.долл/тн
2021,10,Цагаан тугалга,37962.4,ам.долл/тн
2021,10,Цайр,3370.1,ам.долл/тн
2021,11,Зэс,9764.6,ам.долл/тн
2021,11,Молибдени,41826.7,ам.долл/тн
2021,11,Хар тугалга,2347.0,ам.долл/тн
2021,11,Цагаан тугалга,39307.2,ам.долл/тн
2021,11,Цайр,3316.7,ам.долл/тн
2021,12,Зэс,9550.3,ам.долл/тн
2021,12,Молибдени,41182.3,ам.долл/тн
2021,12,Хар тугалга,2304.8,ам.долл/тн
2021,12,Цагаан тугалга,39573.8,ам.долл/тн
2021,12,Цайр,3407.9,ам.долл/тн
2022,1,Зэс,9774.5,ам.долл/тн
2022,1,Молибдени,41910.9,ам.долл/тн
2022,1,Хар тугалга,2342.0,ам.долл/тн
2022,1,Цагаан тугалга,41789.6,ам.долл/тн
