year,month,commodity,price,unit
2026,7,Gold,4077.8,USD/troy oz
2026,7,Silver,58.8,USD/troy oz
2026,7,Copper,13524.52,USD/tonne
2026,7,Zinc,3595.53,USD/tonne
2026,7,Lead,1843.55,USD/tonne
2026,7,Tin,53088.8,USD/tonne
2026,7,Molybdenum,70211.4,USD/tonne
2026,7,"Manganese, 36%",193.9,USD/tonne
2026,7,"Tungsten, 99%",205652.17,USD/tonne
2026,7,"Tungsten, 65%",62943.87,USD/tonne
2026,7,"Iron ore, 56%",59.67,USD/tonne
2026,7,"Iron concentrate, 60%",86.21,USD/tonne
2026,7,Fluorspar concentrate FF-97,520.0,USD/tonne
2026,7,Fluorspar ore FK-85,425.0,USD/tonne
2026,7,Uranium,190.43,USD/kg
