year,month,province,ai92_price,ai92_euro5_price,ai95_price,diesel_price,diesel_euro5_price
2026,7,Ulaanbaatar,2590,2690,4110,4340,4940
2026,7,Bayan-Ulgii,3430,,4450,4450,
2026,7,Govi-Altai,3245,3745,4350,4650,5300
2026,7,Zavkhan,3300,4030,4400,4600,5000
2026,7,Uvs,3560,,4400,4700,5270
2026,7,Khovd,3350,,4400,4550,5160
2026,7,Arkhangai,3025,3570,4240,4440,4980
2026,7,Bayankhongor,3045,3510,4250,4490,5290
2026,7,Bulgan,2970,3500,4260,4410,5190
2026,7,Uvurkhangai,2980,3450,4230,4390,5160
2026,7,Orkhon,2940,3470,4240,4400,5150
2026,7,Khuvsgul,3195,3630,4180,4480,4720
2026,7,Tuv,2950,3500,0,4340,4950
2026,7,Darkhan-Uul,2920,3450,4890,4500,5150
2026,7,Selenge,3045,3570,4240,4560,5180
2026,7,Govisumber,2930,3560,4110,4590,5000
2026,7,Dundgovi,3040,3430,4210,4610,
2026,7,Dornogovi,3030,3430,4230,4600,5220
2026,7,Umnugovi,3010,3530,4190,4450,5350
2026,7,Dornod,2990,3540,4230,4400,5150
2026,7,Sukhbaatar,3130,3560,4270,4450,5270
2026,7,Khentii,3000,3500,4190,4430,5200
