он,сар,бүтээгдэхүүн,хэмжээ_тн
2021,1,АИ-92 бензин,42658.0
2021,1,АИ-95 бензин,1055.0
2021,1,Дизель түлш,103943.0
2021,1,Онгоцны түлш ТС-1,3587.0
2021,1,Шингэрүүлсэн шатдаг хий (LPG),1403.0
2021,1,Бусад,9612.0
2021,2,АИ-92 бензин,25866.0
2021,2,АИ-95 бензин,1316.0
2021,2,Дизель түлш,74722.0
2021,2,Онгоцны түлш ТС-1,3113.0
2021,2,Шингэрүүлсэн шатдаг хий (LPG),470.0
2021,2,Бусад,12308.0
2021,3,АИ-92 бензин,28294.0
2021,3,АИ-95 бензин,986.0
2021,3,Дизель түлш,82158.0
2021,3,Онгоцны түлш ТС-1,6037.0
2021,3,Шингэрүүлсэн шатдаг хий (LPG),377.0
2021,3,Бусад,29642.0
2021,4,АИ-92 бензин,16839.0
2021,4,АИ-95 бензин,1829.0
2021,4,Дизель түлш,78651.0
2021,4,Онгоцны түлш ТС-1,1583.0
2021,4,Шингэрүүлсэн шатдаг хий (LPG),438.0
2021,4,Бусад,28340.0
2021,5,АИ-92 бензин,26219.0
2021,5,АИ-95 бензин,2427.0
2021,5,Дизель түлш,52253.0
2021,5,Онгоцны түлш ТС-1,2073.0
2021,5,Шингэрүүлсэн шатдаг хий (LPG),318.0
2021,5,Бусад,15954.0
2021,6,АИ-92 бензин,31340.0
2021,6,АИ-95 бензин,1656.0
2021,6,Дизель түлш,99393.0
2021,6,Онгоцны түлш ТС-1,1713.0
2021,6,Шингэрүүлсэн шатдаг хий (LPG),526.0
2021,6,Бусад,24492.0
2021,7,АИ-92 бензин,46758.0
2021,7,АИ-95 бензин,571.0
2021,7,Дизель түлш,90549.0
2021,7,Онгоцны түлш ТС-1,1993.0
2021,7,Шингэрүүлсэн шатдаг хий (LPG),243.0
2021,7,Бусад,27098.0
2021,8,АИ-92 бензин,56744.0
2021,8,АИ-95 бензин,5066.0
2021,8,Дизель түлш,80081.0
2021,8,Онгоцны түлш ТС-1,832.0
2021,8,Шингэрүүлсэн шатдаг хий (LPG),3515.0
2021,8,Бусад,4340.0
2021,9,АИ-92 бензин,33935.0
2021,9,АИ-95 бензин,118.0
2021,9,Дизель түлш,63885.0
2021,9,Онгоцны түлш ТС-1,562.0
2021,9,Шингэрүүлсэн шатдаг хий (LPG),1898.0
2021,9,Бусад,7640.0
2021,10,АИ-92 бензин,43728.0
2021,10,АИ-95 бензин,5109.0
2021,10,Дизель түлш,65044.0
2021,10,Онгоцны түлш ТС-1,1789.0
2021,10,Шингэрүүлсэн шатдаг хий (LPG),1929.0
2021,10,Бусад,12836.0
2021,11,АИ-92 бензин,83990.0
2021,11,АИ-95 бензин,3513.0
2021,11,Дизель түлш,86292.0
2021,11,Онгоцны түлш ТС-1,4200.0
2021,11,Шингэрүүлсэн шатдаг хий (LPG),6370.0
2021,11,Бусад,8924.0
2021,12,АИ-92 бензин,53674.0
2021,12,АИ-95 бензин,4025.0
2021,12,Дизель түлш,99303.0
2021,12,Онгоцны түлш ТС-1,1314.0
2021,12,Шингэрүүлсэн шатдаг хий (LPG),5245.0
2021,12,Бусад,20250.0
2022,1,АИ-92 бензин,39498.0
2022,1,АИ-95 бензин,1769.0
2022,1,Дизель түлш,83809.0
2022,1,Онгоцны түлш ТС-1,1805.0
2022,1,Шингэрүүлсэн шатдаг хий (LPG),2030.0
2022,1,Бусад,9317.0
2022,2,АИ-92 бензин,63713.0
2022,2,АИ-95 бензин,1244.0
2022,2,Дизель түлш,58792.0
2022,2,Онгоцны түлш ТС-1,1492.0
2022,2,Шингэрүүлсэн шатдаг хий (LPG),2904.0
2022,2,Бусад,6588.0
2022,3,АИ-92 бензин,55620.0
2022,3,АИ-95 бензин,3876.0
2022,3,Дизель түлш,53989.0
2022,3,Онгоцны түлш ТС-1,2396.0
2022,3,Шингэрүүлсэн шатдаг хий (LPG),3433.0
2022,3,Бусад,9571.0
2022,4,АИ-92 бензин,24945.0
2022,4,АИ-95 бензин,3391.0
2022,4,Дизель түлш,61773.0
2022,4,Онгоцны түлш ТС-1,11553.0
2022,4,Шингэрүүлсэн шатдаг хий (LPG),3276.0
2022,4,Бусад,6791.0
2022,5,АИ-92 бензин,59583.0
2022,5,АИ-95 бензин,1949.0
2022,5,Дизель түлш,83553.0
2022,5,Онгоцны түлш ТС-1,4245.0
2022,5,Шингэрүүлсэн шатдаг хий (LPG),3850.0
2022,5,Бусад,17178.0
2022,6,АИ-92 бензин,48840.0
2022,6,АИ-95 бензин,2075.0
2022,6,Дизель түлш,98140.0
2022,6,Онгоцны түлш ТС-1,6807.0
2022,6,Шингэрүүлсэн шатдаг хий (LPG),3237.0
2022,6,Бусад,23969.0
2022,7,АИ-92 бензин,51376.0
2022,7,АИ-95 бензин,1271.0
2022,7,Дизель түлш,66379.0
2022,7,Онгоцны түлш ТС-1,1901.0
2022,7,Шингэрүүлсэн шатдаг хий (LPG),2990.0
2022,7,Бусад,11915.0
2022,8,АИ-92 бензин,44534.0
2022,8,АИ-95 бензин,1559.0
2022,8,Дизель түлш,90955.0
2022,8,Онгоцны түлш ТС-1,4277.0
2022,8,Шингэрүүлсэн шатдаг хий (LPG),9289.0
2022,8,Бусад,9413.0
2022,9,АИ-92 бензин,40452.0
2022,9,АИ-95 бензин,1209.0
2022,9,Дизель түлш,79785.0
2022,9,Онгоцны түлш ТС-1,8062.0
2022,9,Шингэрүүлсэн шатдаг хий (LPG),2058.0
2022,9,Бусад,20821.0
2022,10,АИ-92 бензин,62672.0
2022,10,АИ-95 бензин,2008.0
2022,10,Дизель түлш,85633.0
2022,10,Онгоцны түлш ТС-1,3579.0
2022,10,Шингэрүүлсэн шатдаг хий (LPG),1598.0
2022,10,Бусад,7913.0
2022,11,АИ-92 бензин,73324.0
2022,11,АИ-95 бензин,905.0
2022,11,Дизель түлш,83260.0
2022,11,Онгоцны түлш ТС-1,6915.0
2022,11,Шингэрүүлсэн шатдаг хий (LPG),4414.0
2022,11,Бусад,3531.0
2022,12,АИ-92 бензин,52053.0
2022,12,АИ-95 бензин,1205.0
2022,12,Дизель түлш,116402.0
2022,12,Онгоцны түлш ТС-1,3915.0
2022,12,Шингэрүүлсэн шатдаг хий (LPG),4299.0
2022,12,Бусад,13772.0
2023,1,АИ-92 бензин,29391.0
2023,1,АИ-95 бензин,2104.0
2023,1,Дизель түлш,122435.0
2023,1,Онгоцны түлш ТС-1,6065.0
2023,1,Шингэрүүлсэн шатдаг хий (LPG),3038.0
2023,1,Бусад,3551.0
2023,2,АИ-92 бензин,61738.0
2023,2,АИ-95 бензин,1463.0
2023,2,Дизель түлш,71540.0
2023,2,Онгоцны түлш ТС-1,9242.0
2023,2,Шингэрүүлсэн шатдаг хий (LPG),4172.0
2023,2,Бусад,3988.0
2023,3,АИ-92 бензин,54079.0
2023,3,АИ-95 бензин,2012.0
2023,3,Дизель түлш,96881.0
2023,3,Онгоцны түлш ТС-1,8117.0
2023,3,Шингэрүүлсэн шатдаг хий (LPG),3302.0
2023,3,Бусад,12237.0
2023,4,АИ-92 бензин,57674.0
2023,4,АИ-95 бензин,486.0
2023,4,Дизель түлш,104563.0
2023,4,Онгоцны түлш ТС-1,5020.0
2023,4,Шингэрүүлсэн шатдаг хий (LPG),2959.0
2023,4,Бусад,20633.0
2023,5,АИ-92 бензин,59760.0
2023,5,АИ-95 бензин,1265.0
2023,5,Дизель түлш,136356.0
2023,5,Онгоцны түлш ТС-1,10634.0
2023,5,Шингэрүүлсэн шатдаг хий (LPG),6152.0
2023,5,Бусад,17992.0
2023,6,АИ-92 бензин,65375.0
2023,6,АИ-95 бензин,1607.0
2023,6,Дизель түлш,114638.0
2023,6,Онгоцны түлш ТС-1,8377.0
2023,6,Шингэрүүлсэн шатдаг хий (LPG),2784.0
2023,6,Бусад,23074.0
2023,7,АИ-92 бензин,74997.0
2023,7,АИ-95 бензин,2004.0
2023,7,Дизель түлш,139103.0
2023,7,Онгоцны түлш ТС-1,5667.0
2023,7,Шингэрүүлсэн шатдаг хий (LPG),4541.0
2023,7,Бусад,33591.0
2023,8,АИ-92 бензин,76182.0
2023,8,АИ-95 бензин,1754.0
2023,8,Дизель түлш,152867.0
2023,8,Онгоцны түлш ТС-1,5251.0
2023,8,Шингэрүүлсэн шатдаг хий (LPG),3210.0
2023,8,Бусад,28694.0
2023,9,АИ-92 бензин,48141.0
2023,9,АИ-95 бензин,606.0
2023,9,Дизель түлш,82779.0
2023,9,Онгоцны түлш ТС-1,6838.0
2023,9,Шингэрүүлсэн шатдаг хий (LPG),3144.0
2023,9,Бусад,15793.0
2023,10,АИ-92 бензин,32141.0
2023,10,АИ-95 бензин,2223.0
2023,10,Дизель түлш,63987.0
2023,10,Онгоцны түлш ТС-1,13687.0
2023,10,Шингэрүүлсэн шатдаг хий (LPG),1455.0
2023,10,Бусад,34372.0
2023,11,АИ-92 бензин,64074.0
2023,11,АИ-95 бензин,3090.0
2023,11,Дизель түлш,111213.0
2023,11,Онгоцны түлш ТС-1,10813.0
2023,11,Шингэрүүлсэн шатдаг хий (LPG),4417.0
2023,11,Бусад,7418.0
2023,12,АИ-92 бензин,62980.0
2023,12,АИ-95 бензин,2479.0
2023,12,Дизель түлш,146212.0
2023,12,Онгоцны түлш ТС-1,6961.0
2023,12,Шингэрүүлсэн шатдаг хий (LPG),3091.0
2023,12,Бусад,5441.0
2024,1,АИ-92 бензин,78421.0
2024,1,АИ-95 бензин,2492.0
2024,1,Дизель түлш,129542.0
2024,1,Онгоцны түлш ТС-1,8552.0
2024,1,Шингэрүүлсэн шатдаг хий (LPG),3022.0
2024,1,Бусад,7635.0
2024,2,АИ-92 бензин,61289.0
2024,2,АИ-95 бензин,1404.0
2024,2,Дизель түлш,92109.0
2024,2,Онгоцны түлш ТС-1,6326.0
2024,2,Шингэрүүлсэн шатдаг хий (LPG),4761.0
2024,2,Бусад,5698.0
2024,3,АИ-92 бензин,69149.0
2024,3,АИ-95 бензин,1744.0
2024,3,Дизель түлш,148622.0
2024,3,Онгоцны түлш ТС-1,8136.0
2024,3,Шингэрүүлсэн шатдаг хий (LPG),4785.0
2024,3,Бусад,7804.0
2024,4,АИ-92 бензин,67436.0
2024,4,АИ-95 бензин,1194.0
2024,4,Дизель түлш,140012.0
2024,4,Онгоцны түлш ТС-1,6567.0
2024,4,Шингэрүүлсэн шатдаг хий (LPG),2942.0
2024,4,Бусад,10258.0
2024,5,АИ-92 бензин,70900.0
2024,5,АИ-95 бензин,4487.0
2024,5,Дизель түлш,140677.0
2024,5,Онгоцны түлш ТС-1,9649.0
2024,5,Шингэрүүлсэн шатдаг хий (LPG),2790.0
2024,5,Бусад,14379.0
2024,6,АИ-92 бензин,64114.0
2024,6,АИ-95 бензин,1240.0
2024,6,Дизель түлш,118720.0
2024,6,Онгоцны түлш ТС-1,10590.0
2024,6,Шингэрүүлсэн шатдаг хий (LPG),2454.0
2024,6,Бусад,10820.0
2024,7,АИ-92 бензин,71929.2
2024,7,АИ-95 бензин,318.7
2024,7,Дизель түлш,146949.3
2024,7,Онгоцны түлш ТС-1,10015.4
2024,7,Шингэрүүлсэн шатдаг хий (LPG),5090.7
2024,7,Бусад,16812.7
2024,8,АИ-92 бензин,69273.3
2024,8,АИ-95 бензин,1540.8
2024,8,Дизель түлш,149756.6
2024,8,Онгоцны түлш ТС-1,6265.4
2024,8,Шингэрүүлсэн шатдаг хий (LPG),3483.0
2024,8,Бусад,22181.1
2024,9,АИ-92 бензин,66267.8
2024,9,АИ-95 бензин,572.3
2024,9,Дизель түлш,142138.4
2024,9,Онгоцны түлш ТС-1,2953.8
2024,9,Шингэрүүлсэн шатдаг хий (LPG),4750.2
2024,9,Бусад,24475.2
2024,10,АИ-92 бензин,64950.9
2024,10,АИ-95 бензин,462.9
2024,10,Дизель түлш,127371.3
2024,10,Онгоцны түлш ТС-1,9803.6
2024,10,Шингэрүүлсэн шатдаг хий (LPG),5123.7
2024,10,Бусад,19461.2
2024,11,АИ-92 бензин,79455.8
2024,11,АИ-95 бензин,844.8
2024,11,Дизель түлш,120365.6
2024,11,Онгоцны түлш ТС-1,5143.9
2024,11,Шингэрүүлсэн шатдаг хий (LPG),2972.5
2024,11,Бусад,7627.3
2024,12,АИ-92 бензин,102823.0
2024,12,АИ-95 бензин,2905.0
2024,12,Дизель түлш,161342.0
2024,12,Онгоцны түлш ТС-1,11363.0
2024,12,Шингэрүүлсэн шатдаг хий (LPG),3745.0
2024,12,Бусад,11235.0
2025,1,АИ-92 бензин,90482.0
2025,1,АИ-95 бензин,1487.0
2025,1,Дизель түлш,183926.0
2025,1,Онгоцны түлш ТС-1,10152.0
2025,1,Шингэрүүлсэн шатдаг хий (LPG),4197.0
2025,1,Бусад,6071.0
2025,2,АИ-92 бензин,66749.0
2025,2,АИ-95 бензин,1467.0
2025,2,Дизель түлш,154191.0
2025,2,Онгоцны түлш ТС-1,5092.0
2025,2,Шингэрүүлсэн шатдаг хий (LPG),2786.0
2025,2,Бусад,6042.0
2025,3,АИ-92 бензин,67438.0
2025,3,АИ-95 бензин,1950.0
2025,3,Дизель түлш,127439.0
2025,3,Онгоцны түлш ТС-1,8241.0
2025,3,Шингэрүүлсэн шатдаг хий (LPG),4620.0
2025,3,Бусад,6480.0
2025,4,АИ-92 бензин,48497.0
2025,4,АИ-95 бензин,339.0
2025,4,Дизель түлш,140578.0
2025,4,Онгоцны түлш ТС-1,11201.0
2025,4,Шингэрүүлсэн шатдаг хий (LPG),2957.0
2025,4,Бусад,15853.0
2025,5,АИ-92 бензин,58478.0
2025,5,АИ-95 бензин,1401.0
2025,5,Дизель түлш,112022.0
2025,5,Онгоцны түлш ТС-1,2624.0
2025,5,Шингэрүүлсэн шатдаг хий (LPG),3324.0
2025,5,Бусад,17850.0
2025,6,АИ-92 бензин,68871.0
2025,6,АИ-95 бензин,694.0
2025,6,Дизель түлш,125025.0
2025,6,Онгоцны түлш ТС-1,7201.0
2025,6,Шингэрүүлсэн шатдаг хий (LPG),1078.0
2025,6,Бусад,24463.0
2025,7,АИ-92 бензин,76949.0
2025,7,АИ-95 бензин,1376.0
2025,7,Дизель түлш,153359.0
2025,7,Онгоцны түлш ТС-1,6512.0
2025,7,Шингэрүүлсэн шатдаг хий (LPG),5357.0
2025,7,Бусад,16140.0
2025,8,АИ-92 бензин,70337.0
2025,8,АИ-95 бензин,1188.0
2025,8,Дизель түлш,199924.0
2025,8,Онгоцны түлш ТС-1,10770.0
2025,8,Шингэрүүлсэн шатдаг хий (LPG),6566.0
2025,8,Бусад,18454.0
2025,9,АИ-92 бензин,70444.0
2025,9,АИ-95 бензин,2704.0
2025,9,Дизель түлш,164054.0
2025,9,Онгоцны түлш ТС-1,3173.0
2025,9,Шингэрүүлсэн шатдаг хий (LPG),8108.0
2025,9,Бусад,19944.0
2025,10,АИ-92 бензин,58721.0
2025,10,АИ-95 бензин,563.0
2025,10,Дизель түлш,138853.0
2025,10,Онгоцны түлш ТС-1,4378.0
2025,10,Шингэрүүлсэн шатдаг хий (LPG),3239.0
2025,10,Бусад,13393.0
2025,11,АИ-92 бензин,71445.0
2025,11,АИ-95 бензин,2425.0
2025,11,Дизель түлш,129576.0
2025,11,Онгоцны түлш ТС-1,4888.0
2025,11,Шингэрүүлсэн шатдаг хий (LPG),3126.0
2025,11,Бусад,6149.0
2025,12,АИ-92 бензин,79746.0
2025,12,АИ-95 бензин,4944.0
2025,12,Дизель түлш,205572.0
2025,12,Онгоцны түлш ТС-1,11420.0
2025,12,Шингэрүүлсэн шатдаг хий (LPG),3786.0
2025,12,Бусад,3912.0
2026,1,АИ-92 бензин,108024.0
2026,1,АИ-95 бензин,3043.0
2026,1,Дизель түлш,145938.0
2026,1,Онгоцны түлш ТС-1,3078.0
2026,1,Шингэрүүлсэн шатдаг хий (LPG),4054.0
2026,1,Бусад,3715.0
2026,2,АИ-92 бензин,109088.0
2026,2,АИ-95 бензин,2733.0
2026,2,Дизель түлш,155889.0
2026,2,Онгоцны түлш ТС-1,5406.0
2026,2,Шингэрүүлсэн шатдаг хий (LPG),4294.0
2026,2,Бусад,2517.0
2026,3,АИ-92 бензин,95139.0
2026,3,АИ-95 бензин,4547.0
2026,3,Дизель түлш,170527.0
2026,3,Онгоцны түлш ТС-1,6197.0
2026,3,Шингэрүүлсэн шатдаг хий (LPG),4706.0
2026,3,Бусад,7075.0
2026,4,АИ-92 бензин,56263.0
2026,4,АИ-95 бензин,1794.0
2026,4,Дизель түлш,195589.0
2026,4,Онгоцны түлш ТС-1,11588.0
2026,4,Шингэрүүлсэн шатдаг хий (LPG),4409.0
2026,4,Бусад,14453.0
2026,5,АИ-92 бензин,71139.0
2026,5,АИ-95 бензин,913.0
2026,5,Дизель түлш,163866.0
2026,5,Онгоцны түлш ТС-1,8883.0
2026,5,Шингэрүүлсэн шатдаг хий (LPG),3043.0
2026,5,Бусад,16975.0
2026,6,АИ-92 бензин,57874.0
2026,6,АИ-95 бензин,
2026,6,Дизель түлш,136448.0
2026,6,Онгоцны түлш ТС-1,5253.0
2026,6,Шингэрүүлсэн шатдаг хий (LPG),4043.0
2026,6,Бусад,17957.0
