year,month,production_barrels,export_barrels
2021,1,527156.0,518973.0
2021,2,469647.0,435559.0
2021,3,511305.0,466990.0
2021,4,496623.0,468414.0
2021,5,504353.0,487367.0
2021,6,482461.0,480475.0
2021,7,501112.0,425415.0
2021,8,414776.0,341637.0
2021,9,51634.0,81278.0
2021,10,284781.0,329572.0
2021,11,389883.0,312552.0
2021,12,33623.0,
2022,1,17544.0,
2022,2,9921.0,
2022,3,9257.0,
2022,4,1001.0,
2022,5,1290.0,
2022,6,38184.0,114102.0
2022,7,351008.0,359232.0
2022,8,457301.0,492619.0
2022,9,424986.0,428311.0
2022,10,417283.0,364645.0
2022,11,410196.0,432823.0
2022,12,428119.0,414179.0
2023,1,430818.0,393310.0
2023,2,372459.0,368363.0
2023,3,402959.0,418535.0
2023,4,404405.0,394184.0
2023,5,427315.0,415226.0
2023,6,415056.0,395403.0
2023,7,422488.0,402896.0
2023,8,421268.0,384390.0
2023,9,409946.0,385602.0
2023,10,411238.0,437777.0
2023,11,382824.0,359696.0
2023,12,388303.0,376755.0
2024,1,372568.0,383253.0
2024,2,353716.0,324742.0
2024,3,367604.0,354380.0
2024,4,353608.0,345206.0
2024,5,356826.0,346573.0
2024,6,331178.0,335746.0
2024,7,337318.0,315416.0
2024,8,350564.0,358505.0
2024,9,331286.0,336406.0
2024,10,346663.0,344649.0
2024,11,342334.0,328206.0
2024,12,344625.0,294567.0
2025,1,317091.0,284063.0
2025,2,298844.0,311504.0
2025,3,327015.0,322496.0
2025,4,308528.0,255271.0
2025,5,316317.0,283159.0
2025,6,309128.0,346300.0
2025,7,311758.0,296975.0
2025,8,306600.0,298486.0
2025,9,304692.0,272993.0
2025,10,322155.0,315945.0
2025,11,312569.0,273827.0
2025,12,322625.0,271712.0
2026,1,313128.0,282829.0
2026,2,271742.0,236574.0
2026,3,301787.0,358416.0
2026,4,293874.0,271457.0
2026,5,297409.0,280061.0
2026,6,280726.0,287125.0
