Indicator,Month,value
I. CURRENT ACCOUNT,2026-05,-358.143
I. CURRENT ACCOUNT,2026-04,128.876
I. CURRENT ACCOUNT,2026-03,164.477
I. CURRENT ACCOUNT,2026-02,-62.855
I. CURRENT ACCOUNT,2026-01,80.231
I. CURRENT ACCOUNT,2025-12,129.9
I. CURRENT ACCOUNT,2025-11,-109.25
I. CURRENT ACCOUNT,2025-10,-71.22
I. CURRENT ACCOUNT,2025-09,72.68
I. CURRENT ACCOUNT,2025-08,-56.56
I. CURRENT ACCOUNT,2025-07,-333.01
I. CURRENT ACCOUNT,2025-06,-234.33
I. CURRENT ACCOUNT,2025-05,-281.14
I. CURRENT ACCOUNT,2025-04,-272.57
I. CURRENT ACCOUNT,2025-03,-300.03
I. CURRENT ACCOUNT,2025-02,-189.62
I. CURRENT ACCOUNT,2025-01,-474.8
I. CURRENT ACCOUNT,2024-12,-581.769
I. CURRENT ACCOUNT,2024-11,-102.049
I. CURRENT ACCOUNT,2024-10,-101.1
I. CURRENT ACCOUNT,2024-09,-503.722
I. CURRENT ACCOUNT,2024-08,-142.998
I. CURRENT ACCOUNT,2024-07,-96.452
I. CURRENT ACCOUNT,2024-06,22.731
I. CURRENT ACCOUNT,2024-05,-110.406
I. CURRENT ACCOUNT,2024-04,-332.709
I. CURRENT ACCOUNT,2024-03,143.801
I. CURRENT ACCOUNT,2024-02,-210.079
I. CURRENT ACCOUNT,2024-01,-470.682
I. CURRENT ACCOUNT,2023-12,-245.059
I. CURRENT ACCOUNT,2023-11,76.997
I. CURRENT ACCOUNT,2023-10,-140.674
I. CURRENT ACCOUNT,2023-09,134.319
I. CURRENT ACCOUNT,2023-08,-38.111
I. CURRENT ACCOUNT,2023-07,112.639
I. CURRENT ACCOUNT,2023-06,-162.627
I. CURRENT ACCOUNT,2023-05,-70.314
I. CURRENT ACCOUNT,2023-04,138.932
I. CURRENT ACCOUNT,2023-03,97.501
I. CURRENT ACCOUNT,2023-02,241.151
I. CURRENT ACCOUNT,2023-01,-23.487
I. CURRENT ACCOUNT,2022-12,-321.509
I. CURRENT ACCOUNT,2022-11,-12.518
I. CURRENT ACCOUNT,2022-10,-179.664
