Суурь он,Бүлэг,Сар,value
2015=100,Ерөнхий индекс,2025-11,
2015=100,Ерөнхий индекс,2025-10,
2015=100,Ерөнхий индекс,2025-09,
2015=100,Ерөнхий индекс,2025-08,
2015=100,Ерөнхий индекс,2025-07,
2015=100,Ерөнхий индекс,2025-06,
2015=100,Ерөнхий индекс,2025-05,
2015=100,Ерөнхий индекс,2025-04,
2015=100,Ерөнхий индекс,2025-03,
2015=100,Ерөнхий индекс,2025-02,
2015=100,Ерөнхий индекс,2025-01,
2015=100,Ерөнхий индекс,2024-12,
2015=100,Ерөнхий индекс,2024-11,
2015=100,Ерөнхий индекс,2024-10,
2015=100,Ерөнхий индекс,2024-09,
2015=100,Ерөнхий индекс,2024-08,
2015=100,Ерөнхий индекс,2024-07,
2015=100,Ерөнхий индекс,2024-06,
2015=100,Ерөнхий индекс,2024-05,
2015=100,Ерөнхий индекс,2024-04,
2015=100,Ерөнхий индекс,2024-03,
2015=100,Ерөнхий индекс,2024-02,
2015=100,Ерөнхий индекс,2024-01,
2015=100,Ерөнхий индекс,2023-12,
2015=100,Ерөнхий индекс,2023-11,
2015=100,Ерөнхий индекс,2023-10,
2015=100,Ерөнхий индекс,2023-09,
2015=100,Ерөнхий индекс,2023-08,
2015=100,Ерөнхий индекс,2023-07,
2015=100,Ерөнхий индекс,2023-06,
2015=100,Ерөнхий индекс,2023-05,
2015=100,Ерөнхий индекс,2023-04,
2015=100,Ерөнхий индекс,2023-03,
2015=100,Ерөнхий индекс,2023-02,
2015=100,Ерөнхий индекс,2023-01,
2015=100,Ерөнхий индекс,2022-12,
2015=100,Ерөнхий индекс,2022-11,
2015=100,Ерөнхий индекс,2022-10,
2015=100,Ерөнхий индекс,2022-09,
2015=100,Ерөнхий индекс,2022-08,
2015=100,Ерөнхий индекс,2022-07,0.6
2015=100,Ерөнхий индекс,2022-06,1.5
2015=100,Ерөнхий индекс,2022-05,1.4
2015=100,Ерөнхий индекс,2022-04,2.9
2015=100,Ерөнхий индекс,2022-03,-0.1
2015=100,Ерөнхий индекс,2022-02,0.1
2015=100,Ерөнхий индекс,2022-01,-0.5
2015=100,Ерөнхий индекс,2021-12,-1.8
2015=100,Ерөнхий индекс,2021-11,-2.1
2015=100,Ерөнхий индекс,2021-10,-0.2
2015=100,Ерөнхий индекс,2021-09,3.2
2015=100,Ерөнхий индекс,2021-08,1.1
2015=100,Ерөнхий индекс,2021-07,1.9
2015=100,Ерөнхий индекс,2021-06,6.0
2015=100,Ерөнхий индекс,2021-05,6.1
2015=100,Ерөнхий индекс,2021-04,2.7
2015=100,Ерөнхий индекс,2021-03,3.1
2015=100,Ерөнхий индекс,2021-02,1.9
2015=100,Ерөнхий индекс,2021-01,0.5
2015=100,Ерөнхий индекс,2020-12,0.4
2015=100,Ерөнхий индекс,2020-11,1.3
2015=100,Ерөнхий индекс,2020-10,1.3
2015=100,Ерөнхий индекс,2020-09,2.7
2015=100,Ерөнхий индекс,2020-08,0.6
