Гэмт хэргийн төрөл,Он,value
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2024,264
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2023,264
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2022,274
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2021,274
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2020,262
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2019,266
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2018,266
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2017,270
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2016,296
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2015,316
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2014,327
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2013,343
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2012,335
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2011,360
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2010,301
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2024,6916
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2023,7224
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2022,7968
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2021,6999
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2020,6806
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2019,6672
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2018,6936
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2017,7267
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2016,8503
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2015,8468
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2014,8365
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2013,7724
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2012,6671
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2011,5970
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2010,6020
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2024,91
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2023,118
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2022,76
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2021,82
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2020,53
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2019,35
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2018,34
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2017,30
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2016,45
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2015,58
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2014,57
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2013,52
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2012,37
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2011,23
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2010,32
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2024,408
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2023,464
