Statistical indicator,Division,Year,value
"GDP, at current prices",Total,2025,89937127.61
"GDP, at current prices",Total,2024,80663050.96
"GDP, at current prices",Total,2023,70441515.81
"GDP, at current prices",Total,2022,53851544.46
"GDP, at current prices",Total,2021,43555484.41
"GDP, at current prices",Total,2020,37453275.3
"GDP, at current prices",Total,2019,37839225.36
"GDP, at current prices",Total,2018,32582629.02
"GDP, at current prices",Total,2017,28010710.57
"GDP, at current prices",Total,2016,23931342.64
"GDP, at current prices",Total,2015,22894780.89
"GDP, at current prices",Total,2014,22227054.3
"GDP, at current prices",Total,2013,19174242.6
"GDP, at current prices",Total,2012,16688419.55
"GDP, at current prices",Total,2011,13173763.35
"GDP, at current prices",Total,2010,9756588.44
"GDP, at current prices",Total,2009,6590637.14
"GDP, at current prices",Total,2008,6555569.35
"GDP, at current prices",Total,2007,4956647.18
"GDP, at current prices",Total,2006,4027558.62
"GDP, at current prices",Total,2005,3041405.74
"GDP, at current prices",Total,2004,2361156.95
"GDP, at current prices",Total,2003,1829072.23
"GDP, at current prices",Total,2002,1550609.92
"GDP, at current prices",Total,2001,1391878.16
"GDP, at current prices",Total,2000,1224062.06
"GDP, at current prices",Total,1999,1080532.0
"GDP, at current prices",Total,1998,945461.18
"GDP, at current prices",Total,1997,932926.21
"GDP, at current prices",Total,1996,737996.6
"GDP, at current prices",Total,1995,651455.74
"GDP, at current prices",Total,1994,382103.23
"GDP, at current prices",Total,1993,227677.4
"GDP, at current prices",Total,1992,56130.27
"GDP, at current prices",Total,1991,22600.67
"GDP, at current prices",Total,1990,12803.93
"GDP, at current prices"," Agriculture, forestry, fishing and hunting",2025,8039329.45
"GDP, at current prices"," Agriculture, forestry, fishing and hunting",2024,5881104.41
"GDP, at current prices"," Agriculture, forestry, fishing and hunting",2023,6988223.0
"GDP, at current prices"," Agriculture, forestry, fishing and hunting",2022,7015700.27
"GDP, at current prices"," Agriculture, forestry, fishing and hunting",2021,5733284.28
"GDP, at current prices"," Agriculture, forestry, fishing and hunting",2020,4856063.0
"GDP, at current prices"," Agriculture, forestry, fishing and hunting",2019,4373602.54
"GDP, at current prices"," Agriculture, forestry, fishing and hunting",2018,3723544.32
"GDP, at current prices"," Agriculture, forestry, fishing and hunting",2017,3119618.18
"GDP, at current prices"," Agriculture, forestry, fishing and hunting",2016,3022012.54
"GDP, at current prices"," Agriculture, forestry, fishing and hunting",2015,3223402.72
"GDP, at current prices"," Agriculture, forestry, fishing and hunting",2014,2965360.5
"GDP, at current prices"," Agriculture, forestry, fishing and hunting",2013,2572044.9
"GDP, at current prices"," Agriculture, forestry, fishing and hunting",2012,1878786.37
"GDP, at current prices"," Agriculture, forestry, fishing and hunting",2011,1357866.8
"GDP, at current prices"," Agriculture, forestry, fishing and hunting",2010,1144697.86
"GDP, at current prices"," Agriculture, forestry, fishing and hunting",2009,1177380.29
"GDP, at current prices"," Agriculture, forestry, fishing and hunting",2008,1259660.83
"GDP, at current prices"," Agriculture, forestry, fishing and hunting",2007,913409.23
