Indicator,Total,Year,value
Revenue,Total,2025,30057666.1
Revenue,Total,2024,29670835.6
Revenue,Total,2023,23294889.9
Revenue,Total,2022,17126936.3
Revenue,Total,2021,12711434.7
Revenue,Total,2020,9463838.2
Revenue,Total,2019,10905510.8
Revenue,Total,2018,9345080.1
Revenue,Total,2017,7274861.6
Revenue,Total,2016,5835043.8
Revenue,Total,2015,5981064.0
Revenue,Total,2014,6276608.8
Revenue,Total,2013,5940066.7
Revenue,Total,2012,4881171.9
Revenue,Total,2011,4227178.1
Revenue,Total,2010,3122464.2
Revenue,Total,2009,1993995.6
Revenue,Total,2008,2170370.0
Revenue,Total,2007,1880488.9
Revenue,Total,2006,1360409.8
Revenue,Total,2005,837858.3
Revenue,Total,2004,713113.6
Revenue,Total,2003,553889.3
Revenue,Total,2002,477049.0
Revenue,Total,2001,439290.0
Revenue,Total,2000,347409.5
Revenue,Total,1999,266494.6
Revenue,Total,1998,239998.1
Revenue,Total,1997,222528.3
Revenue,Total,1996,162923.6
Revenue,Total,1995,144568.9
Revenue,Total,1994,86132.1
Revenue,Total,1993,57682.3
Revenue,Total,1992,12824.9
Revenue,Total,1991,7208.7
Revenue,Total,1990,6494.2
Revenue,Total,1989,6901.6
Revenue,Total,1988,6747.5
Revenue,Total,1987,6441.6
Revenue,Total,1986,6111.1
Revenue,Total,1985,5741.0
Revenue,Total,1984,4795.4
Revenue,Total,1983,5156.0
Revenue,Total,1982,4829.5
Revenue,Total,1981,4369.3
Revenue,Total,1980,4073.3
Revenue,Total,1979,3811.8
Revenue,Total,1978,3424.0
Revenue,Total,1977,3202.3
Revenue,Total,1976,3176.1
Revenue,Total,1975,2752.9
Revenue,Total,1974,2715.9
Revenue,Total,1973,2677.7
Revenue,Total,1972,2245.5
Revenue,Total,1971,2139.5
Revenue,Total,1970,1965.0
Revenue,Total,1969,1878.5
Revenue,Total,1968,1797.1
Revenue,Total,1967,1759.9
Revenue,Total,1966,1643.2
Revenue,Total,1965,1544.1
Revenue,Total,1964,1478.9
Revenue,Total,1963,1334.9
Revenue,Total,1962,1285.2
Revenue,Total,1961,1252.0
Revenue,Total,1960,1067.1
Revenue,Total,1959,873.1
Revenue,Total,1958,770.3
Revenue,Total,1957,643.2
Revenue,Total,1956,520.4
Revenue,Total,1955,466.6
Revenue,Total,1954,398.4
Revenue,Total,1953,383.0
Revenue,Total,1952,389.7
Revenue,Total,1951,345.7
Revenue,Total,1950,322.5
Revenue,Total,1949,318.7
Revenue,Total,1948,319.1
Revenue,Total,1947,302.8
Revenue,Total,1946,284.5
Revenue,Total,1945,315.2
Revenue,Total,1944,249.0
Revenue,Total,1943,208.7
Revenue,Total,1942,174.1
Revenue,Total,1941,176.8
Revenue,Total,1940,123.9
Revenue,Total,1939,102.5
Revenue,Total,1938,92.0
Revenue,Total,1937,69.4
Revenue,Total,1936,53.4
Revenue,Total,1935,38.1
Revenue,Total,1934,38.9
Revenue,Total,1933,33.3
Revenue,Total,1932,35.6
Revenue,Total,1931,35.0
Revenue,Total,1930,27.4
Revenue,Total,1929,19.9
Revenue,Total,1928,15.8
Revenue,Total,1927,15.7
Revenue,Total,1926,11.0
Revenue,Total,1925,8.0
Revenue,Total,1924,6.9
Revenue,Total,1923,4.3
