Region,Indicator,Year,value
Total,Total,2025,29465.0
Total,Total,2024,30117.0
Total,Total,2023,29443.0
Total,Total,2022,29629.0
Total,Total,2021,35310.0
Total,Total,2020,27083.0
Total,Total,2019,25661.0
Total,Total,2018,24884.0
Total,Total,2017,23897.0
Total,Total,2016,22960.0
Total,Total,2015,21720.0
Total, Internal medicine,2025,7635.0
Total, Internal medicine,2024,7564.0
Total, Internal medicine,2023,9637.0
Total, Internal medicine,2022,9207.0
Total, Internal medicine,2021,8182.0
Total, Internal medicine,2020,7886.0
Total, Internal medicine,2019,7855.0
Total, Internal medicine,2018,7706.0
Total, Internal medicine,2017,7379.0
Total, Internal medicine,2016,6610.0
Total, Internal medicine,2015,6610.0
Total, Surgery,2025,2265.0
Total, Surgery,2024,2293.0
Total, Surgery,2023,1867.0
Total, Surgery,2022,1883.0
Total, Surgery,2021,1837.0
Total, Surgery,2020,1906.0
Total, Surgery,2019,1687.0
Total, Surgery,2018,1716.0
Total, Surgery,2017,1652.0
Total, Surgery,2016,1473.0
Total, Surgery,2015,1473.0
Total, Obstetrics,2025,1947.0
Total, Obstetrics,2024,1857.0
Total, Obstetrics,2023,1873.0
Total, Obstetrics,2022,1818.0
Total, Obstetrics,2021,1809.0
Total, Obstetrics,2020,1834.0
Total, Obstetrics,2019,1808.0
Total, Obstetrics,2018,1828.0
Total, Obstetrics,2017,1828.0
Total, Obstetrics,2016,1738.0
Total, Obstetrics,2015,1738.0
Total, Gyneacology,2025,1353.0
Total, Gyneacology,2024,1663.0
Total, Gyneacology,2023,1229.0
Total, Gyneacology,2022,1309.0
Total, Gyneacology,2021,1726.0
Total, Gyneacology,2020,1333.0
Total, Gyneacology,2019,1258.0
Total, Gyneacology,2018,1215.0
Total, Gyneacology,2017,1177.0
Total, Gyneacology,2016,1083.0
Total, Gyneacology,2015,1083.0
Total, Pediatrics,2025,4094.0
Total, Pediatrics,2024,4134.0
Total, Pediatrics,2023,3940.0
Total, Pediatrics,2022,3929.0
Total, Pediatrics,2021,3737.0
Total, Pediatrics,2020,3642.0
Total, Pediatrics,2019,3603.0
Total, Pediatrics,2018,3275.0
Total, Pediatrics,2017,3086.0
Total, Pediatrics,2016,2758.0
Total, Pediatrics,2015,2758.0
Total, Infections,2025,1112.0
Total, Infections,2024,1109.0
Total, Infections,2023,1158.0
Total, Infections,2022,1983.0
Total, Infections,2021,9116.0
Total, Infections,2020,1085.0
Total, Infections,2019,1052.0
Total, Infections,2018,1035.0
Total, Infections,2017,1042.0
Total, Infections,2016,1030.0
Total, Infections,2015,1030.0
Total, Dermatology,2025,363.0
Total, Dermatology,2024,369.0
Total, Dermatology,2023,377.0
Total, Dermatology,2022,383.0
Total, Dermatology,2021,363.0
Total, Dermatology,2020,439.0
Total, Dermatology,2019,443.0
Total, Dermatology,2018,426.0
Total, Dermatology,2017,428.0
Total, Dermatology,2016,358.0
Total, Dermatology,2015,358.0
Total, Tuberculosis,2025,509.0
Total, Tuberculosis,2024,510.0
Total, Tuberculosis,2023,523.0
Total, Tuberculosis,2022,547.0
Total, Tuberculosis,2021,482.0
Total, Tuberculosis,2020,534.0
Total, Tuberculosis,2019,525.0
Total, Tuberculosis,2018,518.0
Total, Tuberculosis,2017,524.0
Total, Tuberculosis,2016,533.0
Total, Tuberculosis,2015,533.0
Total, Neurology,2025,2180.0
Total, Neurology,2024,3068.0
Total, Neurology,2023,1652.0
Total, Neurology,2022,1806.0
Total, Neurology,2021,1718.0
Total, Neurology,2020,1913.0
Total, Neurology,2019,1823.0
Total, Neurology,2018,1786.0
Total, Neurology,2017,1704.0
Total, Neurology,2016,1522.0
Total, Neurology,2015,1522.0
Total, Psychiatry & narcology,2025,1014.0
Total, Psychiatry & narcology,2024,992.0
Total, Psychiatry & narcology,2023,960.0
Total, Psychiatry & narcology,2022,936.0
Total, Psychiatry & narcology,2021,841.0
Total, Psychiatry & narcology,2020,822.0
Total, Psychiatry & narcology,2019,789.0
Total, Psychiatry & narcology,2018,784.0
Total, Psychiatry & narcology,2017,764.0
Total, Psychiatry & narcology,2016,705.0
Total, Psychiatry & narcology,2015,705.0
Total, Traumatology,2025,1222.0
Total, Traumatology,2024,1148.0
Total, Traumatology,2023,1147.0
Total, Traumatology,2022,971.0
Total, Traumatology,2021,881.0
Total, Traumatology,2020,1026.0
Total, Traumatology,2019,954.0
Total, Traumatology,2018,925.0
Total, Traumatology,2017,873.0
Total, Traumatology,2016,838.0
Total, Traumatology,2015,838.0
Total, Nephrology,2025,131.0
Total, Nephrology,2024,182.0
Total, Nephrology,2023,151.0
Total, Nephrology,2022,211.0
Total, Nephrology,2021,119.0
Total, Nephrology,2020,122.0
Total, Nephrology,2019,157.0
Total, Nephrology,2018,157.0
Total, Nephrology,2017,145.0
Total, Nephrology,2016,168.0
Total, Nephrology,2015,168.0
Total, Urology,2025,95.0
Total, Urology,2024,105.0
Total, Urology,2023,94.0
Total, Urology,2022,90.0
Total, Urology,2021,68.0
Total, Urology,2020,82.0
Total, Urology,2019,86.0
Total, Urology,2018,76.0
Total, Urology,2017,74.0
Total, Urology,2016,95.0
Total, Urology,2015,95.0
Total, Anaesthesiology,2025,518.0
Total, Anaesthesiology,2024,518.0
Total, Anaesthesiology,2023,479.0
Total, Anaesthesiology,2022,466.0
Total, Anaesthesiology,2021,443.0
Total, Anaesthesiology,2020,389.0
Total, Anaesthesiology,2019,354.0
Total, Anaesthesiology,2018,342.0
Total, Anaesthesiology,2017,342.0
Total, Anaesthesiology,2016,339.0
Total, Anaesthesiology,2015,339.0
Total, Ophtalmology,2025,159.0
Total, Ophtalmology,2024,183.0
Total, Ophtalmology,2023,200.0
Total, Ophtalmology,2022,196.0
Total, Ophtalmology,2021,219.0
Total, Ophtalmology,2020,236.0
Total, Ophtalmology,2019,222.0
Total, Ophtalmology,2018,224.0
Total, Ophtalmology,2017,238.0
Total, Ophtalmology,2016,230.0
Total, Ophtalmology,2015,230.0
Total, Otorhinolaryngology,2025,289.0
Total, Otorhinolaryngology,2024,287.0
Total, Otorhinolaryngology,2023,312.0
Total, Otorhinolaryngology,2022,314.0
Total, Otorhinolaryngology,2021,284.0
Total, Otorhinolaryngology,2020,304.0
Total, Otorhinolaryngology,2019,274.0
Total, Otorhinolaryngology,2018,257.0
Total, Otorhinolaryngology,2017,250.0
Total, Otorhinolaryngology,2016,244.0
Total, Otorhinolaryngology,2015,244.0
Total, Dentist & stamatology,2025,88.0
Total, Dentist & stamatology,2024,86.0
Total, Dentist & stamatology,2023,91.0
Total, Dentist & stamatology,2022,93.0
Total, Dentist & stamatology,2021,94.0
Total, Dentist & stamatology,2020,99.0
Total, Dentist & stamatology,2019,90.0
Total, Dentist & stamatology,2018,90.0
Total, Dentist & stamatology,2017,84.0
Total, Dentist & stamatology,2016,87.0
Total, Dentist & stamatology,2015,81.0
Total, Oncology,2025,269.0
Total, Oncology,2024,247.0
Total, Oncology,2023,206.0
Total, Oncology,2022,214.0
Total, Oncology,2021,191.0
Total, Oncology,2020,191.0
Total, Oncology,2019,178.0
Total, Oncology,2018,166.0
Total, Oncology,2017,186.0
Total, Oncology,2016,189.0
Total, Oncology,2015,176.0
Total, Traditional medicine,2025,2638.0
Total, Traditional medicine,2024,2113.0
Total, Traditional medicine,2023,1966.0
Total, Traditional medicine,2022,1798.0
Total, Traditional medicine,2021,1508.0
Total, Traditional medicine,2020,1838.0
Total, Traditional medicine,2019,1571.0
Total, Traditional medicine,2018,1515.0
Total, Traditional medicine,2017,1380.0
Total, Traditional medicine,2016,1398.0
Total, Traditional medicine,2015,1145.0
Total, Palliative care,2025,493.0
Total, Palliative care,2024,486.0
Total, Palliative care,2023,409.0
Total, Palliative care,2022,434.0
Total, Palliative care,2021,380.0
Total, Palliative care,2020,350.0
Total, Palliative care,2019,305.0
Total, Palliative care,2018,305.0
Total, Palliative care,2017,253.0
Total, Palliative care,2016,216.0
Total, Palliative care,2015,146.0
Total, Other,2025,1091.0
Total, Other,2024,1203.0
Total, Other,2023,1172.0
Total, Other,2022,1041.0
Total, Other,2021,1312.0
Total, Other,2020,1052.0
Total, Other,2019,627.0
Total, Other,2018,538.0
Total, Other,2017,488.0
Total, Other,2016,1346.0
Total, Other,2015,448.0
 Western region,Total,2025,3372.0
 Western region,Total,2024,3546.0
 Western region,Total,2023,3524.0
 Western region,Total,2022,3497.0
 Western region,Total,2021,4161.0
 Western region,Total,2020,3477.0
 Western region,Total,2019,3006.0
 Western region,Total,2018,2968.0
 Western region,Total,2017,2939.0
 Western region,Total,2016,2878.0
 Western region,Total,2015,2643.0
 Western region, Internal medicine,2025,1062.0
 Western region, Internal medicine,2024,1089.0
 Western region, Internal medicine,2023,1107.0
 Western region, Internal medicine,2022,1109.0
 Western region, Internal medicine,2021,1067.0
 Western region, Internal medicine,2020,1092.0
 Western region, Internal medicine,2019,1024.0
 Western region, Internal medicine,2018,1042.0
 Western region, Internal medicine,2017,1020.0
 Western region, Internal medicine,2016,890.0
 Western region, Internal medicine,2015,890.0
 Western region, Surgery,2025,179.0
 Western region, Surgery,2024,192.0
 Western region, Surgery,2023,199.0
 Western region, Surgery,2022,199.0
