Дэд салбар,Сар,value
Нийт дүн,2026-03,5999641.3
Нийт дүн,2026-02,5286055.3
Нийт дүн,2026-01,5120473.0
Нийт дүн,2025-12,5776627.4
Нийт дүн,2025-11,5236350.3
Нийт дүн,2025-10,5284475.2
Нийт дүн,2025-09,4961821.1
Нийт дүн,2025-08,4849317.4
Нийт дүн,2025-07,4363733.3
Нийт дүн,2025-06,3856777.2
Нийт дүн,2025-05,4458207.4
Нийт дүн,2025-04,4017367.2
Нийт дүн,2025-03,3442037.2
Нийт дүн,2025-02,3284362.1
Нийт дүн,2025-01,3448816.4
Нийт дүн,2024-12,4085657.5
Нийт дүн,2024-11,4072330.4
Нийт дүн,2024-10,4536347.4
Нийт дүн,2024-09,4158294.1
Нийт дүн,2024-08,4067888.9
Нийт дүн,2024-07,4091190.8
Нийт дүн,2024-06,4689480.0
Нийт дүн,2024-05,4788282.3
Нийт дүн,2024-04,4390635.7
Нийт дүн,2024-03,4321306.7
Нийт дүн,2024-02,3684012.4
Нийт дүн,2024-01,3647124.1
Нийт дүн,2023-12,3816709.5
Нийт дүн,2023-11,3770525.9
Нийт дүн,2023-10,3646484.9
Нийт дүн,2023-09,3716420.0
Нийт дүн,2023-08,3769962.1
Нийт дүн,2023-07,2972650.9
Нийт дүн,2023-06,3108367.0
Нийт дүн,2023-05,3069472.2
Нийт дүн,2023-04,3070490.9
Нийт дүн,2023-03,3085048.0
Нийт дүн,2023-02,2655804.2
Нийт дүн,2023-01,2931287.9
Нийт дүн,2022-12,2782861.7
Нийт дүн,2022-11,2624473.2
Нийт дүн,2022-10,2807774.6
Нийт дүн,2022-09,2573767.7
Нийт дүн,2022-08,2557286.7
Нийт дүн,2022-07,1893466.4
Нийт дүн,2022-06,2027321.9
Нийт дүн,2022-05,1841489.0
Нийт дүн,2022-04,1705560.0
Нийт дүн,2022-03,1423055.8
Нийт дүн,2022-02,1300231.9
Нийт дүн,2022-01,1651918.6
Нийт дүн,2021-12,1542715.6
Нийт дүн,2021-11,1530513.7
Нийт дүн,2021-10,1617495.4
Нийт дүн,2021-09,1444494.0
Нийт дүн,2021-08,1465255.4
Нийт дүн,2021-07,1407842.5
Нийт дүн,2021-06,1600803.4
Нийт дүн,2021-05,1675331.1
Нийт дүн,2021-04,1449463.5
Нийт дүн,2021-03,1539529.6
Нийт дүн,2021-02,1289080.0
Нийт дүн,2021-01,1355627.8
Нийт дүн,2020-12,1801591.4
Нийт дүн,2020-11,1730039.3
Нийт дүн,2020-10,1912147.8
Нийт дүн,2020-09,1672282.7
Нийт дүн,2020-08,1420357.8
Нийт дүн,2020-07,1404851.3
Нийт дүн,2020-06,1379986.4
Нийт дүн,2020-05,1208280.9
Нийт дүн,2020-04,955617.8
Нийт дүн,2020-03,1030464.4
Нийт дүн,2020-02,1050837.9
Нийт дүн,2020-01,1171525.4
Нийт дүн,2019-12,1277466.0
Нийт дүн,2019-11,1563001.9
Нийт дүн,2019-10,1669821.6
Нийт дүн,2019-09,1598711.9
Нийт дүн,2019-08,1666466.6
Нийт дүн,2019-07,1543399.2
Нийт дүн,2019-06,1514871.2
Нийт дүн,2019-05,1746058.0
Нийт дүн,2019-04,1513297.8
Нийт дүн,2019-03,1451785.2
Нийт дүн,2019-02,1284130.9
Нийт дүн,2019-01,1383301.9
Нийт дүн,2018-12,1417261.5
Нийт дүн,2018-11,1417741.3
Нийт дүн,2018-10,1606281.1
Нийт дүн,2018-09,1433043.2
Нийт дүн,2018-08,1298162.0
Нийт дүн,2018-07,1248500.0
Нийт дүн,2018-06,1498993.7
Нийт дүн,2018-05,1507600.5
Нийт дүн,2018-04,1270383.2
Нийт дүн,2018-03,1217192.5
Нийт дүн,2018-02,996946.1
Нийт дүн,2018-01,1151617.4
Нийт дүн,2017-12,1104169.7
Нийт дүн,2017-11,1127627.3
Нийт дүн,2017-10,1298474.2
Нийт дүн,2017-09,1283334.2
"    Уул уурхай, олборлолт",2026-03,5042751.2
"    Уул уурхай, олборлолт",2026-02,4373472.2
"    Уул уурхай, олборлолт",2026-01,4167087.2
"    Уул уурхай, олборлолт",2025-12,4695524.5
"    Уул уурхай, олборлолт",2025-11,4247592.0
"    Уул уурхай, олборлолт",2025-10,4187688.2
"    Уул уурхай, олборлолт",2025-09,3846040.0
"    Уул уурхай, олборлолт",2025-08,3772363.5
"    Уул уурхай, олборлолт",2025-07,3559925.9
"    Уул уурхай, олборлолт",2025-06,2916711.3
"    Уул уурхай, олборлолт",2025-05,3564331.8
"    Уул уурхай, олборлолт",2025-04,3246276.0
"    Уул уурхай, олборлолт",2025-03,2727641.1
"    Уул уурхай, олборлолт",2025-02,2453567.7
"    Уул уурхай, олборлолт",2025-01,2616568.4
"    Уул уурхай, олборлолт",2024-12,3169915.0
"    Уул уурхай, олборлолт",2024-11,3222859.9
"    Уул уурхай, олборлолт",2024-10,3682366.3
"    Уул уурхай, олборлолт",2024-09,3336305.8
"    Уул уурхай, олборлолт",2024-08,3257336.1
"    Уул уурхай, олборлолт",2024-07,3292789.8
"    Уул уурхай, олборлолт",2024-06,3804763.3
"    Уул уурхай, олборлолт",2024-05,3924215.1
"    Уул уурхай, олборлолт",2024-04,3685607.4
"    Уул уурхай, олборлолт",2024-03,3627522.3
"    Уул уурхай, олборлолт",2024-02,3059732.0
"    Уул уурхай, олборлолт",2024-01,2863211.2
"    Уул уурхай, олборлолт",2023-12,2873199.9
"    Уул уурхай, олборлолт",2023-11,2938139.3
"    Уул уурхай, олборлолт",2023-10,2814735.1
"    Уул уурхай, олборлолт",2023-09,2941353.1
"    Уул уурхай, олборлолт",2023-08,2916481.8
"    Уул уурхай, олборлолт",2023-07,2217623.7
"    Уул уурхай, олборлолт",2023-06,2280996.1
"    Уул уурхай, олборлолт",2023-05,2303974.5
"    Уул уурхай, олборлолт",2023-04,2433935.0
"    Уул уурхай, олборлолт",2023-03,2450987.4
"    Уул уурхай, олборлолт",2023-02,2053581.9
"    Уул уурхай, олборлолт",2023-01,2280564.1
"    Уул уурхай, олборлолт",2022-12,2058383.0
"    Уул уурхай, олборлолт",2022-11,2044544.4
"    Уул уурхай, олборлолт",2022-10,2158102.5
"    Уул уурхай, олборлолт",2022-09,2008461.2
"    Уул уурхай, олборлолт",2022-08,1972263.0
"    Уул уурхай, олборлолт",2022-07,1384752.3
"    Уул уурхай, олборлолт",2022-06,1360595.3
"    Уул уурхай, олборлолт",2022-05,1197333.6
"    Уул уурхай, олборлолт",2022-04,1196930.6
"    Уул уурхай, олборлолт",2022-03,973513.9
"    Уул уурхай, олборлолт",2022-02,895146.4
"    Уул уурхай, олборлолт",2022-01,1116569.9
"    Уул уурхай, олборлолт",2021-12,899132.9
"    Уул уурхай, олборлолт",2021-11,995514.5
"    Уул уурхай, олборлолт",2021-10,1137500.6
"    Уул уурхай, олборлолт",2021-09,1020126.0
"    Уул уурхай, олборлолт",2021-08,1037176.9
"    Уул уурхай, олборлолт",2021-07,1022565.7
"    Уул уурхай, олборлолт",2021-06,1057418.2
