Насны бүлэг,Бүс,Хүйс,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
Бүгд,Улсын дүн,Нийт,1441090,1367319,1370594,1317425,1340014,1362472,1358654,1357444,1275658,1243887,1206555,1198308,1151181,1124699,1147162,1137858,1071555,1054002,1042848,1001241,986360,959873,901658,872655,847560,853326,842407,819733,825023,812745,834641,837276,860067
Бүгд,Улсын дүн,Эрэгтэй,785408,744996,744739,720166,720834,734052,730599,721945,683263,658369,638715,626596,600631,595541,606851,595023,524964,517134,506030,493937,483343,484141,454283,443081,434760,445038,437958,423294,431911,428493,430204,429460,446027
Бүгд,Улсын дүн,Эмэгтэй,655682,622323,625855,597259,619180,628420,628055,635499,592395,585518,567840,571712,550550,529158,540311,542835,546591,536868,536818,507304,503017,475732,447375,429574,412800,408288,404449,396439,393112,384252,404437,407816,414040
Бүгд,Баруун бүс,Нийт,187314,186664,178095,177187,166524,171943,193762,194005,180615,183542,178199,179788,196892,188146,187938,188568,164276,170648,175960,173659,172615,174876,172320,174091,170030,177612,181986,178669,178923,171302,174076,170538,177562
Бүгд,Баруун бүс,Эрэгтэй,100730,101775,97387,97155,87222,90412,102773,101799,94665,95297,92485,93592,102336,97883,96832,97198,83614,86732,87704,87763,86830,89786,87649,88690,87956,91130,94398,92231,92845,90252,89556,86315,91917
Бүгд,Баруун бүс,Эмэгтэй,86584,84889,80708,80032,79302,81531,90989,92206,85950,88245,85714,86196,94556,90263,91106,91370,80662,83916,88256,85896,85785,85090,84671,85401,82074,86482,87588,86438,86078,81050,84520,84223,85645
Бүгд,Баян-Өлгий,Нийт,41479,41521,40530,30656,25708,26164,55771,53153,43939,49490,46384,44815,51459,45163,43351,43914,33790,34553,34774,34188,35619,35284,34199,35441,30419,32909,32984,30378,25832,26022,29803,27396,32936
Бүгд,Баян-Өлгий,Эрэгтэй,22706,23173,22657,18723,14389,13740,28947,28734,23733,25360,24184,23113,26068,23573,22635,22732,17653,18148,17863,18147,18760,19201,18865,18756,15995,17510,18108,16396,14828,15229,15498,15054,17834
Бүгд,Баян-Өлгий,Эмэгтэй,18774,18348,17873,11933,11319,12423,26824,24419,20206,24130,22200,21702,25391,21590,20716,21182,16137,16405,16911,16041,16859,16083,15334,16685,14424,15399,14876,13982,11004,10793,14305,12342,15102
Бүгд,Говь-Алтай,Нийт,29537,28061,27708,28190,26953,29147,28628,28335,26402,27456,26662,26794,30441,27388,30985,29332,25467,26330,31290,30833,30618,30310,30278,30460,30882,32241,32641,32018,31313,29665,29042,27636,28873
