Region,Month,value
Total,2026-03,4089
Total,2026-02,4467
Total,2026-01,4262
Total,2025-12,4436
Total,2025-11,4403
Total,2025-10,4565
Total,2025-09,4552
Total,2025-08,4516
Total,2025-07,4664
Total,2025-06,4445
Total,2025-05,4542
Total,2025-04,4532
Total,2025-03,4543
Total,2025-02,4264
Total,2025-01,4675
Total,2024-12,4695
Total,2024-11,4773
Total,2024-10,4860
Total,2024-09,4771
Total,2024-08,4860
Total,2024-07,4951
Total,2024-06,4688
Total,2024-05,5028
Total,2024-04,4886
Total,2024-03,4902
Total,2024-02,4688
Total,2024-01,4654
Total,2023-12,4922
Total,2023-11,5328
Total,2023-10,5023
Total,2023-09,5143
Total,2023-08,5358
Total,2023-07,5528
Total,2023-06,5350
Total,2023-05,5610
Total,2023-04,5592
Total,2023-03,5929
Total,2023-02,4975
Total,2023-01,5548
Total,2022-12,5916
Total,2022-11,5552
Total,2022-10,6034
Total,2022-09,6035
Total,2022-08,6045
Total,2022-07,5784
Total,2022-06,5429
Total,2022-05,5562
Total,2022-04,5444
Total,2022-03,5483
Total,2022-02,3950
Total,2022-01,4352
Total,2021-12,5252
Total,2021-11,5556
Total,2021-10,5955
Total,2021-09,6077
Total,2021-08,5783
Total,2021-07,6435
Total,2021-06,6361
Total,2021-05,6281
Total,2021-04,6207
Total,2021-03,6357
Total,2021-02,5624
Total,2021-01,5771
Total,2020-12,6347
Total,2020-11,6077
Total,2020-10,6347
Total,2020-09,6220
Total,2020-08,6586
Total,2020-07,6815
Total,2020-06,6276
Total,2020-05,6478
Total,2020-04,6452
Total,2020-03,6688
Total,2020-02,5715
Total,2020-01,6260
Total,2019-12,6601
Total,2019-11,6352
Total,2019-10,6745
Total,2019-09,6597
Total,2019-08,6620
Total,2019-07,6947
Total,2019-06,6387
Total,2019-05,6899
Total,2019-04,6723
Total,2019-03,6527
Total,2019-02,5824
Total,2019-01,6001
Total,2018-12,6568
Total,2018-11,6444
Total,2018-10,6554
Total,2018-09,6284
Total,2018-08,6729
Total,2018-07,6638
Total,2018-06,6525
Total,2018-05,6476
Total,2018-04,6639
Total,2018-03,6654
Total,2018-02,5746
Total,2018-01,6271
Total,2017-12,6533
Total,2017-11,6608
Total,2017-10,6447
Total,2017-09,6176
Total,2017-08,6319
Total,2017-07,6709
Total,2017-06,6393
Total,2017-05,6353
Total,2017-04,6148
Total,2017-03,6369
Total,2017-02,4771
Total,2017-01,5502
Total,2016-12,5994
Total,2016-11,6305
Total,2016-10,6575
Total,2016-09,6560
Total,2016-08,6944
Total,2016-07,6949
Total,2016-06,6651
Total,2016-05,6816
Total,2016-04,6259
Total,2016-03,6682
Total,2016-02,6155
Total,2016-01,6304
 Western region,2026-03,583
 Western region,2026-02,490
 Western region,2026-01,614
 Western region,2025-12,600
 Western region,2025-11,535
 Western region,2025-10,591
 Western region,2025-09,608
 Western region,2025-08,611
 Western region,2025-07,626
 Western region,2025-06,584
 Western region,2025-05,582
 Western region,2025-04,608
 Western region,2025-03,582
 Western region,2025-02,592
 Western region,2025-01,633
 Western region,2024-12,605
 Western region,2024-11,630
 Western region,2024-10,704
 Western region,2024-09,625
 Western region,2024-08,631
 Western region,2024-07,665
 Western region,2024-06,636
 Western region,2024-05,699
 Western region,2024-04,647
 Western region,2024-03,628
 Western region,2024-02,599
 Western region,2024-01,566
 Western region,2023-12,603
 Western region,2023-11,705
 Western region,2023-10,652
 Western region,2023-09,715
 Western region,2023-08,676
 Western region,2023-07,735
 Western region,2023-06,714
 Western region,2023-05,724
 Western region,2023-04,778
