year,region_code,region_en,region_mn,animal_code,animal_en,animal_mn,losses_thousand,starting_herd_thousand,loss_rate_percent,loss_status,herd_status
2010,0,Total,Улсын дүн,0,Total,Бүгд,10319.9,44023.9,23.441585,,
2010,0,Total,Улсын дүн,1,Horse,Адуу,369.7,2221.3,16.643407,,
2010,0,Total,Улсын дүн,2,Cattle,Үхэр,581,2599.3,22.352172,,
2010,0,Total,Улсын дүн,3,Camel,Тэмээ,17,277,6.137184,,
2010,0,Total,Улсын дүн,4,Sheep,Хонь,4363.8,19274.7,22.640041,,
2010,0,Total,Улсын дүн,5,Goat,Ямаа,4988.4,19651.5,25.384322,,
2010,181,Zavkhan,Завхан,0,Total,Бүгд,1011,2827.6,35.754704,,
2010,181,Zavkhan,Завхан,1,Horse,Адуу,30,124,24.193548,,
2010,181,Zavkhan,Завхан,2,Cattle,Үхэр,68.1,137.4,49.563319,,
2010,181,Zavkhan,Завхан,3,Camel,Тэмээ,0.4,6.6,6.060606,,
2010,181,Zavkhan,Завхан,4,Sheep,Хонь,501,1462,34.268126,,
2010,181,Zavkhan,Завхан,5,Goat,Ямаа,411.5,1097.6,37.490889,,
2010,182,Govi-Altai,Говь-Алтай,0,Total,Бүгд,738.2,2171.8,33.990239,,
2010,182,Govi-Altai,Говь-Алтай,1,Horse,Адуу,23.6,66,35.757576,,
2010,182,Govi-Altai,Говь-Алтай,2,Cattle,Үхэр,17,36.3,46.831956,,
2010,182,Govi-Altai,Говь-Алтай,3,Camel,Тэмээ,2.4,26.9,8.921933,,
2010,182,Govi-Altai,Говь-Алтай,4,Sheep,Хонь,248.8,694.1,35.844979,,
2010,182,Govi-Altai,Говь-Алтай,5,Goat,Ямаа,446.5,1348.5,33.110864,,
2010,183,Bayan-Ulgii,Баян-Өлгий,0,Total,Бүгд,150.9,1301.5,11.594314,,
2010,183,Bayan-Ulgii,Баян-Өлгий,1,Horse,Адуу,6.8,51,13.333333,,
2010,183,Bayan-Ulgii,Баян-Өлгий,2,Cattle,Үхэр,11.8,70.7,16.69024,,
2010,183,Bayan-Ulgii,Баян-Өлгий,3,Camel,Тэмээ,0.2,3.9,5.128205,,
2010,183,Bayan-Ulgii,Баян-Өлгий,4,Sheep,Хонь,48.9,524.3,9.326721,,
2010,183,Bayan-Ulgii,Баян-Өлгий,5,Goat,Ямаа,83.3,651.6,12.783917,,
2010,184,Khovd,Ховд,0,Total,Бүгд,444.4,2268.4,19.590901,,
2010,184,Khovd,Ховд,1,Horse,Адуу,14,81.8,17.114914,,
2010,184,Khovd,Ховд,2,Cattle,Үхэр,17.4,97.9,17.773238,,
2010,184,Khovd,Ховд,3,Camel,Тэмээ,1.2,17.7,6.779661,,
2010,184,Khovd,Ховд,4,Sheep,Хонь,142.9,807.4,17.698786,,
2010,184,Khovd,Ховд,5,Goat,Ямаа,268.9,1263.6,21.280469,,
2010,185,Uvs,Увс,0,Total,Бүгд,666.2,2319.1,28.726661,,
