Бүс,Үзүүлэлт,Он,value
Улсын дүн,Сувилагч-Бүгд,2025,15099.0
Улсын дүн,Сувилагч-Бүгд,2024,15152.0
Улсын дүн,Сувилагч-Бүгд,2023,14494.0
Улсын дүн,Сувилагч-Бүгд,2022,13947.0
Улсын дүн,Сувилагч-Бүгд,2021,13473.0
Улсын дүн,Сувилагч-Бүгд,2020,13112.0
Улсын дүн,Сувилагч-Бүгд,2019,12773.0
Улсын дүн,Сувилагч-Бүгд,2018,12344.0
Улсын дүн,Сувилагч-Бүгд,2017,11939.0
Улсын дүн,Сувилагч-Бүгд,2016,11486.0
Улсын дүн,Сувилагч-Бүгд,2015,11357.0
Улсын дүн,Ерөнхий мэргэжлийн,2025,5423.0
Улсын дүн,Ерөнхий мэргэжлийн,2024,5477.0
Улсын дүн,Ерөнхий мэргэжлийн,2023,5406.0
Улсын дүн,Ерөнхий мэргэжлийн,2022,5277.0
Улсын дүн,Ерөнхий мэргэжлийн,2021,5069.0
Улсын дүн,Ерөнхий мэргэжлийн,2020,4995.0
Улсын дүн,Ерөнхий мэргэжлийн,2019,4975.0
Улсын дүн,Ерөнхий мэргэжлийн,2018,4865.0
Улсын дүн,Ерөнхий мэргэжлийн,2017,4753.0
Улсын дүн,Ерөнхий мэргэжлийн,2016,4762.0
Улсын дүн,Ерөнхий мэргэжлийн,2015,4619.0
Улсын дүн,Үндсэн ба төрөлжсөн мэргэжлийн,2025,8922.0
Улсын дүн,Үндсэн ба төрөлжсөн мэргэжлийн,2024,8836.0
Улсын дүн,Үндсэн ба төрөлжсөн мэргэжлийн,2023,8215.0
Улсын дүн,Үндсэн ба төрөлжсөн мэргэжлийн,2022,7841.0
Улсын дүн,Үндсэн ба төрөлжсөн мэргэжлийн,2021,7576.0
Улсын дүн,Үндсэн ба төрөлжсөн мэргэжлийн,2020,7272.0
Улсын дүн,Үндсэн ба төрөлжсөн мэргэжлийн,2019,6833.0
Улсын дүн,Үндсэн ба төрөлжсөн мэргэжлийн,2018,6630.0
Улсын дүн,Үндсэн ба төрөлжсөн мэргэжлийн,2017,6181.0
Улсын дүн,Үндсэн ба төрөлжсөн мэргэжлийн,2016,5824.0
Улсын дүн,Үндсэн ба төрөлжсөн мэргэжлийн,2015,5837.0
Улсын дүн,Дотрын,2025,430.0
Улсын дүн,Дотрын,2024,470.0
Улсын дүн,Дотрын,2023,465.0
Улсын дүн,Дотрын,2022,484.0
Улсын дүн,Дотрын,2021,561.0
Улсын дүн,Дотрын,2020,741.0
Улсын дүн,Дотрын,2019,684.0
Улсын дүн,Дотрын,2018,1062.0
Улсын дүн,Дотрын,2017,839.0
Улсын дүн,Дотрын,2016,753.0
Улсын дүн,Дотрын,2015,829.0
Улсын дүн,Хүүхдийн,2025,1036.0
Улсын дүн,Хүүхдийн,2024,1029.0
Улсын дүн,Хүүхдийн,2023,981.0
Улсын дүн,Хүүхдийн,2022,930.0
Улсын дүн,Хүүхдийн,2021,960.0
Улсын дүн,Хүүхдийн,2020,945.0
Улсын дүн,Хүүхдийн,2019,964.0
Улсын дүн,Хүүхдийн,2018,1004.0
Улсын дүн,Хүүхдийн,2017,966.0
Улсын дүн,Хүүхдийн,2016,938.0
Улсын дүн,Хүүхдийн,2015,920.0
Улсын дүн,Мэс заслын,2025,990.0
Улсын дүн,Мэс заслын,2024,1052.0
Улсын дүн,Мэс заслын,2023,1065.0
Улсын дүн,Мэс заслын,2022,939.0
Улсын дүн,Мэс заслын,2021,973.0
Улсын дүн,Мэс заслын,2020,974.0
Улсын дүн,Мэс заслын,2019,922.0
Улсын дүн,Мэс заслын,2018,814.0
Улсын дүн,Мэс заслын,2017,730.0
Улсын дүн,Мэс заслын,2016,681.0
Улсын дүн,Мэс заслын,2015,688.0
Улсын дүн,Гэмтлийн,2025,162.0
Улсын дүн,Гэмтлийн,2024,144.0
Улсын дүн,Гэмтлийн,2023,132.0
Улсын дүн,Гэмтлийн,2022,136.0
Улсын дүн,Гэмтлийн,2021,132.0
Улсын дүн,Гэмтлийн,2020,117.0
Улсын дүн,Гэмтлийн,2019,295.0
Улсын дүн,Гэмтлийн,2018,117.0
Улсын дүн,Гэмтлийн,2017,111.0
