Indicator,Station location,Month,value
Average air temperature,West region,2025-11,
Average air temperature,West region,2025-10,
Average air temperature,West region,2025-09,
Average air temperature,West region,2025-08,
Average air temperature,West region,2025-07,
Average air temperature,West region,2025-06,
Average air temperature,West region,2025-5,
Average air temperature,West region,2025-4,
Average air temperature,West region,2025-3,
Average air temperature,West region,2025-2,
Average air temperature,West region,2025-1,
Average air temperature,West region,2024-12,
Average air temperature,West region,2024-11,
Average air temperature,West region,2024-10,
Average air temperature,West region,2024-09,
Average air temperature,West region,2024-08,
Average air temperature,West region,2024-07,
Average air temperature,West region,2024-06,
Average air temperature,West region,2024-05,
Average air temperature,West region,2024-04,
Average air temperature,West region,2024-03,
Average air temperature,West region,2024-02,
Average air temperature,West region,2024-01,
Average air temperature,West region,2023-12,
Average air temperature,West region,2023-11,
Average air temperature,West region,2023-10,
Average air temperature,West region,2023-09,
Average air temperature,West region,2023-08,
Average air temperature,West region,2023-07,
Average air temperature,West region,2023-06,
Average air temperature,West region,2023-05,
Average air temperature,West region,2023-04,
Average air temperature,West region,2023-03,
Average air temperature,West region,2023-02,
Average air temperature,West region,2023-01,
Average air temperature,West region,2022-12,-18.7
Average air temperature,West region,2022-11,
Average air temperature,West region,2022-10,
Average air temperature,West region,2022-09,
Average air temperature,West region,2022-08,
Average air temperature,West region,2022-07,
Average air temperature,West region,2022-06,
Average air temperature,West region,2022-05,
Average air temperature,West region,2022-04,
Average air temperature,West region,2022-03,
Average air temperature,West region,2022-02,
Average air temperature,West region,2022-01,
Average air temperature,West region,2021-12,
Average air temperature,West region,2021-11,
Average air temperature,West region,2021-10,
Average air temperature,West region,2021-09,
Average air temperature,West region,2021-08,
Average air temperature,West region,2021-07,
Average air temperature,West region,2021-06,
Average air temperature,West region,2021-05,
Average air temperature,West region,2021-04,
Average air temperature,West region,2021-03,
Average air temperature,West region,2021-02,
Average air temperature,West region,2021-01,
Average air temperature,West region,2020-12,
Average air temperature,West region,2020-11,
Average air temperature,West region,2020-10,
Average air temperature,West region,2020-09,
Average air temperature,West region,2020-08,
Average air temperature,West region,2020-07,
Average air temperature,West region,2020-06,
Average air temperature,West region,2020-05,
Average air temperature,West region,2020-04,
Average air temperature,West region,2020-03,
Average air temperature,West region,2020-02,
Average air temperature,West region,2020-01,
Average air temperature,West region,2019-12,
Average air temperature,West region,2019-11,
Average air temperature,West region,2019-10,
Average air temperature,West region,2019-09,
Average air temperature,West region,2019-08,
Average air temperature,West region,2019-07,
Average air temperature,West region,2019-06,
Average air temperature,West region,2019-05,
Average air temperature,West region,2019-04,
Average air temperature,West region,2019-03,
Average air temperature,West region,2019-02,
Average air temperature,West region,2019-01,
Average air temperature,West region,2018-12,
Average air temperature,West region,2018-11,
Average air temperature,West region,2018-10,
Average air temperature,West region,2018-09,
Average air temperature,West region,2018-08,
Average air temperature,West region,2018-07,
Average air temperature,West region,2018-06,
Average air temperature,West region,2018-05,
Average air temperature,West region,2018-04,
Average air temperature,West region,2018-03,
Average air temperature,West region,2018-02,
Average air temperature,West region,2018-01,
Average air temperature,West region,2017-12,
Average air temperature,West region,2017-11,
Average air temperature,West region,2017-10,
Average air temperature,West region,2017-09,
Average air temperature,West region,2017-08,
Average air temperature,West region,2017-07,
Average air temperature,West region,2017-06,
Average air temperature,West region,2017-05,
Average air temperature,West region,2017-04,
Average air temperature,West region,2017-03,
Average air temperature,West region,2017-02,
Average air temperature,West region,2017-01,
Average air temperature,West region,2016-12,
Average air temperature,West region,2016-11,
Average air temperature,West region,2016-10,
Average air temperature,West region,2016-09,
Average air temperature,West region,2016-08,
Average air temperature,West region,2016-07,
Average air temperature,West region,2016-06,
Average air temperature,West region,2016-05,
Average air temperature,West region,2016-04,
Average air temperature,West region,2016-03,
Average air temperature,West region,2016-02,
Average air temperature,West region,2016-01,
Average air temperature,West region,2015-12,
Average air temperature,West region,2015-11,
Average air temperature,West region,2015-10,
Average air temperature,West region,2015-09,
Average air temperature,West region,2015-08,
Average air temperature,West region,2015-07,
Average air temperature,West region,2015-06,
Average air temperature,West region,2015-05,
Average air temperature,West region,2015-04,
Average air temperature,West region,2015-03,
Average air temperature,West region,2015-02,
Average air temperature,West region,2015-01,
Average air temperature,West region,2014-12,
Average air temperature,West region,2014-11,
Average air temperature,West region,2014-10,
Average air temperature,West region,2014-09,
Average air temperature,West region,2014-08,
Average air temperature,West region,2014-07,
Average air temperature,West region,2014-06,
Average air temperature,West region,2014-05,
Average air temperature,West region,2014-04,
Average air temperature,West region,2014-03,
Average air temperature,West region,2014-02,
Average air temperature,West region,2014-01,
Average air temperature,West region,2013-12,
Average air temperature,West region,2013-11,
Average air temperature,West region,2013-10,
Average air temperature,West region,2013-09,
Average air temperature,West region,2013-08,
Average air temperature,West region,2013-07,
Average air temperature,West region,2013-06,
Average air temperature,West region,2013-05,
Average air temperature,West region,2013-04,
Average air temperature,West region,2013-03,
Average air temperature,West region,2013-02,
Average air temperature,West region,2013-01,
Average air temperature,West region,2012-12,
Average air temperature,West region,2012-11,
Average air temperature,West region,2012-10,
Average air temperature,West region,2012-09,
Average air temperature,West region,2012-08,
Average air temperature,West region,2012-07,
Average air temperature,West region,2012-06,
Average air temperature,West region,2012-05,
Average air temperature,West region,2012-04,
Average air temperature,West region,2012-03,
Average air temperature,West region,2012-02,
Average air temperature,West region,2012-01,
Average air temperature,West region,2011-12,
Average air temperature,West region,2011-11,
Average air temperature,West region,2011-10,
Average air temperature,West region,2011-09,
Average air temperature,West region,2011-08,
Average air temperature,West region,2011-07,
Average air temperature,West region,2011-06,
Average air temperature,West region,2011-05,
Average air temperature,West region,2011-04,
Average air temperature,West region,2011-03,
Average air temperature,West region,2011-02,
Average air temperature,West region,2011-01,
Average air temperature,West region,2010-12,
Average air temperature,West region,2010-11,
Average air temperature,West region,2010-10,
Average air temperature,West region,2010-09,
Average air temperature,West region,2010-08,
Average air temperature,West region,2010-07,
Average air temperature,West region,2010-06,
Average air temperature,West region,2010-05,
Average air temperature,West region,2010-04,
Average air temperature,West region,2010-03,
Average air temperature,West region,2010-02,
Average air temperature,West region,2010-01,
Average air temperature,West region,2009-12,
Average air temperature,West region,2009-11,
Average air temperature,West region,2009-10,
Average air temperature,West region,2009-09,
Average air temperature,West region,2009-08,
Average air temperature,West region,2009-07,
Average air temperature,West region,2009-06,
Average air temperature,West region,2009-05,
Average air temperature,West region,2009-04,
Average air temperature,West region,2009-03,
Average air temperature,West region,2009-02,
Average air temperature,West region,2009-01,
Average air temperature,West region,2008-12,
Average air temperature,West region,2008-11,
Average air temperature,West region,2008-10,
Average air temperature,West region,2008-09,
Average air temperature,West region,2008-08,
Average air temperature,West region,2008-07,
Average air temperature,West region,2008-06,
Average air temperature,West region,2008-05,
Average air temperature,West region,2008-04,
Average air temperature,West region,2008-03,
Average air temperature,West region,2008-02,
Average air temperature,West region,2008-01,
Average air temperature,West region,2007-12,
Average air temperature,West region,2007-11,
Average air temperature,West region,2007-10,
Average air temperature,West region,2007-09,
Average air temperature,West region,2007-08,
Average air temperature,West region,2007-07,
Average air temperature,West region,2007-06,
Average air temperature,West region,2007-05,
Average air temperature,West region,2007-04,
Average air temperature,West region,2007-03,
Average air temperature,West region,2007-02,
Average air temperature,West region,2007-01,
Average air temperature,West region,2006-12,
Average air temperature,West region,2006-11,
Average air temperature,West region,2006-10,
Average air temperature,West region,2006-09,
Average air temperature,West region,2006-08,
Average air temperature,West region,2006-07,
Average air temperature,West region,2006-06,
Average air temperature,West region,2006-05,
Average air temperature,West region,2006-04,
Average air temperature,West region,2006-03,
Average air temperature,West region,2006-02,
Average air temperature,West region,2006-01,
Average air temperature,West region,2005-12,
Average air temperature,West region,2005-11,
Average air temperature,West region,2005-10,
Average air temperature,West region,2005-09,
Average air temperature,West region,2005-08,
Average air temperature,West region,2005-07,
Average air temperature,West region,2005-06,
Average air temperature,West region,2005-05,
Average air temperature,West region,2005-04,
Average air temperature,West region,2005-03,
Average air temperature,West region,2005-02,
Average air temperature,West region,2005-01,
Average air temperature, Altai,2025-11,-9.4
Average air temperature, Altai,2025-10,-4.7
Average air temperature, Altai,2025-09,7.5
