year,sex,unemployment_rate
2009,Female,11.6
2009,Male,11.6
2009,Total,11.6
2010,Female,9.2
2010,Male,10.5
2010,Total,9.9
2011,Female,7.4
2011,Male,8.1
2011,Total,7.7
2012,Female,8.1
2012,Male,8.4
2012,Total,8.2
2013,Female,8.3
2013,Male,7.6
2013,Total,7.9
2014,Female,7.3
2014,Male,8.5
2014,Total,7.9
2015,Female,6.7
2015,Male,8.2
2015,Total,7.5
2016,Female,8.2
2016,Male,11.6
2016,Total,10.0
2017,Female,7.8
2017,Male,9.6
2017,Total,8.8
2018,Female,7.1
2018,Male,8.3
2018,Total,7.8
2019,Female,8.9
2019,Male,10.7
2019,Total,9.9
2020,Female,6.6
2020,Male,6.9
2020,Total,6.7
2021,Female,7.8
2021,Male,8.7
2021,Total,8.3
2022,Female,5.3
2022,Male,7.3
2022,Total,6.4
2023,Female,4.5
2023,Male,6.0
2023,Total,5.3
2024,Female,5.6
2024,Male,6.2
2024,Total,5.9
