Мэргэжлийн чиглэл,Он,value
Бүгд,2024,23768
Бүгд,2023,27555
Бүгд,2022,23314
Бүгд,2021,32925
Бүгд,2020,31161
Бүгд,2019,28045
Боловсрол,2024,3151
Боловсрол,2023,4229
Боловсрол,2022,3535
Боловсрол,2021,6001
Боловсрол,2020,6296
Боловсрол,2019,5513
"Урлаг, хүмүүнлэг",2024,1934
"Урлаг, хүмүүнлэг",2023,1759
"Урлаг, хүмүүнлэг",2022,1545
"Урлаг, хүмүүнлэг",2021,2317
"Урлаг, хүмүүнлэг",2020,2127
"Урлаг, хүмүүнлэг",2019,1741
"Нийгмийн шинжлэх ухаан, мэдээлэл, сэтгүүл зүй",2024,1424
"Нийгмийн шинжлэх ухаан, мэдээлэл, сэтгүүл зүй",2023,1702
"Нийгмийн шинжлэх ухаан, мэдээлэл, сэтгүүл зүй",2022,1194
"Нийгмийн шинжлэх ухаан, мэдээлэл, сэтгүүл зүй",2021,1901
"Нийгмийн шинжлэх ухаан, мэдээлэл, сэтгүүл зүй",2020,1804
"Нийгмийн шинжлэх ухаан, мэдээлэл, сэтгүүл зүй",2019,1283
"Бизнес, удирдахуй, хууль, эрх зүй",2024,6433
"Бизнес, удирдахуй, хууль, эрх зүй",2023,8816
"Бизнес, удирдахуй, хууль, эрх зүй",2022,7194
"Бизнес, удирдахуй, хууль, эрх зүй",2021,10506
"Бизнес, удирдахуй, хууль, эрх зүй",2020,9794
"Бизнес, удирдахуй, хууль, эрх зүй",2019,9462
"Байгалийн шинжлэх ухаан, математик, статистик",2024,424
"Байгалийн шинжлэх ухаан, математик, статистик",2023,522
"Байгалийн шинжлэх ухаан, математик, статистик",2022,476
"Байгалийн шинжлэх ухаан, математик, статистик",2021,767
"Байгалийн шинжлэх ухаан, математик, статистик",2020,864
"Байгалийн шинжлэх ухаан, математик, статистик",2019,745
"Мэдээлэл, харилцаа холбооны технологи",2024,1230
"Мэдээлэл, харилцаа холбооны технологи",2023,1082
"Мэдээлэл, харилцаа холбооны технологи",2022,690
"Мэдээлэл, харилцаа холбооны технологи",2021,882
"Мэдээлэл, харилцаа холбооны технологи",2020,887
"Мэдээлэл, харилцаа холбооны технологи",2019,867
"Инженер, үйлдвэрлэл, барилга угсралт",2024,2701
"Инженер, үйлдвэрлэл, барилга угсралт",2023,3118
"Инженер, үйлдвэрлэл, барилга угсралт",2022,2910
"Инженер, үйлдвэрлэл, барилга угсралт",2021,4225
"Инженер, үйлдвэрлэл, барилга угсралт",2020,4061
"Инженер, үйлдвэрлэл, барилга угсралт",2019,4306
"Хөдөө аж ахуй, ой, загасны аж ахуй, мал эмнэлэг",2024,255
"Хөдөө аж ахуй, ой, загасны аж ахуй, мал эмнэлэг",2023,271
"Хөдөө аж ахуй, ой, загасны аж ахуй, мал эмнэлэг",2022,295
"Хөдөө аж ахуй, ой, загасны аж ахуй, мал эмнэлэг",2021,348
"Хөдөө аж ахуй, ой, загасны аж ахуй, мал эмнэлэг",2020,407
"Хөдөө аж ахуй, ой, загасны аж ахуй, мал эмнэлэг",2019,397
"Эрүүл мэнд, нийгмийн хамгаалал",2024,4886
"Эрүүл мэнд, нийгмийн хамгаалал",2023,4779
"Эрүүл мэнд, нийгмийн хамгаалал",2022,4455
"Эрүүл мэнд, нийгмийн хамгаалал",2021,4293
"Эрүүл мэнд, нийгмийн хамгаалал",2020,3661
"Эрүүл мэнд, нийгмийн хамгаалал",2019,3276
    Үйлчилгээ,2024,1330
    Үйлчилгээ,2023,1277
    Үйлчилгээ,2022,1020
    Үйлчилгээ,2021,1685
    Үйлчилгээ,2020,1260
    Үйлчилгээ,2019,455
