Products,Region,Time,value
"Mutton, kg",Western region,2026-08-31,
"Mutton, kg",Western region,2026-08-24,
"Mutton, kg",Western region,2026-08-17,
"Mutton, kg",Western region,2026-8-10,
"Mutton, kg",Western region,2026-08-03,
"Mutton, kg",Western region,2026-07-20,
"Mutton, kg",Western region,2026-07-20,
"Mutton, kg",Western region,2026-07-06,
"Mutton, kg",Western region,2026-06-29,
"Mutton, kg",Western region,2026-06-22,
"Mutton, kg",Western region,2026-06-15,
"Mutton, kg",Western region,2026-06-08,
"Mutton, kg",Western region,2026-06-02,
"Mutton, kg",Western region,2026-05-25,
"Mutton, kg",Western region,2026-05-18,
"Mutton, kg",Western region,2026-05-11,
"Mutton, kg",Western region,2026-05-04,
"Mutton, kg",Western region,2026-04-28,
"Mutton, kg",Western region,2026-04-20,
"Mutton, kg",Western region,2026-04-13,
"Mutton, kg",Western region,2026-04-07,
"Mutton, kg",Western region,2026-03-30,
"Mutton, kg",Western region,2026-03-23,
"Mutton, kg",Western region,2026-03-16,
"Mutton, kg",Western region,2026-03-09,
"Mutton, kg",Western region,2026-03-02,
"Mutton, kg",Western region,2026-02-23,
"Mutton, kg",Western region,2026-02-09,
"Mutton, kg",Western region,2026-02-02,
"Mutton, kg",Western region,2026-01-26,
"Mutton, kg",Western region,2026-01-19,
"Mutton, kg",Western region,2026-01-12,
"Mutton, kg",Western region,2026-01-05,
"Mutton, kg",Western region,2025-12-30,
"Mutton, kg",Western region,2025-12-22,
"Mutton, kg",Western region,2025-12-15,
"Mutton, kg",Western region,2025-12-08,
"Mutton, kg",Western region,2025-12-01,
"Mutton, kg",Western region,2025-11-24,
"Mutton, kg",Western region,2025-11-17,
"Mutton, kg",Western region,2025-11-10,
"Mutton, kg",Western region,2025-11-03,
"Mutton, kg",Western region,2025-10-27,
"Mutton, kg",Western region,2025-10-20,
"Mutton, kg",Western region,2025-10-13,
"Mutton, kg",Western region,2025-10-06,
"Mutton, kg",Western region,2025-09-29,
"Mutton, kg",Western region,2025-09-22,
"Mutton, kg",Western region,2025-09-15,
"Mutton, kg",Western region,2025-09-08,
"Mutton, kg",Western region,2025-09-01,
"Mutton, kg",Western region,2025-08-25,
"Mutton, kg",Western region,2025-08-18,
"Mutton, kg",Western region,2025-08-11,
"Mutton, kg",Western region,2025-08-04,
"Mutton, kg",Western region,2025-07-28,
"Mutton, kg",Western region,2025-07-21,
"Mutton, kg",Western region,2025-07-07,
"Mutton, kg",Western region,2025-06-30,
"Mutton, kg",Western region,2025-06-23,
"Mutton, kg",Western region,2025-06-16,
"Mutton, kg",Western region,2025-06-09,
"Mutton, kg",Western region,2025-06-02,
"Mutton, kg",Western region,2025-05-26,
"Mutton, kg",Western region,2025-05-19,
"Mutton, kg",Western region,2025-05-12,
"Mutton, kg",Western region,2025-05-05,
"Mutton, kg",Western region,2025-04-28,
"Mutton, kg",Western region,2025-04-21,
"Mutton, kg",Western region,2025-04-14,
"Mutton, kg",Western region,2025-04-07,
"Mutton, kg",Western region,2025-03-31,
"Mutton, kg",Western region,2025-03-24,
"Mutton, kg",Western region,2025-03-17,
"Mutton, kg",Western region,2025-03-10,
"Mutton, kg",Western region,2025-02-24,
"Mutton, kg",Western region,2025-02-17,
"Mutton, kg",Western region,2025-02-10,
"Mutton, kg",Western region,2025-02-03,
"Mutton, kg",Western region,2025-01-27,
"Mutton, kg",Western region,2025-01-20,
"Mutton, kg",Western region,2025-01-13,
"Mutton, kg",Western region,2025-01-06,
"Mutton, kg",Western region,2024-12-30,
"Mutton, kg",Western region,2024-12-23,
"Mutton, kg",Western region,2024-12-16,
"Mutton, kg",Western region,2024-12-09,
"Mutton, kg",Western region,2024-12-02,
"Mutton, kg",Western region,2024-11-25,
"Mutton, kg",Western region,2024-11-18,
"Mutton, kg",Western region,2024-11-12,
"Mutton, kg",Western region,2024-11-04,
"Mutton, kg",Western region,2024-10-28,
"Mutton, kg",Western region,2024-10-21,
"Mutton, kg",Western region,2024-10-14,
"Mutton, kg",Western region,2024-10-07,
"Mutton, kg",Western region,2024-09-30,
"Mutton, kg",Western region,2024-09-23,
"Mutton, kg",Western region,2024-09-16,
"Mutton, kg",Western region,2024-09-09,
"Mutton, kg",Western region,2024-09-02,
"Mutton, kg",Western region,2024-08-26,
"Mutton, kg",Western region,2024-08-19,
"Mutton, kg",Western region,2024-08-12,
"Mutton, kg",Western region,2024-08-05,
"Mutton, kg",Western region,2024-07-29,
"Mutton, kg",Western region,2024-07-22,
"Mutton, kg",Western region,2024-07-08,
"Mutton, kg",Western region,2024-07-01,
"Mutton, kg",Western region,2024-06-24,
"Mutton, kg",Western region,2024-06-17,
"Mutton, kg",Western region,2024-06-10,
"Mutton, kg",Western region,2024-06-03,
"Mutton, kg",Western region,2024-05-27,
"Mutton, kg",Western region,2024-05-20,
"Mutton, kg",Western region,2024-05-13,
"Mutton, kg",Western region,2024-05-06,
"Mutton, kg",Western region,2024-04-29,
"Mutton, kg",Western region,2024-04-22,
"Mutton, kg",Western region,2024-04-15,
"Mutton, kg",Western region,2024-04-08,
"Mutton, kg",Western region,2024-04-01,
"Mutton, kg",Western region,2024-03-25,
"Mutton, kg",Western region,2024-03-18,
"Mutton, kg",Western region,2024-03-11,
"Mutton, kg",Western region,2024-03-04,
"Mutton, kg",Western region,2024-02-26,
"Mutton, kg",Western region,2024-02-19,
"Mutton, kg",Western region,2024-02-05,
"Mutton, kg",Western region,2024-01-29,
"Mutton, kg",Western region,2024-01-22,
"Mutton, kg",Western region,2024-01-15,
"Mutton, kg",Western region,2024-01-08,
"Mutton, kg",Western region,2024-01-02,
"Mutton, kg",Bayan-Ulgii,2026-08-31,25000.0
"Mutton, kg",Bayan-Ulgii,2026-08-24,25329.0
"Mutton, kg",Bayan-Ulgii,2026-08-17,24662.0
"Mutton, kg",Bayan-Ulgii,2026-8-10,24662.0
"Mutton, kg",Bayan-Ulgii,2026-08-03,25000.0
"Mutton, kg",Bayan-Ulgii,2026-07-20,28000.0
"Mutton, kg",Bayan-Ulgii,2026-07-20,28000.0
"Mutton, kg",Bayan-Ulgii,2026-07-06,28000.0
"Mutton, kg",Bayan-Ulgii,2026-06-29,28329.0
"Mutton, kg",Bayan-Ulgii,2026-06-22,27478.0
"Mutton, kg",Bayan-Ulgii,2026-06-15,27952.0
"Mutton, kg",Bayan-Ulgii,2026-06-08,27952.0
"Mutton, kg",Bayan-Ulgii,2026-06-02,27952.0
"Mutton, kg",Bayan-Ulgii,2026-05-25,24987.0
"Mutton, kg",Bayan-Ulgii,2026-05-18,24649.0
"Mutton, kg",Bayan-Ulgii,2026-05-11,23314.0
"Mutton, kg",Bayan-Ulgii,2026-05-04,23314.0
"Mutton, kg",Bayan-Ulgii,2026-04-28,21939.0
"Mutton, kg",Bayan-Ulgii,2026-04-20,20646.0
"Mutton, kg",Bayan-Ulgii,2026-04-13,19328.0
"Mutton, kg",Bayan-Ulgii,2026-04-07,19328.0
"Mutton, kg",Bayan-Ulgii,2026-03-30,19328.0
"Mutton, kg",Bayan-Ulgii,2026-03-23,19328.0
"Mutton, kg",Bayan-Ulgii,2026-03-16,19328.0
"Mutton, kg",Bayan-Ulgii,2026-03-09,18000.0
"Mutton, kg",Bayan-Ulgii,2026-03-02,18000.0
"Mutton, kg",Bayan-Ulgii,2026-02-23,18000.0
"Mutton, kg",Bayan-Ulgii,2026-02-09,18000.0
"Mutton, kg",Bayan-Ulgii,2026-02-02,17660.0
"Mutton, kg",Bayan-Ulgii,2026-01-26,17660.0
"Mutton, kg",Bayan-Ulgii,2026-01-19,17660.0
"Mutton, kg",Bayan-Ulgii,2026-01-12,17660.0
"Mutton, kg",Bayan-Ulgii,2026-01-05,17327.0
"Mutton, kg",Bayan-Ulgii,2025-12-30,17327.0
"Mutton, kg",Bayan-Ulgii,2025-12-22,17327.0
"Mutton, kg",Bayan-Ulgii,2025-12-15,17327.0
"Mutton, kg",Bayan-Ulgii,2025-12-08,15659.0
"Mutton, kg",Bayan-Ulgii,2025-12-01,15326.0
"Mutton, kg",Bayan-Ulgii,2025-11-24,13665.0
"Mutton, kg",Bayan-Ulgii,2025-11-17,13665.0
"Mutton, kg",Bayan-Ulgii,2025-11-10,13665.0
"Mutton, kg",Bayan-Ulgii,2025-11-03,13665.0
"Mutton, kg",Bayan-Ulgii,2025-10-27,13167.0
"Mutton, kg",Bayan-Ulgii,2025-10-20,13167.0
"Mutton, kg",Bayan-Ulgii,2025-10-13,13167.0
"Mutton, kg",Bayan-Ulgii,2025-10-06,13167.0
"Mutton, kg",Bayan-Ulgii,2025-09-29,13167.0
"Mutton, kg",Bayan-Ulgii,2025-09-22,13333.0
"Mutton, kg",Bayan-Ulgii,2025-09-15,13333.0
"Mutton, kg",Bayan-Ulgii,2025-09-08,13333.0
"Mutton, kg",Bayan-Ulgii,2025-09-01,14333.0
"Mutton, kg",Bayan-Ulgii,2025-08-25,14333.0
"Mutton, kg",Bayan-Ulgii,2025-08-18,14333.0
"Mutton, kg",Bayan-Ulgii,2025-08-11,14500.0
"Mutton, kg",Bayan-Ulgii,2025-08-04,14500.0
"Mutton, kg",Bayan-Ulgii,2025-07-28,14883.0
"Mutton, kg",Bayan-Ulgii,2025-07-21,14833.0
"Mutton, kg",Bayan-Ulgii,2025-07-07,14833.0
