date,session,scheduled_start,actual_start,timing_status,data_status,source_article_url,source_attachment_url,metric,value,unit
2024-10-17,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63100/,,Agenda items,0,count
2024-10-17,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63100/,,Sitting start delay,,minutes
2024-10-17,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63100/,,Officially on time,69,count
2024-10-17,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63100/,,Officially late,31,count
2024-10-17,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63100/,,General leave,2,count
2024-10-17,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63100/,,Medical leave,4,count
2024-10-17,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63100/,,Domestic official assignments,2,count
2024-10-17,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63100/,,Foreign official assignments,12,count
2024-10-17,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63100/,,Unexplained absences,6,count
2024-10-17,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63100/,,Physically attended,100,count
2024-10-17,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63100/,,Physical attendance rate,79.4,percent
2024-10-17,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63100/,,Official on-time rate among appearances,69.0,percent
2024-10-18,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63122/,,Agenda items,0,count
2024-10-18,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63122/,,Sitting start delay,,minutes
2024-10-18,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63122/,,Officially on time,78,count
2024-10-18,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63122/,,Officially late,20,count
