sex,age_group,value
Female,0-4,165879
Male,0-4,174398
Female,10-14,182034
Male,10-14,190491
Female,15-19,136545
Male,15-19,142033
Female,20-24,109355
Male,20-24,112835
Female,25-29,118313
Male,25-29,120014
Female,30-34,137571
Male,30-34,137736
Female,35-39,152145
Male,35-39,149092
Female,40-44,126414
Male,40-44,120723
Female,45-49,113759
Male,45-49,104331
Female,5-9,186965
Male,5-9,197034
Female,50-54,101682
Male,50-54,88833
Female,55-59,86508
Male,55-59,70347
Female,60-64,75089
Male,60-64,56792
Female,65-69,51391
Male,65-69,34712
Female,70+,64825
Male,70+,36989
