Region,Year,value
Total,2025,47480.0
Total,2024,44673.0
Total,2023,35574.0
Total,2022,35340.0
Total,2021,25429.0
Total,2020,23064.0
Total,2019,31524.0
Total,2018,36220.0
Total,2017,32259.0
Total,2016,27167.0
Total,2015,27757.0
Total,2014,27318.0
Total,2013,25362.0
Total,2012,22089.0
Total,2011,19197.0
Total,2010,19825.0
Total,2009,20373.0
Total,2008,20704.0
Total,2007,21268.0
Total,2006,18253.0
Total,2005,17411.0
Total,2004,18905.0
Total,2003,19934.0
Total,2002,22555.0
Total,2001,23670.0
Total,2000,23463.0
Total,1999,23352.0
Total,1998,22737.0
Total,1997,24653.0
Total,1996,22368.0
Total,1995,20496.0
Total,1994,18563.0
Total,1993,17354.0
Total,1992,12467.0
Total,1991,9825.0
Total,1990,9060.0
Total,1989,7623.0
 Khangai region,2025,1966.0
 Khangai region,2024,1719.0
 Khangai region,2023,1308.0
 Khangai region,2022,1659.0
 Khangai region,2021,1298.0
 Khangai region,2020,1304.0
 Khangai region,2019,1823.0
 Khangai region,2018,1770.0
 Khangai region,2017,1569.0
 Khangai region,2016,1400.0
 Khangai region,2015,1414.0
 Khangai region,2014,1391.0
 Khangai region,2013,1387.0
 Khangai region,2012,1299.0
 Khangai region,2011,1205.0
 Khangai region,2010,1333.0
 Khangai region,2009,1172.0
 Khangai region,2008,1250.0
 Khangai region,2007,1410.0
 Khangai region,2006,1261.0
 Khangai region,2005,1202.0
 Khangai region,2004,1243.0
 Khangai region,2003,1230.0
 Khangai region,2002,1506.0
 Khangai region,2001,1632.0
 Khangai region,2000,1479.0
 Khangai region,1999,1399.0
 Khangai region,1998,1277.0
 Khangai region,1997,1557.0
 Khangai region,1996,1555.0
 Khangai region,1995,1262.0
 Khangai region,1994,1190.0
 Khangai region,1993,1160.0
 Khangai region,1992,773.0
 Khangai region,1991,633.0
 Khangai region,1990,630.0
 Khangai region,1989,550.0
    Arkhangai,2025,475.0
    Arkhangai,2024,447.0
    Arkhangai,2023,397.0
    Arkhangai,2022,524.0
    Arkhangai,2021,412.0
    Arkhangai,2020,435.0
    Arkhangai,2019,568.0
    Arkhangai,2018,519.0
    Arkhangai,2017,514.0
    Arkhangai,2016,536.0
    Arkhangai,2015,512.0
    Arkhangai,2014,469.0
    Arkhangai,2013,437.0
    Arkhangai,2012,418.0
    Arkhangai,2011,385.0
    Arkhangai,2010,458.0
    Arkhangai,2009,431.0
    Arkhangai,2008,526.0
    Arkhangai,2007,483.0
    Arkhangai,2006,398.0
    Arkhangai,2005,384.0
    Arkhangai,2004,344.0
    Arkhangai,2003,345.0
    Arkhangai,2002,352.0
