Бүс,Он,value
Улсын дүн,2025,47480.0
Улсын дүн,2024,44673.0
Улсын дүн,2023,35574.0
Улсын дүн,2022,35340.0
Улсын дүн,2021,25429.0
Улсын дүн,2020,23064.0
Улсын дүн,2019,31524.0
Улсын дүн,2018,36220.0
Улсын дүн,2017,32259.0
Улсын дүн,2016,27167.0
Улсын дүн,2015,27757.0
Улсын дүн,2014,27318.0
Улсын дүн,2013,25362.0
Улсын дүн,2012,22089.0
Улсын дүн,2011,19197.0
Улсын дүн,2010,19825.0
Улсын дүн,2009,20373.0
Улсын дүн,2008,20704.0
Улсын дүн,2007,21268.0
Улсын дүн,2006,18253.0
Улсын дүн,2005,17411.0
Улсын дүн,2004,18905.0
Улсын дүн,2003,19934.0
Улсын дүн,2002,22555.0
Улсын дүн,2001,23670.0
Улсын дүн,2000,23463.0
Улсын дүн,1999,23352.0
Улсын дүн,1998,22737.0
Улсын дүн,1997,24653.0
Улсын дүн,1996,22368.0
Улсын дүн,1995,20496.0
Улсын дүн,1994,18563.0
Улсын дүн,1993,17354.0
Улсын дүн,1992,12467.0
Улсын дүн,1991,9825.0
Улсын дүн,1990,9060.0
Улсын дүн,1989,7623.0
    Хангайн бүс,2025,1966.0
    Хангайн бүс,2024,1719.0
    Хангайн бүс,2023,1308.0
    Хангайн бүс,2022,1659.0
    Хангайн бүс,2021,1298.0
    Хангайн бүс,2020,1304.0
    Хангайн бүс,2019,1823.0
    Хангайн бүс,2018,1770.0
    Хангайн бүс,2017,1569.0
    Хангайн бүс,2016,1400.0
    Хангайн бүс,2015,1414.0
    Хангайн бүс,2014,1391.0
    Хангайн бүс,2013,1387.0
    Хангайн бүс,2012,1299.0
    Хангайн бүс,2011,1205.0
    Хангайн бүс,2010,1333.0
    Хангайн бүс,2009,1172.0
    Хангайн бүс,2008,1250.0
    Хангайн бүс,2007,1410.0
    Хангайн бүс,2006,1261.0
    Хангайн бүс,2005,1202.0
    Хангайн бүс,2004,1243.0
    Хангайн бүс,2003,1230.0
    Хангайн бүс,2002,1506.0
    Хангайн бүс,2001,1632.0
    Хангайн бүс,2000,1479.0
    Хангайн бүс,1999,1399.0
    Хангайн бүс,1998,1277.0
    Хангайн бүс,1997,1557.0
    Хангайн бүс,1996,1555.0
    Хангайн бүс,1995,1262.0
    Хангайн бүс,1994,1190.0
    Хангайн бүс,1993,1160.0
    Хангайн бүс,1992,773.0
    Хангайн бүс,1991,633.0
    Хангайн бүс,1990,630.0
    Хангайн бүс,1989,550.0
            Архангай,2025,475.0
            Архангай,2024,447.0
            Архангай,2023,397.0
            Архангай,2022,524.0
            Архангай,2021,412.0
            Архангай,2020,435.0
            Архангай,2019,568.0
            Архангай,2018,519.0
            Архангай,2017,514.0
            Архангай,2016,536.0
            Архангай,2015,512.0
            Архангай,2014,469.0
            Архангай,2013,437.0
            Архангай,2012,418.0
            Архангай,2011,385.0
            Архангай,2010,458.0
            Архангай,2009,431.0
            Архангай,2008,526.0
            Архангай,2007,483.0
            Архангай,2006,398.0
            Архангай,2005,384.0
            Архангай,2004,344.0
            Архангай,2003,345.0
            Архангай,2002,352.0
            Архангай,2001,384.0
            Архангай,2000,394.0
            Архангай,1999,450.0
            Архангай,1998,427.0
            Архангай,1997,575.0
            Архангай,1996,528.0
            Архангай,1995,374.0
            Архангай,1994,326.0
            Архангай,1993,448.0
            Архангай,1992,213.0
            Архангай,1991,206.0
            Архангай,1990,222.0
            Архангай,1989,213.0
            Баянхонгор,2025,706.0
            Баянхонгор,2024,577.0
            Баянхонгор,2023,395.0
            Баянхонгор,2022,439.0
            Баянхонгор,2021,428.0
            Баянхонгор,2020,462.0
