SEX,SECTOR,TIME (ANNUAL),value
TOTAL,National average,2025,2726.9
TOTAL,National average,2024,2332.4
TOTAL,National average,2023,1881.8
TOTAL,National average,2022,1503.8
TOTAL,National average,2021,1279.4
TOTAL,National average,2020,1220.6
TOTAL,National average,2019,1124.3
TOTAL,National average,2018,1002.9
TOTAL,National average,2017,944.5
TOTAL,National average,2016,861.9
TOTAL,National average,2015,808.0
TOTAL,National average,2014,796.6
TOTAL,National average,2013,774.9
TOTAL,National average,2012,557.6
TOTAL,National average,2011,424.2
TOTAL,National average,2010,341.5
TOTAL,National average,2009,300.5
TOTAL,National average,2008,274.2
TOTAL,National average,2007,173.0
TOTAL,National average,2006,127.7
TOTAL,National average,2005,101.2
TOTAL,National average,2004,93.1
TOTAL,National average,2003,81.5
TOTAL,National average,2002,71.3
TOTAL,National average,2001,65.2
TOTAL,"Agriculture, forestry, fishing and hunting",2025,2190.1
TOTAL,"Agriculture, forestry, fishing and hunting",2024,1929.8
TOTAL,"Agriculture, forestry, fishing and hunting",2023,1463.9
TOTAL,"Agriculture, forestry, fishing and hunting",2022,1152.3
TOTAL,"Agriculture, forestry, fishing and hunting",2021,1002.8
TOTAL,"Agriculture, forestry, fishing and hunting",2020,949.6
TOTAL,"Agriculture, forestry, fishing and hunting",2019,833.1
TOTAL,"Agriculture, forestry, fishing and hunting",2018,736.4
TOTAL,"Agriculture, forestry, fishing and hunting",2017,681.5
TOTAL,"Agriculture, forestry, fishing and hunting",2016,631.5
TOTAL,"Agriculture, forestry, fishing and hunting",2015,643.9
TOTAL,"Agriculture, forestry, fishing and hunting",2014,752.9
TOTAL,"Agriculture, forestry, fishing and hunting",2013,324.7
TOTAL,"Agriculture, forestry, fishing and hunting",2012,244.5
TOTAL,"Agriculture, forestry, fishing and hunting",2011,203.1
TOTAL,"Agriculture, forestry, fishing and hunting",2010,172.5
TOTAL,"Agriculture, forestry, fishing and hunting",2009,174.6
TOTAL,"Agriculture, forestry, fishing and hunting",2008,158.1
TOTAL,"Agriculture, forestry, fishing and hunting",2007,90.5
TOTAL,"Agriculture, forestry, fishing and hunting",2006,72.6
TOTAL,"Agriculture, forestry, fishing and hunting",2005,52.8
TOTAL,"Agriculture, forestry, fishing and hunting",2004,52.6
TOTAL,"Agriculture, forestry, fishing and hunting",2003,48.0
TOTAL,"Agriculture, forestry, fishing and hunting",2002,46.2
TOTAL,"Agriculture, forestry, fishing and hunting",2001,50.3
TOTAL,Mining and quarrying,2025,5273.9
TOTAL,Mining and quarrying,2024,4935.9
TOTAL,Mining and quarrying,2023,4587.2
TOTAL,Mining and quarrying,2022,3601.9
TOTAL,Mining and quarrying,2021,2997.8
TOTAL,Mining and quarrying,2020,2877.4
TOTAL,Mining and quarrying,2019,2590.0
TOTAL,Mining and quarrying,2018,2221.4
TOTAL,Mining and quarrying,2017,2119.1
TOTAL,Mining and quarrying,2016,1989.4
TOTAL,Mining and quarrying,2015,1895.4
TOTAL,Mining and quarrying,2014,1550.8
TOTAL,Mining and quarrying,2013,1418.4
TOTAL,Mining and quarrying,2012,814.5
TOTAL,Mining and quarrying,2011,732.8
TOTAL,Mining and quarrying,2010,572.2
TOTAL,Mining and quarrying,2009,405.4
TOTAL,Mining and quarrying,2008,328.6
TOTAL,Mining and quarrying,2007,219.7
TOTAL,Mining and quarrying,2006,147.7
TOTAL,Mining and quarrying,2005,122.8
TOTAL,Mining and quarrying,2004,89.7
TOTAL,Mining and quarrying,2003,88.7
TOTAL,Mining and quarrying,2002,77.4
TOTAL,Mining and quarrying,2001,57.3
TOTAL,Manufacturing,2025,2885.2
TOTAL,Manufacturing,2024,2125.9
TOTAL,Manufacturing,2023,1733.0
TOTAL,Manufacturing,2022,1443.8
TOTAL,Manufacturing,2021,1227.7
TOTAL,Manufacturing,2020,1163.9
TOTAL,Manufacturing,2019,1171.1
TOTAL,Manufacturing,2018,1150.8
TOTAL,Manufacturing,2017,1088.2
TOTAL,Manufacturing,2016,887.0
TOTAL,Manufacturing,2015,770.1
TOTAL,Manufacturing,2014,765.2
TOTAL,Manufacturing,2013,613.8
TOTAL,Manufacturing,2012,498.5
TOTAL,Manufacturing,2011,402.4
TOTAL,Manufacturing,2010,326.2
TOTAL,Manufacturing,2009,271.8
TOTAL,Manufacturing,2008,268.0
TOTAL,Manufacturing,2007,160.2
TOTAL,Manufacturing,2006,129.4
TOTAL,Manufacturing,2005,100.5
TOTAL,Manufacturing,2004,92.8
TOTAL,Manufacturing,2003,82.7
TOTAL,Manufacturing,2002,68.7
TOTAL,Manufacturing,2001,66.6
