Ангилал,Он,value
Бүгд,2025,1284.2
Бүгд,2024,1256.4
Бүгд,2023,1230.8
Бүгд,2022,1196.2
Бүгд,2021,1096.1
Бүгд,2020,1116.7
Бүгд,2019,1091.4
Бүгд,2018,1050.5
Бүгд,2017,1021.9
Бүгд,2016,994.0
Бүгд,2015,966.9
Бүгд,2014,934.5
Бүгд,2013,908.4
Бүгд,2012,898.7
Бүгд,2011,891.5
Бүгд,2010,886.3
 Сургуулийн өмнөх боловсролд хамрагдагчид,2025,258.8
 Сургуулийн өмнөх боловсролд хамрагдагчид,2024,264.8
 Сургуулийн өмнөх боловсролд хамрагдагчид,2023,274.2
 Сургуулийн өмнөх боловсролд хамрагдагчид,2022,266.0
 Сургуулийн өмнөх боловсролд хамрагдагчид,2021,191.0
 Сургуулийн өмнөх боловсролд хамрагдагчид,2020,247.0
 Сургуулийн өмнөх боловсролд хамрагдагчид,2019,263.3
 Сургуулийн өмнөх боловсролд хамрагдагчид,2018,261.3
 Сургуулийн өмнөх боловсролд хамрагдагчид,2017,256.7
 Сургуулийн өмнөх боловсролд хамрагдагчид,2016,243.4
 Сургуулийн өмнөх боловсролд хамрагдагчид,2015,225.4
 Сургуулийн өмнөх боловсролд хамрагдагчид,2014,206.6
 Сургуулийн өмнөх боловсролд хамрагдагчид,2013,193.7
 Сургуулийн өмнөх боловсролд хамрагдагчид,2012,181.0
 Сургуулийн өмнөх боловсролд хамрагдагчид,2011,164.3
 Сургуулийн өмнөх боловсролд хамрагдагчид,2010,157.2
 Ерөнхий боловсролын сургуульд өдрөөр суралцагчид,2025,819.9
 Ерөнхий боловсролын сургуульд өдрөөр суралцагчид,2024,797.9
 Ерөнхий боловсролын сургуульд өдрөөр суралцагчид,2023,771.7
 Ерөнхий боловсролын сургуульд өдрөөр суралцагчид,2022,746.4
 Ерөнхий боловсролын сургуульд өдрөөр суралцагчид,2021,712.4
 Ерөнхий боловсролын сургуульд өдрөөр суралцагчид,2020,680.8
 Ерөнхий боловсролын сургуульд өдрөөр суралцагчид,2019,640.4
 Ерөнхий боловсролын сургуульд өдрөөр суралцагчид,2018,593.2
 Ерөнхий боловсролын сургуульд өдрөөр суралцагчид,2017,572.8
 Ерөнхий боловсролын сургуульд өдрөөр суралцагчид,2016,552.0
 Ерөнхий боловсролын сургуульд өдрөөр суралцагчид,2015,535.1
 Ерөнхий боловсролын сургуульд өдрөөр суралцагчид,2014,505.8
 Ерөнхий боловсролын сургуульд өдрөөр суралцагчид,2013,497.0
 Ерөнхий боловсролын сургуульд өдрөөр суралцагчид,2012,496.1
 Ерөнхий боловсролын сургуульд өдрөөр суралцагчид,2011,505.4
 Ерөнхий боловсролын сургуульд өдрөөр суралцагчид,2010,512.2
 Yүнээс: Эмэгтэй,2025,407.1
 Yүнээс: Эмэгтэй,2024,396.7
 Yүнээс: Эмэгтэй,2023,383.6
 Yүнээс: Эмэгтэй,2022,371.5
 Yүнээс: Эмэгтэй,2021,355.2
 Yүнээс: Эмэгтэй,2020,339.7
 Yүнээс: Эмэгтэй,2019,319.9
 Yүнээс: Эмэгтэй,2018,295.6
 Yүнээс: Эмэгтэй,2017,286.0
 Yүнээс: Эмэгтэй,2016,277.0
 Yүнээс: Эмэгтэй,2015,269.4
 Yүнээс: Эмэгтэй,2014,253.5
 Yүнээс: Эмэгтэй,2013,249.0
 Yүнээс: Эмэгтэй,2012,249.0
 Yүнээс: Эмэгтэй,2011,253.5
 Yүнээс: Эмэгтэй,2010,257.3
 Бага,2025,378.4
 Бага,2024,379.6
 Бага,2023,381.5
 Бага,2022,382.0
 Бага,2021,371.5
 Бага,2020,356.9
 Бага,2019,342.6
 Бага,2018,327.1
 Бага,2017,309.4
 Бага,2016,288.3
 Бага,2015,271.7
 Бага,2014,251.2
 Бага,2013,239.3
 Бага,2012,245.4
 Бага,2011,256.6
 Бага,2010,265.6
 Дунд,2025,290.6
 Дунд,2024,273.9
 Дунд,2023,262.2
 Дунд,2022,251.3
 Дунд,2021,238.4
 Дунд,2020,222.1
 Дунд,2019,200.8
 Дунд,2018,184.0
 Дунд,2017,176.2
 Дунд,2016,167.4
 Дунд,2015,147.0
 Дунд,2014,158.6
 Дунд,2013,164.6
 Дунд,2012,155.3
 Дунд,2011,169.2
 Дунд,2010,172.9
 Ахлах,2025,150.9
 Ахлах,2024,144.3
 Ахлах,2023,128.0
 Ахлах,2022,113.1
 Ахлах,2021,102.5
 Ахлах,2020,101.8
 Ахлах,2019,97.0
 Ахлах,2018,82.1
 Ахлах,2017,87.2
 Ахлах,2016,96.3
 Ахлах,2015,116.4
 Ахлах,2014,96.0
 Ахлах,2013,93.1
 Ахлах,2012,95.4
 Ахлах,2011,79.6
 Ахлах,2010,73.7
 Мэргэжлийн боловсролын сургалтын байгууллагад суралцагчид,2025,41.6
 Мэргэжлийн боловсролын сургалтын байгууллагад суралцагчид,2024,40.9
 Мэргэжлийн боловсролын сургалтын байгууллагад суралцагчид,2023,38.3
 Мэргэжлийн боловсролын сургалтын байгууллагад суралцагчид,2022,38.0
 Мэргэжлийн боловсролын сургалтын байгууллагад суралцагчид,2021,42.6
 Мэргэжлийн боловсролын сургалтын байгууллагад суралцагчид,2020,40.2
 Мэргэжлийн боловсролын сургалтын байгууллагад суралцагчид,2019,37.8
 Мэргэжлийн боловсролын сургалтын байгууллагад суралцагчид,2018,37.0
 Мэргэжлийн боловсролын сургалтын байгууллагад суралцагчид,2017,35.8
 Мэргэжлийн боловсролын сургалтын байгууллагад суралцагчид,2016,40.1
 Мэргэжлийн боловсролын сургалтын байгууллагад суралцагчид,2015,42.7
