year,value
1924,2.5
1925,3
1926,4.9
1927,8
1928,2.6
1929,10.2
1930,15.2
1931,26.7
1932,24.5
1933,27.2
1934,44
1935,13.3
1936,3.6
1937,3.2
1938,3.5
1939,4.5
1940,6.1
1941,7.8
1942,6.4
1943,7.3
1944,7.9
1945,8.7
1946,8.5
1947,12.3
1948,10.4
1949,11.1
1950,15
1951,17.7
1952,18.7
1953,19.9
1954,22.4
1955,23.2
1956,27.8
1957,29.9
1958,29.9
1959,32.5
1960,38.1
1961,212.3
1962,209.3
1963,169
1964,184.3
1965,179.4
1966,191
1967,202.3
1968,193.2
1969,187
1970,205.1
1971,233.8
1972,289.5
1973,395.1
1974,431.1
1975,484
1976,481.1
1977,519.4
1978,593.7
1979,699.8
1980,950.6
1981,1172.5
1982,1352.6
1983,1538
1984,1649.6
1985,1784.6
1986,1855.8
1987,1822.5
1988,1852.7
1989,1684.5
1990,1584.7
1991,708.9
1992,806.7
1993,761.6
1994,614.5
1995,888.6
1996,875.2
1997,1036.8
1998,965.6
1999,967
2000,1150.3
2001,1159.2
2002,1214.8
2003,1416.9
2004,1890.8
2005,2241.2
2006,2977
2007,4009.3
2008,5779
2009,4023.1
2010,6108.6
2011,11415.85
2012,11123.05
2013,10626.88
2014,11011
2015,8466.8
2016,8255.94
2017,10537.92
2018,12886.56
2019,13747.15
2020,12875.22
2021,16086.58
2022,21242.98
2023,24437.15
2024,27398.04
2025,27154.97
