Category,Year,value
Total,2024,5.9
Total,2023,5.3
Total,2022,6.4
Total,2021,8.3
Total,2020,6.7
Total,2019,9.9
Total,2018,7.8
Total,2017,8.8
Total,2016,10.0
Total,2015,7.5
Total,2014,7.9
Total,2013,7.9
Total,2012,8.2
Total,2011,7.7
Total,2010,9.9
Total,2009,11.6
        Male,2024,6.2
        Male,2023,6.0
        Male,2022,7.3
        Male,2021,8.7
        Male,2020,6.9
        Male,2019,10.7
        Male,2018,8.3
        Male,2017,9.6
        Male,2016,11.6
        Male,2015,8.2
        Male,2014,8.5
        Male,2013,7.6
        Male,2012,8.4
        Male,2011,8.1
        Male,2010,10.5
        Male,2009,11.6
        Female,2024,5.6
        Female,2023,4.5
        Female,2022,5.3
        Female,2021,7.8
        Female,2020,6.6
        Female,2019,8.9
        Female,2018,7.1
        Female,2017,7.8
        Female,2016,8.2
        Female,2015,6.7
        Female,2014,7.3
        Female,2013,8.3
        Female,2012,8.1
        Female,2011,7.4
        Female,2010,9.2
        Female,2009,11.6
        Urban,2024,6.8
        Urban,2023,6.3
        Urban,2022,7.7
        Urban,2021,9.8
        Urban,2020,8.0
        Urban,2019,12.3
        Urban,2018,9.4
        Urban,2017,10.4
        Urban,2016,12.2
        Urban,2015,8.7
        Urban,2014,8.5
        Urban,2013,8.5
        Urban,2012,9.7
        Urban,2011,8.3
        Urban,2010,11.6
        Urban,2009,15.0
        Rural,2024,2.2
        Rural,2023,3.7
        Rural,2022,4.0
        Rural,2021,5.8
        Rural,2020,4.6
        Rural,2019,5.9
        Rural,2018,5.2
        Rural,2017,6.3
        Rural,2016,6.8
        Rural,2015,5.7
        Rural,2014,7.2
        Rural,2013,7.2
        Rural,2012,6.5
        Rural,2011,7.0
        Rural,2010,7.8
        Rural,2009,7.3
        15-24,2024,14.7
        15-24,2023,4.7
        15-24,2022,12.6
        15-24,2021,18.0
        15-24,2020,16.3
        15-24,2019,23.9
        15-24,2018,20.4
        15-24,2017,22.7
        15-24,2016,25.1
        15-24,2015,17.9
        15-24,2014,17.4
        15-24,2013,16.6
        15-24,2012,14.0
        15-24,2011,15.6
        15-24,2010,19.5
        15-24,2009,22.0
        25-64,2024,5.1
        25-64,2023,5.7
        25-64,2022,5.7
        25-64,2021,7.3
        25-64,2020,5.6
        25-64,2019,8.1
        25-64,2018,6.5
        25-64,2017,7.5
        25-64,2016,8.5
        25-64,2015,6.2
        25-64,2014,6.8
        25-64,2013,6.7
        25-64,2012,7.2
        25-64,2011,6.5
        25-64,2010,8.3
        25-64,2009,9.5
        65+,2024,3.3
        65+,2023,1.2
        65+,2022,0.8
        65+,2021,1.4
        65+,2020,0.0
        65+,2019,0.4
        65+,2018,
        65+,2017,
        65+,2016,
        65+,2015,
        65+,2014,
        65+,2013,
        65+,2012,85.8
        65+,2011,70.1
        65+,2010,100.0
        65+,2009,76.4
        Western region,2024,7.3
        Western region,2023,5.7
        Western region,2022,9.2
        Western region,2021,9.1
        Western region,2020,8.3
        Western region,2019,11.1
        Western region,2018,8.9
        Western region,2017,10.7
        Western region,2016,12.1
        Western region,2015,9.2
        Western region,2014,13.3
        Western region,2013,11.9
        Western region,2012,9.8
        Western region,2011,10.8
        Western region,2010,10.1
        Western region,2009,7.5
        Khangai region,2024,6.1
        Khangai region,2023,5.7
        Khangai region,2022,6.5
        Khangai region,2021,7.9
        Khangai region,2020,6.2
        Khangai region,2019,8.1
        Khangai region,2018,7.1
        Khangai region,2017,9.8
        Khangai region,2016,10.6
        Khangai region,2015,4.9
        Khangai region,2014,6.8
        Khangai region,2013,9.8
        Khangai region,2012,8.3
        Khangai region,2011,8.3
        Khangai region,2010,11.9
        Khangai region,2009,12.0
        Central region,2024,5.7
        Central region,2023,6.2
        Central region,2022,6.3
        Central region,2021,10.3
        Central region,2020,6.8
        Central region,2019,7.3
        Central region,2018,7.6
        Central region,2017,8.3
        Central region,2016,9.2
        Central region,2015,8.9
        Central region,2014,9.2
        Central region,2013,7.7
        Central region,2012,7.7
        Central region,2011,6.8
        Central region,2010,9.3
        Central region,2009,11.2
        Eastern region,2024,4.3
        Eastern region,2023,3.8
        Eastern region,2022,4.6
        Eastern region,2021,4.9
        Eastern region,2020,7.8
        Eastern region,2019,11.1
        Eastern region,2018,8.7
        Eastern region,2017,10.4
        Eastern region,2016,11.4
        Eastern region,2015,10.7
        Eastern region,2014,13.1
        Eastern region,2013,11.2
        Eastern region,2012,10.8
        Eastern region,2011,11.1
        Eastern region,2010,10.5
        Eastern region,2009,9.1
        Ulaanbaatar,2024,5.8
        Ulaanbaatar,2023,5.0
        Ulaanbaatar,2022,5.8
        Ulaanbaatar,2021,8.1
        Ulaanbaatar,2020,6.3
        Ulaanbaatar,2019,11.2
        Ulaanbaatar,2018,7.6
        Ulaanbaatar,2017,7.5
        Ulaanbaatar,2016,9.1
        Ulaanbaatar,2015,6.9
        Ulaanbaatar,2014,5.1
        Ulaanbaatar,2013,4.6
        Ulaanbaatar,2012,7.1
        Ulaanbaatar,2011,5.6
        Ulaanbaatar,2010,8.7
        Ulaanbaatar,2009,14.0
        With disabilities,2024,6.2
        With disabilities,2023,6.4
        With disabilities,2022,11.1
        With disabilities,2021,11.7
        With disabilities,2020,6.1
        With disabilities,2019,11.0
        With disabilities,2018,4.6
        With disabilities,2017,6.9
        With disabilities,2016,5.8
        With disabilities,2015,6.1
        With disabilities,2014,6.2
        With disabilities,2013,8.3
        With disabilities,2012,9.9
        With disabilities,2011,9.1
        With disabilities,2010,12.7
        With disabilities,2009,14.7
        No disabilities,2024,5.9
        No disabilities,2023,5.3
        No disabilities,2022,6.3
        No disabilities,2021,8.3
        No disabilities,2020,6.8
        No disabilities,2019,9.8
        No disabilities,2018,7.8
        No disabilities,2017,8.8
        No disabilities,2016,10.1
        No disabilities,2015,7.5
        No disabilities,2014,8.0
        No disabilities,2013,7.9
        No disabilities,2012,8.2
        No disabilities,2011,7.7
        No disabilities,2010,9.8
        No disabilities,2009,11.5
