хүйс,он,оюутан
Эмэгтэй,2010,101455.0
Эрэгтэй,2010,68671.0
Эмэгтэй,2011,101557.0
Эрэгтэй,2011,71241.0
Эмэгтэй,2012,102427.0
Эрэгтэй,2012,73164.0
Эмэгтэй,2013,101783.0
Эрэгтэй,2013,72292.0
Эмэгтэй,2014,102520.0
Эрэгтэй,2014,75775.0
Эмэгтэй,2015,93674.0
Эрэгтэй,2015,68952.0
Эмэгтэй,2016,91526.0
Эрэгтэй,2016,65612.0
Эмэгтэй,2017,90094.0
Эрэгтэй,2017,65154.0
Эмэгтэй,2018,93552.0
Эрэгтэй,2018,64073.0
Эмэгтэй,2019,90574.0
Эрэгтэй,2019,57872.0
Эмэгтэй,2020,89463.0
Эрэгтэй,2020,57830.0
Эмэгтэй,2021,91034.0
Эрэгтэй,2021,57920.0
Эмэгтэй,2022,88823.0
Эрэгтэй,2022,56444.0
Эмэгтэй,2023,88601.0
Эрэгтэй,2023,56744.0
Эмэгтэй,2024,92261.0
Эрэгтэй,2024,58021.0
Эмэгтэй,2025,99483.0
Эрэгтэй,2025,62408.0
